Code;Name EN;Province;Lat;Long;1982;1990;2000;2010
CNSHA3101A;SHANGHAI;SHANGHAI;31.230393;121.473704;7394956;9069006;14915872;23267975
CNBEI1101A;BEIJING;BEIJING;39.90403;116.407526;6001358;7362426;12509632;21869769
CNGUA4406A;GUANGZHOU;GUANGDONG;23.028904;113.143313;5423058;8307452;12163911;19167406
CNTIA1201A;TIANJIN;TIANJIN;39.084158;117.200983;5082479;6116217;8756877;13718810
CNSHE4403A;SHENZHEN;GUANGDONG;22.543099;114.057868;695112;975512;7008831;10358381
CNWUH4201A;WUHAN;HUBEI;106.551557;114.305357;3222480;4332070;6591449;8376498
CNCHO5001A;CHONGQING;CHONGQING;29.56301;106.551557;1807677;2991616;5671364;7337767
CNCHE5101A;CHENGDU;SICHUAN;30.658601;104.064856;2508386;2964705;4203975;6432129
CNNAN3201A;NANJING;JIANGSU;32.060255;118.796877;2134198;2965842;3624234;5748334
CNSHE2101A;SHENYANG;LIAONING;41.80572;123.43147;3327725;3614302;4596785;5685899
CNXIA6101A;XIAN;SHAANXI;34.341568;108.940175;1968223;2872539;3933026;4687081
CNZHE4101A;ZHENGZHOU;HENAN;34.7466;113.625368;1428316;1796843;2501024;4140817
CNCHA2201B;CHANGCHUN;JILIN;43.817084;125.323542;1813532;2264357;3044549;4138872
CNQIN3702A;QINGDAO;SHANDONG;36.06722;120.382504;1380926;2101808;2720972;3718835
CNHAE2301A;HAERBIN;HEILONGJIANG;45.803775;126.534967;2542832;2990921;3070662;3696381
CNHAN3301A;HANGZHOU;ZHEJIANG;30.274084;120.15507;1191582;1476211;2451319;3560391
CNDAL2102A;DALIAN;LIAONING;38.914003;121.614682;1628015;2483776;2948945;3540382
CNJIN3701A;JINAN;SHANDONG;36.665282;116.994917;;2403946;2632671;3442765
CNTAI1401A;TAIYUAN;SHANXI;37.87059;112.548879;1601805;2051558;2558382;3426519
CNKUN5301A;KUNMING;YUNNAN;24.880095;102.832891;1096875;1611969;2848208;3338018
CNHEF3401A;HEFEI;ANHUI;31.820591;117.227219;821812;1110778;1659075;3310268
CNXIA3502A;XIAMEN;FUJIAN;24.479836;118.08942;429108;712375;1586741;3118177
CNCHA4301A;CHANGSHA;HUNAN;28.228209;112.938814;1076413;1390206;1650141;3092213
CNWEN3303A;WENZHOU;ZHEJIANG;27.994267;120.699367;989891;1110642;1915548;3039439
CNZIB3703A;ZIBO;SHANDONG;36.813546;118.055019;544849;869779;2536381;3023878
CNFUZ3501A;FUZHOU;FUJIAN;26.074478;119.296482;1129251;1402584;2124435;2921762
CNWUL6501A;WULUMUQI;XINJIANG;43.825645;87.616823;961829;1244443;1753298;2907201
CNSHI1301A;SHIJIAZHUANG;HEBEI;38.042307;114.51486;943682;1390206;1650141;2834942
CNNAN4501A;NANNING;GUANGXI;22.817642;108.365631;862732;1163948;1464560;2688433
CNLAN6201A;LANZHOU;GANSU;36.061089;103.834303;1416371;1617761;2049821;2600708
CNWUX3202A;WUXI;JIANGSU;31.566145;120.303027;812610;1013606;1393381;2562129
CNBEI4505A;BEIHAI;GUANGXI;21.481217;109.119899;;;;550657
CNGUI5201A;GUIYANG;GUIZHOU;26.647449;106.630143;1319432;1664709;1895939;2435570
CNNAN3601A;NANCHANG;JIANGXI;28.68316;115.858089;1061497;1369171;1818628;2334469
CNLOU4313B;LOUDI;HUNAN;27.701693;111.996001;;;;233253
CNSUZ3205A;SUZHOU;JIANGSU;31.298886;120.585316;673308;882677;1344709;2222014
CNLIN3713B;LINYI;SHANDONG;35.104672;118.356448;530318;672624;1483941;2155437
CNNIN3302B;NINGBO;ZHEJIANG;29.868336;121.54399;956675;1142429;1567499;2132399
CNXIN4409A;XINYI;GUANGDONG;34.369584;118.354445;;;;2080062
CNYIN6401A;YINCHUAN;NINGXIA;38.487194;106.230909;363509;502080;814518;2057746
CNWEI3707A;WEIFANG;SHANDONG;36.706691;119.16193;987560;1088814;1263016;2044028
CNBAO1502A;BAOTOU;NEIMENGGU;40.657447;109.840386;916511;1248391;1432575;1948654
CNXUZ3203A;XUZHOU;JIANGSU;34.20475;117.284067;779289;949267;1392707;1928444
CNPUY4109A;PUYANG;HENAN;35.761829;115.029215;;832715;969923;1859305
CNJIL2202A;JILIN;JILIN;43.896082;125.326065;1079332;1320208;1652616;1763110
CNCHA3204A;CHANGZHOU;JIANGSU;31.810077;119.974454;500737;731182;1081845;1721884
CNTAI3212A;TAIZHOU;JIANGSU;28.572226;121.38431;621867;761037;1200809;1699810
CNHUH1501B;HUHEHAOTE;NEIMENGGU;40.842356;111.749995;;;;1681693
CNTAN1302B;TANGSHAN;HEBEI;39.630867;118.180193;1338296;1517758;1547258;1675612
CNDAQ2306A;DAQING;HEILONGJIANG;46.59019;125.104637;764045;1025949;1236933;1612519
CNSHA4405A;SHANTOU;GUANGDONG;23.46671;116.755992;419503;872360;888131;1600798
CNCHE3209C;CHENGSHI;JIANGSU;32.394209;119.412939;;;;1600699
CNHUI4413A;HUICHENG;GUANGDONG;23.0403;116.2903;166543;274689;591686;1579818
CNFUY3412A;FUYANG;ANHUI;32.890124;115.814205;375980;426510;742862;1537421
CNANS2103A;ANSHAN;LIAONING;41.108546;122.994646;1214571;1442220;1389660;1450003
CNHAN1304B;HANDAN;HEBEI;36.625656;114.538961;938082;1151858;1329734;1445338
CNLIU4502A;LIUZHOU;GUANGXI;24.325502;109.415953;585369;829966;963662;1436599
CNFUS2104A;FUSHUN;LIAONING;41.880872;123.957208;1192814;1388011;1434447;1431014
CNYON3413A;YONGQIAO;ANHUI;33.640061;116.977463;;;;1426001
CNLIA3207A;LIANYUNGANG;JIANGSU;34.596653;119.221611;273839;364128;558388;1424057
CNNAN3505A;NANAN;FUJIAN;24.960385;118.386279;213533;348993;480433;1418451
CNYAN3706A;YANTAI;SHANDONG;37.463819;121.447926;743958;847285;1084160;1418108
CNQIQ2302A;QIQIHAER;HEILONGJIANG;47.354348;123.918186;1016221;1161605;1316602;1415897
CNLUO4103A;LUOYANG;HENAN;34.620202;112.453926;975764;1202192;1233775;1404850
CNHUA3404A;HUAINAN;ANHUI;32.625478;116.999933;607694;1239952;1080484;1369586
CNDAT1402B;DATONG;SHANXI;40.076762;113.300129;;;;1348231
CNCHA4451B;CHAOAN;GUANGDONG;23.462613;116.678203;;;;1334796
CNXIA4206A;XIANGFAN;HUBEI;32.008986;112.122415;316007;554046;871388;1294733
CNYUE4306A;YUEYANG;HUNAN;29.356803;113.12873;446924;529843;845109;1213881
CNXIN6301A;XINING;QINGHAI;36.617134;101.778223;589967;697780;854466;1198304
CNBAO3101A;BAOSHAN;SHANGHAI;26.5834125;101.7473004;329650;364475;521169;1187709
CNNEI5110A;NEIJIANG;SICHUAN;29.580229;105.058433;351746;508550;696158;1165820
CNWUH3402A;WUHU;ANHUI;31.352859;118.432941;388889;422387;464850;1162664
CNBAO1306A;BAODING;HEBEI;38.874434;115.464589;502394;605087;902496;1138521
CNNAN3206A;NANTONG;JIANGSU;31.980184;120.894332;389988;473686;771386;1135375
CNJIE4452A;JIEDONG;GUANGDONG;23.566126;116.412015;439849;454234;633570;1121015
CNBEN2105A;BENXI;LIAONING;41.294176;123.766485;792401;937805;943774;1084574
CNYIY4309A;YIYANG;HUNAN;28.55386;112.35518;296864;366790;707739;1080000
CNQUA3505A;QUANZHOU;FUJIAN;24.907574;118.586812;;;;1076988
CNJIN3708A;JINING;SHANDONG;35.414982;116.587282;;468461;390526;1061332
CNHUA6104A;HUAIBEI;SHAANXI;34.3388197;108.7157419;497424;568904;632592;1054993
CNHUA3406A;HUAIBEI;ANHUI;33.955845;116.798265;142394;568904;632592;1054529
CNMIA5107A;MIANYANG;SICHUAN;31.46746;104.679004;375664;505460;865807;1053638
CNZHA1307B;ZHANGJIAKOU;HEBEI;40.767544;114.886335;605906;720814;872361;1050005
CNXIN4107A;XINXIANG;HENAN;35.303704;113.926763;508604;613357;775941;1047088
CNSHA3306A;SHAOXING;ZHEJIANG;29.995762;120.586109;435730;456765;633118;1030847
CNPIN4104A;PINGDINGSHAN;HENAN;33.76619;113.192814;475946;700039;871274;1011079
CNJIN4210A;JINGZHOU;HUBEI;30.335237;112.239631;677673;744432;909698;995711
CNYIN2108A;YINGKOU;LIAONING;40.667012;122.235418;419640;571513;630208;988109
CNFEN3302A;FENGHUA;ZHEJIANG;29.655143;121.406995;350954;465665;675727;983394
CNZIG5103A;ZIGONG;SICHUAN;29.33903;104.778442;212007;390147;601010;982317
CNNAN4113A;NANYANG;HENAN;32.990664;112.528308;126965;228293;696638;980832
CNJIA4407A;JIANGMEN;GUANGDONG;22.578738;113.081901;216097;294713;536317;973459
CNCHA3205A;CHANGSHU;JIANGSU;31.653584;120.752507;214680;184960;565178;971659
CNANY4105A;ANYANG;HENAN;36.097577;114.392392;352158;616803;519698;967250
CNMUD2310A;MUDANJIANG;HEILONGJIANG;44.551653;129.633168;580984;722220;807194;965154
CNZHU4302A;ZHUZHOU;HUNAN;27.827827;113.133775;385646;585253;837102;963205
CNBEN3403A;BENGBU;ANHUI;32.916287;117.389719;398382;704256;696811;963115
CNXIA4303A;XIANGTAN;HUNAN;27.829738;112.944049;366958;294483;707783;960303
CNZAO3704A;ZAOZHUANG;SHANDONG;34.810487;117.323725;;;;957875
CNGUI4503A;GUILIN;GUANGXI;25.273566;110.290195;470272;561371;764424;952978
CNQIN1303A;QINHUANGDAO;HEBEI;39.935377;119.600492;403701;521142;753180;950697
CNDON3705A;DONGYING;SHANDONG;37.434751;118.674767;254769;519210;729018;942580
CNPIN4115A;PINQIAOQU;HENAN;37.200306;112.190257;317174;374262;485996;929776
CNDON3209C;DONGTAI;JIANGSU;32.866827;120.320627;247755;425313;683663;913898
CNZHA4408B;ZHANJIANG;GUANGDONG;21.270702;110.359387;655704;705844;832273;908947
CNCHA4451A;CHAOZHOU;GUANGDONG;23.656703;116.622756;328198;614532;717125;904938
CNJIN3211A;JINGKOU;JIANGSU;32.2011152;119.4804498;346024;495277;695663;898415
CNCIX3302A;CIXI;ZHEJIANG;30.169699;121.266461;396606;424268;626919;896948
CNTAI4514A;TAIPING;GUANGXI;38.6167;117.3337;;;;887023
CNPUT3503A;PUTIAN;FUJIAN;25.454084;119.007777;312562;402120;443926;883950
CNCHE4115A;CHENGGUAN;HENAN;39.508;116.8798;;;;878998
CNJIN3505A;JINJIANG;FUJIAN;30.656026;104.083577;280892;429859;498786;878950
CNHAI3212A;HAILING;JIANGSU;32.5126167;119.9169095;225922;314976;607660;878463
CNYIX3202A;YIXING;JIANGSU;31.340711;119.823166;181741;192152;555454;872149
CNJIN2107A;JINZHOU;LIAONING;41.09512;121.127004;575299;736297;776628;869171
CNJIX2303A;JIXI;HEILONGJIANG;45.295075;130.969333;766731;835496;858962;862959
CNWEN3310A;WENLING;ZHEJIANG;28.3732;121.385181;;;533810;860026
CNCAN3303A;CANGNAN;ZHEJIANG;35.7733;119.8306;;272786;522369;858344
CNBAO6103A;BAOJI;SHAANXI;34.36198;107.237974;338754;452286;600377;842727
CNHUL2114A;HULUDAO;LIAONING;40.711052;120.836932;222310;358572;538847;838977
CNDOU4404A;DOUMEN;GUANGDONG;22.2092;113.296467;481858;602372;795131;831764
CNJIA4108A;JIAOZUO;HENAN;35.215892;113.241823;487641;604504;641193;828209
CNCHI1504A;CHIFENG;NEIMENGGU;42.25785;118.886931;;;;819612
CNDAN2106A;DANDONG;LIAONING;40.127344;124.384913;537745;660518;684190;818992
CNWEI3210A;WEIYANG;JIANGSU;32.423914;119.398778;280834;456295;711993;815654
CNLIN3310A;LINHAI;ZHEJIANG;28.85;121.1166667;218726;318045;533810;810757
CNYIC4205A;YICHANG;HUBEI;30.691966;111.286471;363579;492286;699493;808849
CNGON4101A;GONGYI;HENAN;34.747861;113.022646;;;615833;807911
