,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Montreal,0,267714,0,470590,0,618555,0,818666,0,903058,0,1094419,0,2157943,0,2808595,1,2923264,1,3209116,1,3654167,1,4031844
Toronto,1,208083,1,376524,1,521928,1,631201,1,667516,1,662132,1,1824506,1,2609638,0,3498967,0,4293065,0,5004011,0,5852602
Quebec,2,68845,6,78722,6,95224,4,130643,7,150855,9,167023,7,357634,8,476226,6,619763,5,708728,9,476330,6,783564
Ottawa,3,59917,4,87116,5,107894,5,126964,6,155059,6,215195,5,429872,4,596295,3,793315,3,956743,3,1126321,3,1303536
Hamilton,4,52638,5,82096,4,114227,7,115599,5,166324,5,237708,6,395294,7,495913,9,529406,8,643286,6,697023,8,748208
Winnipeg,5,42375,2,136052,2,179196,3,218830,3,222053,4,256739,4,476031,5,534775,7,584836,7,652417,7,619540,7,756937
Halifax,6,40822,8,46699,10,58482,12,59340,11,70570,14,90956,10,183936,17,220438,16,277756,16,325526,13,374410,12,404389
St. Johns,7,40740,11,42583,11,47207,14,47506,15,51754,22,56780,19,95641,23,131875,23,154808,27,174286,26,177681,18,204542
London,8,38090,9,46393,9,61052,9,71041,10,78395,13,100671,11,181353,12,284548,15,283729,12,419584,10,458586,10,439584
Saint Johns,9,29682,12,32300,15,37451,16,42642,19,41599,-1,0,22,90844,-1,0,-1,0,-1,0,-1,0,-1,0
Edmonton,10,27034,7,49973,7,88870,6,119267,4,173846,3,324031,3,537695,3,690853,4,657127,6,700471,5,984555,5,1234370
Vancouver,11,26111,3,100445,3,117249,2,246654,2,275444,2,362005,2,790263,2,1071143,2,1468211,2,1857766,2,2098170,2,2419030
Victoria,12,20869,13,31758,13,38723,18,39108,16,44130,23,52967,13,154226,18,197221,18,246527,19,308159,16,328301,14,358422
Kingston,13,18070,22,18059,24,21895,27,23437,28,30112,29,48067,30,63487,42,77009,33,115020,32,136450,33,154919,24,164326
Brantford,14,15799,17,23008,18,29430,21,30156,24,31973,25,51653,34,56779,50,65081,44,90939,45,113674,39,129629,29,139845
Windsor,15,12018,23,18053,14,38641,10,63136,8,105339,11,120597,9,193405,14,258600,19,246135,20,279666,20,209220,15,329884
Charlottetown,16,11476,37,11213,44,12362,52,12459,56,14564,88,16442,91,19057,97,32063,83,45069,87,57589,84,62539,51,68154
Hull,17,11309,21,18191,20,24111,22,29412,22,32935,28,48989,33,56905,55,62823,74,56282,85,60734,80,66246,-1,0
Guelph,18,10676,29,14432,29,18188,32,21113,35,23353,39,35027,40,43784,45,72973,43,91216,44,114021,38,131172,27,147992
Saint-Thomas,19,10409,32,13253,34,16097,45,15471,47,17118,78,19046,81,22561,-1,0,-1,0,-1,0,-1,0,73,40973
Sherbrooke,20,10107,19,18458,21,23580,23,28976,20,36002,20,62615,23,89451,28,111813,29,139767,26,174709,23,185838,17,206578
Trois-Rivieres,21,10083,26,16260,23,22437,19,35512,18,42097,26,50234,24,83726,33,97936,36,111523,33,136373,36,143138,26,153875
Belleville,22,9975,38,11102,46,12229,49,13853,52,15714,68,20529,55,30751,88,35239,-1,0,-1,0,60,84098,34,104710
Sydney,23,9933,24,17707,22,23180,30,22537,31,28351,42,31798,18,106101,36,91216,45,87557,42,116125,-1,0,-1,0
Peterborough,24,9732,20,18360,26,21088,31,22304,25,31604,31,45148,28,64498,39,80622,39,100778,46,111976,45,116736,32,122472
Saskatoon,25,9639,34,12048,19,25797,17,41772,17,43083,18,70801,16,112732,25,126499,25,154242,24,210054,19,232779,16,280764
Stratford,26,9506,-1,0,33,16100,40,17729,49,17014,73,19878,88,20533,-1,0,-1,0,-1,0,-1,0,83,30516
Moncton,27,9050,36,11368,31,17568,33,20753,37,22825,38,35610,35,55831,47,71420,41,98447,41,119352,44,123776,28,142812
Woodstock,28,8822,-1,0,-1,0,-1,0,-1,0,81,18219,89,20500,-1,0,-1,0,-1,0,-1,0,76,37443
Brockville,29,8812,-1,0,55,10001,58,9791,73,11367,-1,0,99,17731,-1,0,-1,0,-1,0,-1,0,-1,0
Sarnia,30,8292,35,11627,37,14963,39,18296,43,18735,32,43118,31,61331,41,78424,47,84043,57,87970,63,79637,38,99547
Cambridge,31,7560,-1,0,41,13282,47,14025,55,15320,60,23641,66,27814,52,64100,51,77296,54,92845,47,110372,-1,0
Owen Sound,32,7540,-1,0,45,12253,51,12867,60,14067,86,16712,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Galt,33,7506,-1,0,-1,0,-1,0,54,15358,59,23647,65,27892,77,38903,-1,0,-1,0,-1,0,-1,0
Waterloo,34,7385,-1,0,-1,0,-1,0,86,9070,90,16330,86,21411,79,37934,79,49409,71,71256,59,86543,-1,0
Levis,35,7351,-1,0,53,10505,54,11759,69,12083,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Thunder Bay,36,7211,15,27719,16,35478,15,46180,14,55078,17,76673,21,93331,29,111590,32,121432,40,124465,42,126844,31,125024
Saint-Hyacinthe,37,7076,42,9029,50,10982,50,13416,44,17867,70,20364,53,31738,75,39735,90,38249,93,50190,98,50390,63,47289
New Westminster,38,6767,18,20045,39,14512,41,17524,38,22016,43,31446,50,33753,73,42179,88,38667,-1,0,92,54656,-1,0
Sorel,39,6765,-1,0,-1,0,-1,0,68,12307,89,16368,62,28905,89,34588,-1,0,-1,0,-1,0,-1,0
Cornwall,40,6764,-1,0,-1,0,-1,0,59,14151,83,18002,41,43603,66,47103,76,53437,89,53551,99,49640,54,60554
Fredericton,41,6582,46,7278,62,8170,61,8847,79,10135,82,18092,75,24855,80,37730,64,64400,70,71973,-1,0,57,56663
Nanaimo,42,6508,43,8292,57,9113,65,6756,66,12423,94,15257,98,18091,78,38816,72,57794,67,73559,62,80993,37,101242
Yarmouth,43,6420,49,6612,66,7183,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Dartmouth,44,6330,-1,0,63,7970,60,9142,75,10820,72,20004,38,47007,53,64002,67,62391,79,67891,-1,0,-1,0
Chatham,45,6248,39,9821,40,13395,48,14013,46,17426,64,22205,58,29875,87,35344,86,41041,-1,0,48,107341,66,44676
Lindsay,46,6193,-1,0,-1,0,-1,0,93,8497,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Truro,47,6054,53,6159,65,7683,-1,0,78,10317,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Barrie,48,5681,51,6420,67,6936,62,7736,81,9748,65,21858,47,36430,59,60717,38,101196,37,126495,28,161642,19,194432
