city,2010,city,2000,city,1990,city,1982,city,1970,city,1958,city,1948,city,1938,city,1926,city,1918,city,1900
SHANGHAI,23267975,SHANGHAI,14915872,SHANGHAI,9069006,SHANGHAI,7394956,Shanghai,108200,Shanghai,697700,Shanghai,442300,Shanghai,349000,Wuhan,158390,Wuhan,144400,Taiyuan,160000
BEIJING,21869769,BEIJING,12509632,GUANGZHOU,8307452,BEIJING,6001358,Beijing,75700,Beijing,414800,Tianjin,168600,Beijing,155600,Shanghai,150000,Shanghai,100000,Wuhan,87000
GUANGZHOU,19167406,GUANGZHOU,12163911,BEIJING,7362426,GUANGZHOU,5423058,Tianjin,42800,Tianjin,327800,Beijing,160300,Wuhan,124200,Hangzhou,100000,Guangzhou,90000,Jilin,80510
TIANJIN,13718810,TIANJIN,8756877,TIANJIN,6116217,TIANJIN,5082479,Dalian,40000,Shenyang,242300,Wuhan,141400,Tianjin,108100,Guangzhou,81200,Hangzhou,68410,Tianjin,75000
SHENZHEN,10358381,SHENZHEN,7008831,WUHAN,4332070,SHENYANG,3327725,Shenyang,37500,Wuhan,222600,Guangzhou,141400,Guangzhou,102200,Beijing,81110,Fuzhou,62400,Shanghai,65100
WUHAN,8376498,WUHAN,6591449,SHENYANG,3614302,WUHAN,3222480,Chongqing,35000,Chongqing,216500,Nanjing,123000,Nanjing,101600,Tianjin,80000,Changsha,53580,Fushun,63500
CHONGQING,7337767,CHONGQING,5671364,CHONGQING,2991616,HAERBIN,2542832,Taiyuan,27250,Guangzhou,186700,Shenyang,112100,Shenyang,77200,Chongqing,62200,Suzhou,50000,Chongqing,62000
CHENGDU,6432129,SHENYANG,4596785,HAERBIN,2990921,CHENGDU,2508386,Wuhan,27000,Harbin,181400,Chongqing,103900,Hangzhou,53700,Changsha,60700,Chongqing,43760,Hangzhou,35000
NANJING,5748334,CHENGDU,4203975,NANJING,2965842,NANJING,2134198,Guangzhou,23000,Nanjing,145500,Qingdao,88400,Chongqing,52800,Suzhou,50000,Nanjing,37630,Beijing,25000
SHENYANG,5685899,XIAN,3933026,CHENGDU,2964705,XIAN,1968223,Nanjing,20000,Xi'an,136800,Harbin,76000,Qingdao,51500,Nanjing,39590,Ningbo,27000,Jixi,25000
XIAN,4687081,NANJING,3624234,XIAN,2872539,CHANGCHUN,1813532,Harbin,20000,Qingdao,114400,Chengdu,72700,Jinan,47200,Fuzhou,31490,Wenzhou,21270,Changsha,23000
ZHENGZHOU,4140817,HAERBIN,3070662,DALIAN,2483776,CHONGQING,1807677,Qingdao,19000,Chengdu,113500,Jinan,64200,Changsha,46400,Changchun,30200,Xiamen,11400,Xianggang,21000
CHANGCHUN,4138872,CHANGCHUN,3044549,JINAN,2403946,DALIAN,1628015,Xi'an,19000,Taiyuan,105300,Changchun,63000,Changchun,45840,Xiamen,30000,Shashi,10500,Changchun,17100
QINGDAO,3718835,DALIAN,2948945,CHANGCHUN,2264357,TAIYUAN,1601805,Zibo,17500,Fushun,101900,Hangzhou,57000,Chengdu,45800,Ningbo,28430,Wuhu,9960,Qingdao,15000
HAERBIN,3696381,KUNMING,2848208,QINGDAO,2101808,ZHENGZHOU,1428316,Fushun,17000,Changchun,98800,Dalian,54400,Suzhou,38800,Qingdao,26990,Shantou,8500,Shantou,9560
HANGZHOU,3560391,QINGDAO,2720972,TAIYUAN,2051558,LANZHOU,1416371,Chengdu,17000,Jinan,88200,Fushun,51300,Dalian,38640,Wenzhou,20250,Wanxian,7000,Shangqiu,8300
DALIAN,3540382,JINAN,2632671,ZHENGZHOU,1796843,QINGDAO,1380926,Kunming,17000,Kunming,88000,Xi'an,50300,Xianggang,37800,Shashi,19050,Jiangmen,7000,Nantong,7870
JINAN,3442765,TAIYUAN,2558382,GUIYANG,1664709,TANGSHAN,1338296,Jinan,15000,Anshan,83300,Changsha,39600,Fuzhou,34300,Harbin,16490,Qiongshan,5850,Jining,5300
TAIYUAN,3426519,ZIBO,2536381,LANZHOU,1617761,GUIYANG,1319432,Changchun,15000,Tangshan,81200,Suzhou,38100,Kaifeng,30300,Lanzhou,12200,Yichang,5500,Qionghai,4000
KUNMING,3338018,ZHENGZHOU,2501024,KUNMING,1611969,ANSHAN,1214571,Anshan,15000,Zibo,80600,Xuzhou,34000,Nanchang,27500,Wuhu,11710,Yantai,5450,Anqing,3400
HEFEI,3310268,HANGZHOU,2451319,TANGSHAN,1517758,FUSHUN,1192814,Guiyang,15000,Hangzhou,79400,Fuzhou,33100,Wuxi,27200,Yantai,9470,Dandong,5180,Mudanjiang,3250
XIAMEN,3118177,FUZHOU,2124435,HANGZHOU,1476211,HANGZHOU,1191582,Lanzhou,15000,Zhengzhou,78500,Benxi,32100,Harbin,24840,Shantou,9300,Qingdao,5020,Bei'an,2500
CHANGSHA,3092213,LANZHOU,2049821,ANSHAN,1442220,FUZHOU,1129251,Qiqihar,15000,Lanzhou,73200,Kunming,30900,Ningbo,24700,Wuzhou,8800,Nanning,5000,Siping,2100
WENZHOU,3039439,WENZHOU,1915548,FUZHOU,1402584,KUNMING,1096875,Shijiazhuang,15000,Xuzhou,71000,Kaifeng,30000,Zhanjiang,24500,Wanxian,8260,Wuzhou,4000,Dalian,370
ZIBO,3023878,GUIYANG,1895939,CHANGSHA,1390206,JILIN,1079332,Xuzhou,15000,Changsha,70900,Wuxi,27300,Wenzhou,23700,Dandong,7390,Liaoyang,4000,,
