<<<<<<< HEAD
CanadaSeed,CanadaEpoch,SpainSeed,SpainEpoch,ItalySeed,ItalylEpoch,MexicoSeed,MexicoEpoch,UKSeed,UKEpoch,JapanSeed,JapanSeed,USASeed,USAEpoch,FranceSeed,FranceEpoch,SovietSeed,SovietEpoch
Edmonton,Ajax,Madrid,Albacete,Roma,Alessandria,Valle de Mexico,Acambaro,Belfast,Aberdeen,Tokyo,Akita,New York,Akron,Paris,Agen,astrahan,Almaty
Montreal,Belleville,Barcelona,Alcoi,Napoli,Ancona,Guadalajara,Acapulco,Birmingham,Barnsley,Osaka,Aomori,Chicago,Albany,Marseille,Ajaccio,Baki,arhangeljsk
Ottawa,Brampton,Valencia,Algeciras,Milano,Andria,Monterrey,Acayucan,Bradford,Bath,Nagoya,Asahikawa,Los Angeles,Albuquerque,Lille,Albi,bar0ul,Ashgabat
Quebec,Brandon,Sevilla,Alicante,Torino,Arezzo,Puebla-Tlaxcala,Aguascalientes,Bristol,Birkenhead,Yokohama,Chiba,Philadelphia,Allentown,Lyon,Ales,Berditchiv,Asta0
Toronto,Brantford,Zaragoza,Almeria,Genova,Bari,Juarez,Ahome,Edinburgh,Blackburn,Sapporo,Fukui,Detroit,Anaheim,Nice,Amiens,cheljabinsk,astrahan
Vancouver,Burlington,Malaga,Antequera,Palermo,Bergamo,Torreon - Gomez Palacio,Ameca,Glasgow,Brighton,Kobe,Funabashi,Houston,Anchorage,Bordeaux,Angers,Chisi0u,belgorod
Winnipeg,Burnaby,Bilbao,Aviles,Firenze,Bolzano,Leon,Amecameca,Leeds,Calderdale,Hiroshima,Gifu,Saint Louis,Arlington,,Angouleme,Dniepropetrovsk,Bishkek
,Calgary,Murcia,Badajoz,Bologna,Brescia,,Apatzingan,Liverpool,Cardiff,Fukuoka,Hachioji,,Atlanta,,Annemasse,Donetsk,blagovschsk
,Cap-de-la-Madeleine,,Barakaldo,,Cagliari,,Campeche,London,Coventry,Kyoto,Hakodate,,Aurora,,Armentieres,ekaterinbrg,Brest
,Cape Breton,,Burgos,,Caltanissetta,,Cananea,Manchester,Darlington,Kitakyushu,Hamamatsu,,Austin,,Arras,Erevan,brjansk
,Charlottetown,,Caceres,,Capannori,,Celaya,Sheffield,Derby,Sendai,Himeji,,Bakersfield,,Avignon,habarovsk,cheboksary
,Chatham,,Cadiz,,Caserta,,Centro,,Doncaster,Nagasaki,Kagoshima,,Baltimore,,Bastia,ivanovo,Doushanbe
,Chilliwack,,Cartagena,,Castellammare di Stabia,,Chihuahua,,Dudley,,Kanazawa,,Baton Rouge,,Bayonne,izhevsk,dzerdginsk
,Drummondville,,Castello de la Plana,,Catania,,Ciudad Guzman,,Dundee,,Kawaguchi,,Birmingham,,Beauvais,jaroslavlj,elec
,East York,,Ceuta,,Catanzaro,,Ciudad Madero,,Halifax,,Kawasaki,,Boston,,Belfort,kaliningrad,Evpatoria
,Etobicoke,,Chamartin de la Rosa,,Cesena,,Ciudad Obregon,,Hartlepool,,Kochi,,Bridgeport,,Besancon,kazan,Ganca
,Fredericton,,Ciudad Real,,Cinisello Balsamo,,Ciudad Valles,,Huddersfield,,Kumamoto,,Buffalo,,Bethune,Kharkiv,Gomel
,Galt,,Cordoba,,Cosenza,,Ciudad Victoria,,Hull,,Kurashiki,,Chandler,,Beziers,Kherson,Grod0
,Glace Bay,,Coruna,,Cremona,,Coatzacoalcos,,Knowsley,,Maebashi,,Charlotte,,Blois,Kiiv,groznyj
,Guelph,,Donostia-San Sebastian,,Faenza,,Colima - Villa de Alvarez,,Leicester,,Matsudo,,Chattanooga,,Boulogne-sur-Mer,krasnodar,irkutsk
