city,1901,city,1911,city,1921,city,1931,city,1946,city,1954,city,1961,city,1975,city,1982,city,1990,city,1999,city,2007
Paris,3626783,Paris,3880446,Paris,3922480,Paris,4210982,Paris,4686304,Paris,6130573,Paris,8159234,Paris,9042635,Paris,9120945,Paris,9554192,Paris,9738809,Paris,10303282
Lille,731825,Lille,801802,Lyon,917776,Marseille,861855,Marseille,915494,Marseille,1058409,Lille,1118864,Lyon,1355318,Marseille,1413201,Lyon,1416653,Marseille,1463016,Marseille,1558379
Marseille,638438,Lyon,689338,Marseille,816343,Lille,848315,Lille,898056,Lyon,956347,Lyon,1020448,Marseille,1299506,Lyon,1313071,Marseille,1367593,Lyon,1428149,Lyon,1508813
Lyon,511198,Marseille,680411,Lille,739609,Lyon,729802,Lyon,850479,Lille,879675,Marseille,1014025,Lille,960264,Lille,962531,Lille,977917,Lille,999797,Lille,1014239
Nice,361225,Nice,384835,Nice,399593,Bordeaux,492812,Nice,512161,Bordeaux,560098,Nice,640465,Bordeaux,722488,Nice,780716,Bordeaux,856263,Nice,889163,Nice,947075
Saint-…tienne,258158,Rouen,362782,Bordeaux,367491,Toulouse,363096,Bordeaux,500677,Douai - Lens,554655,Bordeaux,562467,Toulouse,647467,Bordeaux,676765,Toulouse,731341,Bordeaux,773636,Toulouse,859338
Toulouse,258055,Saint-…tienne,261513,Rouen,346326,Valenciennes,323086,Toulouse,375075,Toulon,500371,Douai - Lens,533163,Nice,560384,Toulouse,588509,Nice,667346,Toulouse,761963,Bordeaux,831788
Rouen,254342,Toulouse,249632,Toulouse,275436,Nice,294698,Douai - Lens,367525,Nice,382467,Toulouse,449863,Rouen,547391,Douai - Lens,533985,Grenoble,526891,Nantes,557947,Nantes,584306
Bordeaux,246074,Valenciennes,234894,Saint-…tienne,268076,Strasbourg,291153,Nantes,360172,Grenoble,373415,Rouen,398860,Douai - Lens,461735,Nantes,476295,Nantes,506701,Toulon,527814,Toulon,556538
Valenciennes,230979,Nancy,219986,Valenciennes,234480,Toulon,242451,Rouen,347057,Toulouse,370454,Nantes,396834,Grenoble,453110,Toulon,469027,Toulon,501648,Douai - Lens,518146,Douai - Lens,511345
Nancy,202675,Bordeaux,213988,Nancy,213209,Douai - Lens,235029,Saint-…tienne,293792,Strasbourg,299487,Toulon,329312,Toulon,441336,Rouen,450316,Douai - Lens,464766,Grenoble,483646,Grenoble,495342
Douai - Lens,200586,Strasbourg,195725,Nantes,198087,Saint-…tienne,234759,Valenciennes,258785,Nancy,283427,Grenoble,325438,Nantes,431843,Grenoble,450223,Rouen,456254,Rouen,463273,Rouen,464294
Grenoble,183409,Grenoble,177445,Le Havre,193476,OrlÈans,220691,Grenoble,233246,Nantes,252565,Saint-…tienne,324031,Valenciennes,426331,Saint-…tienne,409938,Strasbourg,410644,Strasbourg,435059,Strasbourg,449798
Metz,169867,Tours,173467,Strasbourg,185878,Le Havre,200087,BÈthune,232172,Le Havre,252427,Valenciennes,310683,Saint-…tienne,380892,Strasbourg,391877,BÈthune,407359,Avignon,405426,Avignon,440651
Strasbourg,165494,Nantes,170515,Douai - Lens,183339,Thionville,195116,Nancy,213537,Saint-…tienne,228973,BÈthune,274779,Nancy,363568,Avignon,352534,Avignon,379499,Saint-…tienne,381378,Montpellier,384165
Tours,164744,Metz,168623,Grenoble,177495,Rouen,190750,Strasbourg,202790,Clermont-Ferrand,224803,Strasbourg,266467,BÈthune,340703,Valenciennes,349334,Montpellier,349101,BÈthune,346888,Saint-…tienne,372967
Le Havre,160252,Le Havre,166229,BÈthune,176592,Grenoble,181508,Le Havre,196908,Dunkerque,219150,Le Havre,244132,Strasbourg,327296,BÈthune,341084,Tours,335977,Montpellier,344877,BÈthune,350068
Avignon,146941,Douai - Lens,157762,Tours,175108,Avignon,178847,Metz,183252,Tours,205022,Metz,233958,Le Havre,286184,Tours,301915,Valenciennes,315525,Valenciennes,334569,Tours,344739
Nantes,133077,BÈthune,153019,Metz,162365,Metz,178657,Toulon,165939,Rennes,188816,Nancy,233561,Tours,285567,Nancy,284441,Saint-…tienne,300505,Tours,332315,Valenciennes,333492
Toulon,131562,Avignon,149312,Avignon,148291,BÈthune,157292,Clermont-Ferrand,162713,Rouen,183980,Avignon,215252,Montpellier,283573,Metz,279814,Nancy,287243,Rennes,293546,Rennes,304729
Reims,128404,Reims,135234,Toulon,129568,Draguignan,156324,Avignon,160117,Metz,183612,Tours,212610,Le Mans,268766,Montpellier,263397,Metz,281674,Metz,290336,Metz,290851
OrlÈans,126405,Toulon,126788,OrlÈans,119095,Nantes,133378,OrlÈans,138495,Valenciennes,162818,Clermont-Ferrand,210571,Rennes,253244,Le Havre,261452,Rennes,266003,Nancy,288096,Nancy,286108
BÈthune,124005,OrlÈans,122150,Mulhouse,108037,Dijon,133175,Mulhouse,135185,OrlÈans,156698,Dijon,196612,Metz,241423,Clermont-Ferrand,256189,Angers,261606,OrlÈans,263292,OrlÈans,268468
Brest,114468,Brest,121575,Reims,96664,MontbÈliard,132882,Dijon,133523,Mulhouse,154524,Rennes,187760,Avignon,238211,Rennes,251163,Clermont-Ferrand,254416,Clermont-Ferrand,258541,Clermont-Ferrand,261281
Mulhouse,93861,Mulhouse,105491,Amiens,92838,Mulhouse,121622,Reims,130739,Dijon,148405,Mulhouse,176821,Mulhouse,226296,Mulhouse,227933,OrlÈans,243153,Le Havre,256558,Le Havre,244745
Amiens,90824,Amiens,93295,Clermont-Ferrand,92629,Rennes,110986,Rennes,123855,Avignon,144169,OrlÈans,171392,OrlÈans,217735,OrlÈans,220478,Le Havre,231174,Mulhouse,237975,Mulhouse,243618
Limoges,84162,Limoges,92204,Limoges,90298,Reims,99576,Tours,118881,Caen,141111,Reims,158675,Clermont-Ferrand,209234,Dijon,218984,Mulhouse,230451,Dijon,236953,Dijon,237924
Angers,82443,Angers,83823,Dijon,88621,Clermont-Ferrand,98784,Thionville,109234,Maubeuge,127774,Dunkerque,158033,Caen,202051,Le Mans,203829,Le Mans,208755,Angers,220037,Angers,220313
NÓmes,80648,NÓmes,80433,Angers,86229,Pau,92600,Limoges,107958,Pau,125378,Angers,152343,Angers,201808,Reims,201443,Reims,206229,Reims,215581,Bayonne,219618
Montpellier,76049,Montpellier,80281,NÓmes,82811,Lorient,92485,MontbÈliard,105837,Angers,122164,Caen,152005,Brest,198999,Brest,201145,Brest,204524,Le Mans,208205,Reims,211966
Rennes,74778,Rennes,79496,Rennes,82290,BesanÁon,90987,Le Mans,100543,Forbach,121945,Brest,144749,Reims,187858,Angers,195559,Caen,201512,Brest,206589,Le Mans,208283
Dijon,72110,Dijon,76815,Montpellier,81515,Perpignan,90258,Dunkerque,98078,Cherbourg-Octeville,117229,Thionville,137234,ChambÈry,186241,Dunkerque,194485,Dunkerque,194506,Bayonne,204132,Brest,201666
Le Mans,63376,Clermont-Ferrand,75466,MontbÈliard,79049,Bayonne,89221,Angers,94421,Reims,113872,Le Mans,136169,Bayonne,185638,Caen,187672,NÓmes,191782,Caen,203110,Pau,199199
