city,Pop1840,city,Pop1856,city,Pop1897,city,Pop1926,city,Pop1939,city,Pop1959,city,Pop1970,city,Pop1979,city,Pop1989,city,Pop2002,city,Pop2010
Saint-Petersburg,545979,Saint-Petersburg,554266,Saint-Petersburg,1368812,Moscow,2241631,Moscow,4875457,Moscow,7186148,Moscow,9061219,Moscow,10480741,Moscow,11625098,Moscow,13028998,Moscow,14425208
Moscow,353882,Moscow,380500,Moscow,1072171,Saint-Petersburg,1731240,Saint-Petersburg,3192284,Saint-Petersburg,3266874,Saint-Petersburg,3983679,Saint-Petersburg,4568107,Saint-Petersburg,5005419,Saint-Petersburg,4661219,Saint-Petersburg,4848742
Riga,71228,Odesa,101320,Odesa,403815,Kiiv,493873,Kharkiv,886939,Nizhni-Novgorod,1256441,Kiiv,1661009,Kiiv,2188695,Kiiv,2663763,Kiiv,2688169,Kiiv,2862217
Odesa,55000,Riga,70463,Riga,282230,Baku,446832,Kiiv,846724,Donetsk,1234109,Nizhni-Novgorod,1594859,Tashkent,2014625,Tashkent,2437877,Tashkent,2526372,Tashkent,2601360
Vilnius,53538,Tallinn,64572,Kiiv,247723,Kharkiv,422759,Nizhni-Novgorod,834342,Kiiv,1115549,Tashkent,1578798,Nizhni-Novgorod,1825479,Nizhni-Novgorod,1954795,Nizhni-Novgorod,1795488,Baku,1937300
Tula,51231,Chisi0u,63469,Kharkiv,173989,Odesa,411416,Donetsk,789737,Tashkent,1037834,Donetsk,1461824,Donetsk,1621354,Donetsk,1722085,Baku,1757815,Minsk,1850399
Astrakhan,45703,Kiiv,62497,Kaliningrad,162000,Rostov-on-Don,408079,Dniepropetrovsk,747761,Kharkiv,1034281,Kharkiv,1318070,Kharkiv,1543164,Kharkiv,1710411,Minsk,1716780,Nizhni-Novgorod,1723120
Kazan,45343,Saratov,61610,Tbilisi,159590,Riga,326023,Baku,631900,Novosibirsk,972987,Novosibirsk,1299400,Novosibirsk,1491498,Novosibirsk,1661119,Novosibirsk,1627866,Novosibirsk,1687247
Kiiv,44683,Kazan,56257,Saratov,157147,Tashkent,323544,Odesa,602251,Dniepropetrovsk,954915,Dniepropetrovsk,1222508,Dniepropetrovsk,1422972,Minsk,1612472,Donetsk,1568821,Kharkiv,1546603
Voronezh,43800,Tula,50641,Tashkent,155673,Tbilisi,284408,Rostov-on-Don,562300,Chelyabinsk,951859,Samara,1187900,Baku,1422512,Baku,1596550,Kharkiv,1564327,Ekaterinburg,1496136
