<<<<<<< HEAD
astrahan,Almaty
Baki,arhangeljsk
bar0ul,Ashgabat
Berditchiv,Asta0
cheljabinsk,astrahan
Chisi0u,belgorod
Dniepropetrovsk,Bishkek
Donetsk,blagovschsk
ekaterinbrg,Brest
Erevan,brjansk
habarovsk,cheboksary
ivanovo,Doushanbe
izhevsk,dzerdginsk
jaroslavlj,elec
kaliningrad,Evpatoria
kazan,Ganca
Kharkiv,Gomel
Kherson,Grod0
Kiiv,groznyj
krasnodar,irkutsk
kursk,Ismail
Minsk,Jelgava
Moscou,kaluga
nnovgorod,Karagandy
novosibirsk,Kau0s
Odesa,kemerovo
omsk,Kertch
permj,Khotin
Rga,kirov
rostov0don,Kirovograd
Saint-Ptersbourg,kostroma
samara,Koustaisi
Tallinn,krasnojarsk
Tashkent,Krementchouk
Tbilisi,Krivii Rig
tula,Lebedin
uljanovsk,Liepja
Vilnius,lipeck
Vitebsk,Lougansk
,Lviv
,magnitgorsk
,mahachkala
,majkop
,Makiivka
,mangan
,Maryoupol
,michurinsk
,Mikolaiv
,Mogileu
,morshansk
,murmansk
,Nizhin
,nizhntagil
,novcherkask
,novokuzneck
,novrossijsk
,Okhtirka
,Oral
,orenburg
,orjol
,orsk
,P_rnu
,penza
,Poltava
,prokopjevsk
,rjazan
,rzhev
,Samarkand
,saratov
,serpuhov
,Sevastopol
,Shymkent
,Simferopol
,smolensk
,Stakhanov/Brianka
,stavropolj
,syzranj
,taganrog
,tambov
,Tartu
,tjumen
,tobolsk
,toljatti
,tomsk
,torzhok
,tver
,ufa
,ulanude
,vladikavkaz
,vladimir
,vladivostok
,vnovgorod
,volgograd
,voljsk
,voronezh
,Zaporizhzha
,Zhitomir
=======
Moscou
Saint-Ptersbourg
Kiiv
Tashkent
Minsk
Kharkiv
novosibirsk
ekaterinbrg
kazan
Baki
uljanovsk
Odesa
nnovgorod
samara
Tbilisi
cheljabinsk
Vitebsk
Rga
Dniepropetrovsk
bar0ul
kursk
permj
habarovsk
Tallinn
Chisi0u
astrahan
krasnodar
Vilnius
tula
Donetsk
Berditchiv
jaroslavlj
Kherson
rostov0don
Erevan
izhevsk
kaliningrad
omsk
ivanovo
>>>>>>> master
