city	2000	city	1990	city	1980	city	1970	city	1960	city	1950	city	1940	city	1930	city	1920	city	1914	city	1904
Tôkyô	14239883	Tôkyô	13847018	Tôkyô	13120135	Tôkyô	11765378	Tôkyô	9583054	Tôkyô	6196890	Tôkyô	7031961	Ôsaka	2676739	Tôkyô	2262866	Tôkyô	2135671	Tôkyô	1818755
Ôsaka	12453808	Ôsaka	12352982	Ôsaka	11729925	Ôsaka	9916668	Ôsaka	6543420	Ôsaka	4156769	Ôsaka	4056628	Tôkyô	2405353	Ôsaka	1481451	Ôsaka	1548526	Ôsaka	1141242
Nagoya	4327461	Nagoya	4151209	Nagoya	3840540	Nagoya	3348828	Nagoya	2430095	Nagoya	1481880	Nagoya	1448148	Kyôto	952414	Kitakyûshû	688923	Kyôto	509457	Kyôto	380611
Yokohama	3426708	Yokohama	3220373	Yokohama	2773778	Yokohama	2238323	Yokohama	1375793	Kyôto	1105772	Kyôto	1089728	Nagoya	907470	Kyôto	591340	Nagoya	452013	Yokohama	326026
Sapporo	2097093	Sapporo	1932134	Sapporo	1668854	Kyôto	1419295	Kyôto	1284857	Yokohama	951294	Yokohama	968131	Kôbe	787693	Nagoya	430041	Kôbe	442270	Nagoya	288616
Fukuoka	1695231	Fukuoka	1533743	Kyôto	1473135	Kitakyûshû	1334466	Kitakyûshû	1167103	Kitakyûshû	916208	Kôbe	967216	Yokohama	620313	Yokohama	422932	Yokohama	397697	Kôbe	285033
Hiroshima	1526490	Hiroshima	1510178	Kitakyûshû	1382712	Kôbe	1288973	Kôbe	1114025	Kôbe	813680	Kitakyûshû	858845	Kitakyûshû	580615	Kôbe	308658	Kitakyûshû	391991	Hiroshima	187230
Kôbe	1493438	Kôbe	1477442	Kôbe	1367452	Sapporo	1265868	Sapporo	759743	Sapporo	523821	Hiroshima	589501	Hiroshima	460795	Hiroshima	290945	Hiroshima	295428	Nagasaki	153352
Kyôto	1467812	Kyôto	1461143	Fukuoka	1276547	Kawasaki	973594	Sendai	668265	Hiroshima	473554	Sapporo	370464	Sapporo	313514	Sapporo	210721	Sapporo	189857	Sapporo	134763
Sendai	1377324	Kitakyûshû	1338395	Hiroshima	1258728	Fukuoka	853321	Fukuoka	647108	Sendai	470504	Fukuoka	306895	Fukuoka	228313	Nagasaki	176545	Nagasaki	161236	Kitakyûshû	121296
Kitakyûshû	1311992	Sendai	1221148	Kawasaki	1040848	Hiroshima	824916	Hiroshima	641367	Shizuoka	427581	Kawasaki	300706	Nagasaki	204694	Hakodate	144770	Kanazawa	129898	Sendai	100202
Kawasaki	1249954	Kawasaki	1173698	Sendai	966677	Shizuoka	812918	Kawasaki	633027	Fukuoka	404173	Shizuoka	280825	Shizuoka	198910	Kanazawa	129335	Sendai	104137	Kanazawa	99767
Shizuoka	953255	Shizuoka	945701	Shizuoka	907562	Sendai	762327	Shizuoka	610875	Kawasaki	319275	Nagasaki	252693	Hakodate	197358	Sendai	119037	Hakodate	99886	Hakodate	85341
Chiba	887224	Chiba	829524	Chiba	746419	Chiba	482155	Kumamoto	373909	Kumamoto	286953	Sendai	238310	Sendai	195437	Kagoshima	103231	Fukuoka	97336	Okayama	81067
Kumamoto	662008	Okayama	593731	Okayama	545829	Kumamoto	440089	Nagasaki	344222	Kanazawa	261557	Sasebo	206059	Kumamoto	169175	Fukuoka	95469	Sasebo	94922	Fukuoka	71099
Okayama	626604	Kumamoto	579387	Kumamoto	525705	Hamamatsu	432281	Wakayama	337762	Ômuta	256245	Hakodate	203922	Kanazawa	157353	Okayama	94622	Okayama	87035	Wakayama	68525
Sagamihara	605637	Kagoshima	536855	Kagoshima	505487	Nagasaki	421112	Hamamatsu	333054	Nagasaki	241841	Wakayama	195209	Okayama	148783	Niigata	92140	Wakayama	77756	Sasebo	68330
Hamamatsu	582192	Hamamatsu	534618	Hamamatsu	490811	Wakayama	418748	Himeji	328766	Himeji	229741	Kumamoto	194197	Toyohashi	138863	Sasebo	87191	Kagoshima	75960	Tokushima	63744
Kagoshima	552165	Funabashi	533355	Funabashi	479438	Himeji	408405	Niigata	314539	Kagoshima	229528	Kagoshima	190331	Kagoshima	137238	Wakayama	83598	Tokushima	70353	Kumamoto	59709
Funabashi	550185	Sagamihara	531544	Niigata	457883	Kagoshima	403331	Gifu	304530	Hakodate	229084	Kanazawa	186307	Sasebo	133259	Shizuoka	74139	Kumamoto	68261	Niigata	59686
Hachiôji	536007	Niigata	486181	Wakayama	453391	Gifu	385709	Kanazawa	299051	Niigata	227251	Gifu	172353	Niigata	125186	Kumamoto	70492	Niigata	66685	Kagoshima	59001
Niigata	501415	Hachiôji	466320	Nagasaki	447171	Niigata	383946	Kagoshima	296029	Wakayama	226419	Hamamatsu	166310	Wakayama	117487	Tokushima	68557	Toyama	64857	Toyama	56351
