city,1900,city,1911,city,1921,city,1931,city,1940,city,1950,city,1961,city,1971,city,1981,city,1991,city,2001,city,2010
London,6339547,London,7251493,London,7480215,London,8203942,London,8655040,London,8348056,London,7992388,London,7452377,London,7566680,London,6679735,London,7187366,London,8173932
Glasgow,861768,Glasgow,884576,Glasgow,1006216,Glasgow,1017371,Glasgow,1131828,Birmingham,1112757,Birmingham,1107232,Birmingham,1013483,Birmingham,1014012,Birmingham,961097,Birmingham,1013277,Manchester,2682544
Liverpool,702237,Liverpool,746418,Birmingham,922278,Birmingham,1002648,Birmingham,1041020,Glasgow,1256998,Glasgow,1133862,Glasgow,1083265,Glasgow,927392,Glasgow,1298374,Leeds,726891,Glasgow,1622080
Manchester,2357150,Manchester,2617598,Liverpool,802996,Liverpool,855761,Liverpool,827464,Liverpool,788780,Liverpool,745817,Liverpool,603228,Liverpool,538838,Leeds,680706,Glasgow,1581250,Birmingham,1020589
Birmingham,522282,Birmingham,525896,Manchester,2660088,Manchester,2707070,Manchester,2693775,Manchester,2688987,Manchester,2699711,Manchester,2729741,Sheffield,470716,Sheffield,501245,Sheffield,530618,Leeds,726939
Leeds,429031,Sheffield,454665,Sheffield,490683,Sheffield,511819,Sheffield,520099,Sheffield,512978,Leeds,510749,Sheffield,516100,Leeds,445266,Bradford,457357,Bradford,483760,Sheffield,530375
Sheffield,409159,Leeds,445612,Leeds,458262,Leeds,482853,Leeds,494015,Leeds,505259,Sheffield,494347,Leeds,501177,Manchester,2575441,Liverpool,452595,Liverpool,458064,Bradford,483422
Belfast,349236,Belfast,386912,Edinburgh,420345,Edinburgh,434045,Edinburgh,475530,Edinburgh,466877,Edinburgh,468445,Edinburgh,453402,Bristol,413955,Manchester,2569750,Edinburgh,450252,Liverpool,467995
Bristol,329445,Bristol,357068,Belfast,415289,Belfast,415300,Belfast,438194,Bristol,442378,Bristol,437035,Bristol,426203,Edinburgh,408837,Edinburgh,404005,Manchester,2482352,Edinburgh,448850
Edinburgh,304864,Edinburgh,320345,Bristol,377036,Bristol,397064,Bristol,415596,Belfast,418781,Belfast,399368,Middlesbrough,395521,Wirral,339049,Bristol,339624,Bristol,405231,Bristol,399633
Bradford,279869,Bradford,288520,Bradford,291059,Hull,313521,Hull,318722,Nottingham,306113,Coventry,395537,Belfast,360273,Leicester,324449,Wirral,330894,Wirral,326678,Wirral,329179
Hull,240316,Hull,278026,Hull,287265,Bradford,298008,Newcastle-upon-Tyne,291323,Hull,299186,Wirral,352081,Wirral,355834,Hull,322113,Wakefield,310973,Cardiff,324423,Wakefield,317342
Nottingham,239757,Newcastle-upon-Tyne,266635,Newcastle-upon-Tyne,275030,Newcastle-upon-Tyne,283222,Bradford,288711,Bradford,292450,Sandwell,339544,Coventry,333022,Coventry,318793,Dudley,304683,Wakefield,319614,Cardiff,315040
Newcastle-upon-Tyne,215311,Nottingham,259909,Nottingham,262653,Stoke-on-Trent,276690,Nottingham,278318,Newcastle-upon-Tyne,291731,Nottingham,311906,Sandwell,330216,Sandwell,307065,Sandwell,290128,Dudley,311975,Dudley,312194
Stoke-on-Trent,214748,Stoke-on-Trent,234538,Portsmouth,247314,Nottingham,268820,Stoke-on-Trent,272057,Leicester,285214,Hull,303366,Sefton,307561,Sefton,302015,Sefton,289520,Coventry,303908,Coventry,306503
Leicester,211608,Portsmouth,231109,Stoke-on-Trent,240420,Portsmouth,252460,Leicester,263344,Stoke-on-Trent,275135,Bradford,295975,Nottingham,296838,Belfast,297910,Sunderland,289093,Belfast,297271,Belfast,297396
Portsmouth,188171,Leicester,227214,Leicester,234122,Leicester,239243,Portsmouth,258447,Coventry,258212,Sefton,294571,Bradford,294516,Bradford,293369,Doncaster,288988,Leicester,290907,Leicester,294830
Cardiff,164382,Cardiff,182338,Plymouth,210075,Cardiff,223699,Cardiff,223173,Cardiff,243628,Leicester,273565,Hull,284753,Nottingham,273354,Coventry,284423,Sunderland,290792,Sunderland,294261
Dundee,161214,Dundee,165087,Cardiff,200264,Plymouth,208288,Coventry,213083,Portsmouth,233524,Newcastle-upon-Tyne,269743,Leicester,282089,Stoke-on-Trent,272418,Belfast,284417,Doncaster,289906,Sandwell,292196
Sunderland,146171,Aberdeen,163995,Dundee,168326,Sunderland,185872,Plymouth,211847,Plymouth,209085,Stoke-on-Trent,265343,Cardiff,276810,Wolverhampton,263548,Nottingham,284022,Sandwell,289435,Sefton,289739
Blackburn,129298,Rhondda,152863,Rhondda,162720,Southampton,176005,Sunderland,182429,Aberdeen,182719,Cardiff,256308,Wolverhampton,268475,Cardiff,262329,Cardiff,272616,Sefton,286950,Nottingham,283969
Brighton,123529,Sunderland,151277,Southampton,161030,Dundee,175654,Aberdeen,180852,Sunderland,181582,Portsmouth,215164,Stoke-on-Trent,263687,Plymouth,238645,Leicester,270502,Nottingham,284374,Newcastle-upon-Tyne,282338
Aberdeen,114903,Blackburn,133107,Sunderland,159162,Aberdeen,167361,Southampton,180135,Southampton,178357,North Tyneside,210569,Plymouth,246953,Derby,218007,Hull,266907,Newcastle-upon-Tyne,273047,Hull,266775
Derby,114878,Brighton,131236,Aberdeen,159027,Coventry,167122,Dundee,179037,Dundee,177392,Southampton,204822,Newcastle-upon-Tyne,221432,Southampton,211341,Newcastle-upon-Tyne,259586,Walsall,261130,Walsall,262593
Rhondda,113785,Birkenhead,130815,Swansea,157626,Swansea,164805,Swansea,161104,Wolverhampton,162704,Plymouth,204463,Derby,219379,Newcastle-upon-Tyne,199107,Walsall,259577,Hull,257926,Plymouth,255826
Preston,113073,Derby,123418,Birkenhead,145625,Birkenhead,147805,Brighton,146583,Swansea,161086,Calderdale,201275,Sunderland,215734,North Tyneside,197423,Plymouth,255876,Rotherham,253745,Rotherham,255342
Norwich,111769,Norwich,121547,Brighton,142460,Brighton,147410,Wolverhampton,145343,Brighton,156513,Sunderland,189781,Southampton,213615,Sunderland,195124,Stoke-on-Trent,254326,Plymouth,253299,Stoke-on-Trent,254438
Birkenhead,110995,Southampton,119022,Middlesbrough,131111,Derby,142490,Birkenhead,144474,Southend-on-Sea,151821,Aberdeen,185451,North Tyneside,207981,Reading,194783,Rotherham,251699,Stoke-on-Trent,250837,Wolverhampton,244453
Gateshead,109975,Preston,117113,Derby,129840,Rhondda,141355,Middlesbrough,139807,Middlesbrough,147352,South Tyneside,184848,Portsmouth,204335,Calderdale,190365,Wolverhampton,242221,Wolverhampton,240986,Derby,233708
Plymouth,107638,Gateshead,116925,Coventry,128233,Middlesbrough,138395,Derby,139058,Blackpool,147278,Dundee,183015,Calderdale,195299,Aberdeen,186892,Derby,235277,Derby,236473,Swansea,230180
Halifax,104969,Swansea,114742,Blackburn,126664,Wolverhampton,133250,Southend-on-Sea,138142,Bournemouth,144722,Swansea,166726,Knowsley,194189,Dudley,186550,Barnsley,220944,Swansea,229832,Barnsley,227213
