city,c1900,city,c1910,city,c1920,city,c1930,city,c1940,city,c1950,city,c1960,city,c1970,city,c1980,city,c1990,city,2000,city,2010
New York,3437242,New York,4766918,New York,5620054,New York,6930463,New York,7455090,New York,7892084,New York,7782013,New York,7894917,New York,7071669,New York,7322660,New York,8008330,New York,8175133
Chicago,1698659,Chicago,2185321,Chicago,2701746,Chicago,3376426,Chicago,3396822,Chicago,3621086,Chicago,3550492,Chicago,3367023,Chicago,3005184,Los Angeles,3485429,Los Angeles,3694891,Los Angeles,3792621
Philadelphia,1293800,Philadelphia,1549047,Philadelphia,1823832,Philadelphia,1951013,Philadelphia,1931395,Philadelphia,2071684,Los Angeles,2479050,Los Angeles,2816128,Los Angeles,2968572,Chicago,2783750,Chicago,2896048,Chicago,2695598
Saint Louis,575231,Saint Louis,687057,Detroit,993733,Detroit,1568793,Detroit,1623568,Los Angeles,1970491,Philadelphia,2002572,Philadelphia,1948661,Philadelphia,1688297,Houston,1630641,Houston,1953681,Houston,2100263
Boston,560966,Boston,670639,Cleveland,796846,Los Angeles,1238077,Los Angeles,1504322,Detroit,1849641,Detroit,1670128,Detroit,1511598,Houston,1595125,Philadelphia,1585676,Philadelphia,1517677,Philadelphia,1526006
Baltimore,509012,Cleveland,560767,Saint Louis,772908,Cleveland,900454,Cleveland,878350,Baltimore,949765,Baltimore,939079,Houston,1232834,Detroit,1203483,San Diego,1110559,Phoenix,1321017,Phoenix,1445632
Cleveland,381886,Baltimore,558596,Boston,748151,Saint Louis,822014,Baltimore,859152,Cleveland,914804,Houston,938268,Baltimore,905868,Dallas,904637,Detroit,1028037,San Diego,1223437,San Antonio,1327407
Buffalo,352470,Detroit,465842,Baltimore,733864,Baltimore,804951,Saint Louis,816076,Saint Louis,856843,Cleveland,876115,Dallas,844426,San Diego,875545,Dallas,1006929,Dallas,1188615,San Diego,1307402
San Francisco,342801,Buffalo,423789,Los Angeles,576770,Boston,781218,Boston,770859,Washington,802224,Washington,764064,Washington,756570,Phoenix,789750,Phoenix,983474,San Antonio,1144610,Dallas,1197816
Cincinnati,325929,San Francisco,416967,Pittsburgh,533953,San Francisco,634437,Pittsburgh,671780,Boston,801405,Saint Louis,750038,Cleveland,750991,Baltimore,786719,San Antonio,935984,Detroit,951348,San Jose,945942
New Orleans,287181,Milwaukee,373998,Buffalo,506892,Pittsburgh,588340,Washington,663116,San Francisco,775475,Milwaukee,741315,Indianapolis,744697,San Antonio,785973,San Jose,782210,San Jose,894928,Austin,790390
Detroit,285702,Cincinnati,363635,San Francisco,506779,Milwaukee,578219,San Francisco,634584,Pittsburgh,676815,San Francisco,740325,Milwaukee,717111,Indianapolis,711599,Indianapolis,742067,Indianapolis,791991,Jacksonville,821784
