name;lat;lon;country;type
Edmonton;53.54200131;-113.4855766;CA;seed
Montreal;45.53269003;-73.66822949;CA;seed
Ottawa;45.41781152;-75.69404691;CA;seed
Quebec;46.82043598;-71.27167611;CA;seed
Toronto;43.65246768;-79.53381024;CA;seed
Vancouver;49.2292552;-122.9851417;CA;seed
Winnipeg;49.87947386;-97.1510269;CA;seed
Ajax;43.850374;-79.024658;CA;epoch
Belleville;44.2436328;-77.3607597;CA;epoch
Brampton;43.6858146;-79.7599337;CA;epoch
Brandon;49.8511143;-99.9608924;CA;epoch
Brantford;43.1554354;-80.2665916;CA;epoch
Burlington;43.3248924;-79.7966835;CA;epoch
Burnaby;49.2433804;-122.9725459;CA;epoch
Calgary;51.02532675;-114.0498685;CA;epoch
Cap-de-la-Madeleine;46.368253;-72.509079;CA;epoch
Cape Breton;46.2950327;-60.93605535;CA;epoch
Charlottetown;46.234953;-63.132935;CA;epoch
Chatham;42.405207;-82.191467;CA;epoch
Chilliwack;49.157677;-121.9514307;CA;epoch
Drummondville;45.8864303;-72.5018764;CA;epoch
East York;43.6913391;-79.3278212;CA;epoch
Etobicoke;43.67145915;-79.55249207;CA;epoch
Fredericton;45.966425;-66.645813;CA;epoch
Galt;43.3589869;-80.3152471;CA;epoch
Glace Bay;46.1949393;-59.9561999;CA;epoch
Guelph;43.533783;-80.2306337;CA;epoch
Halifax;44.8543667;-63.137798;CA;epoch
Hamilton;43.2425289;-79.9470423;CA;epoch
Hull;45.4371637;-75.7241942;CA;epoch
Joliette;46.0528409;-73.4617483;CA;epoch
Kamloops;50.6758269;-120.3394159;CA;epoch
Kelowna;49.889326;-119.498291;CA;epoch
Kingston;44.3054151;-76.4283781;CA;epoch
Kitchener;43.453168;-80.494423;CA;epoch
Lachine;45.4486969;-73.7110536;CA;epoch
Laval;45.60558895;-73.73441731;CA;epoch
Lethbridge;49.694285;-112.851562;CA;epoch
Levis;46.7910096;-71.1753274;CA;epoch
