City;Country;Type
Belleville;Canada;
Brampton;Canada;
Brandon;Canada;
Brantford;Canada;
Calgary;Canada;
Charlottetown;Canada;
Chatham;Canada;
Drummondville;Canada;
Fredericton;Canada;
Glace Bay;Canada;
Guelph;Canada;
Halifax;Canada;
Hamilton;Canada;
Hull;Canada;
Kamloops;Canada;
Kelowna;Canada;
Kingston;Canada;
Kitchener;Canada;
Lachine;Canada;
Lethbridge;Canada;
Levis;Canada;
London;Canada;
Moncton;Canada;
Nanaimo;Canada;
New Westminster;Canada;
Niagara Falls;Canada;
Oakville;Canada;
Oshawa;Canada;
Peterborough;Canada;
Regina;Canada;
Saguenay;Canada;
Saint Boniface;Canada;
Saint Catharines;Canada;
Saint-Hyacinthe;Canada;
Saint-Jerome;Canada;
Saint-Thomas;Canada;
Sarnia;Canada;
Saskatoon;Canada;
Sault Sainte Marie;Canada;
Sherbrooke;Canada;
Sorel;Canada;
St. Johns;Canada;
Stratford;Canada;
Sudbury;Canada;
Sydney;Canada;
Thunder Bay;Canada;
Timmins;Canada;
Trois-Rivieres;Canada;
Verdun;Canada;
Victoria;Canada;
Waterloo;Canada;
Windsor;Canada;
Albacete;Spain;
Alcoi;Spain;
Algeciras;Spain;
Alicante;Spain;
Almeria;Spain;
Antequera;Spain;
Badajoz;Spain;
Barakaldo;Spain;
Burgos;Spain;
Caceres;Spain;
Cadiz;Spain;
Cartagena;Spain;
Castello de la Plana;Spain;
Ceuta;Spain;
Ciudad Real;Spain;
Cordoba;Spain;
Coruna;Spain;
Donostia-San Sebastian;Spain;
Ecija;Spain;
Elche;Spain;
Ferrol;Spain;
Gijon;Spain;
Girona;Spain;
Granada;Spain;
Huelva;Spain;
Iruna;Spain;
Jaen;Spain;
Jerez de la Frontera;Spain;
Langreo;Spain;
Leon;Spain;
Linares;Spain;
Linea de la Concepcion;Spain;
Lleida;Spain;
Logrono;Spain;
Lorca;Spain;
Lugo;Spain;
Manresa;Spain;
Mataro;Spain;
Melilla;Spain;
Mieres;Spain;
Orihuela;Spain;
Ourense;Spain;
Oviedo;Spain;
Palencia;Spain;
Palma de Mallorca;Spain;
Palmas de Gran Canaria;Spain;
Pontevedra;Spain;
Reus;Spain;
Sabadell;Spain;
Salamanca;Spain;
San Cristobal de la Laguna;Spain;
San Fernando;Spain;
Sanlucar de Barrameda;Spain;
Santa Cruz de Tenerife;Spain;
Santander;Spain;
Santiago de Compostela;Spain;
Talavera de la Reina;Spain;
Tarragona;Spain;
Terrassa;Spain;
Toledo;Spain;
Tortosa;Spain;
Utrera;Spain;
Valladolid;Spain;
Velez-Malaga;Spain;
Vigo;Spain;
Vitoria-Gasteiz;Spain;
Zamora;Spain;
Alessandria;Italy;
Ancona;Italy;
Andria;Italy;
Arezzo;Italy;
Bari;Italy;
Bergamo;Italy;
Bolzano;Italy;
Brescia;Italy;
Cagliari;Italy;
Caltanissetta;Italy;
Caserta;Italy;
Castellammare di Stabia;Italy;
Catania;Italy;
Catanzaro;Italy;
Cesena;Italy;
Cosenza;Italy;
Cremona;Italy;
Faenza;Italy;
Ferrara;Italy;
Foggia;Italy;
Forli;Italy;
Gela;Italy;
La Spezia;Italy;
Laquila;Italy;
Lecce;Italy;
Livorno;Italy;
Lucca;Italy;
Mantova;Italy;
Marsala;Italy;
Messina;Italy;
Modena;Italy;
Monza;Italy;
Novara;Italy;
Padova;Italy;
Parma;Italy;
Pavia;Italy;
Perugia;Italy;
Pesaro;Italy;
Pescara;Italy;
Piacenza;Italy;
Pisa;Italy;
Pistoia;Italy;
Prato;Italy;
Ravenna;Italy;
Reggio di Calabria;Italy;
Reggio nellEmilia;Italy;
Rimini;Italy;
Salerno;Italy;
Sassari;Italy;
Sesto San Giovanni;Italy;
Siena;Italy;
Siracusa;Italy;
Taranto;Italy;
Terni;Italy;
Torre Annunziata;Italy;
Torre del Greco;Italy;
Trapani;Italy;
Trento;Italy;
Trieste;Italy;
Udine;Italy;
Venezia;Italy;
Verona;Italy;
Vicenza;Italy;
Vigevano;Italy;
Acambaro;Mexico;
Acapulco;Mexico;
Aguascalientes;Mexico;
Campeche;Mexico;
Celaya;Mexico;
Chihuahua;Mexico;
Ciudad Guzman;Mexico;
Ciudad Madero;Mexico;
Ciudad Obregon;Mexico;
Ciudad Victoria;Mexico;
Coatzacoalcos;Mexico;
Colima - Villa de Alvarez;Mexico;
Cordoba;Mexico;
Cuernavaca;Mexico;
Culiacan;Mexico;
Durango;Mexico;
Ensenada;Mexico;
Fresnillo;Mexico;
Guanajuato;Mexico;
Hermosillo;Mexico;
Heroica Matamoros;Mexico;
Heroica Nogales;Mexico;
Heroica Zamora;Mexico;
Hidalgo del Parral;Mexico;
Iguala de la Independencia;Mexico;
Irapuato;Mexico;
La Paz;Mexico;
La Piedad - Penjamo;Mexico;
Linares;Mexico;
Los Mochis;Mexico;
Matehuala;Mexico;
Mazatlan;Mexico;
Merida;Mexico;
Mexicali;Mexico;
Minatitlan;Mexico;
Monclova;Mexico;
Morelia;Mexico;
Nuevo Laredo;Mexico;
Oaxaca;Mexico;
Ocotlan;Mexico;
Orizaba;Mexico;
Pachuca;Mexico;
Piedras Negras;Mexico;
Queretaro;Mexico;
Reynosa;Mexico;
Salamanca;Mexico;
Saltillo;Mexico;
San Cristobal de las Casas;Mexico;
San Francisco del Rincon;Mexico;
San Luis Potosi;Mexico;
Silao;Mexico;
Tampico;Mexico;
Tapachula;Mexico;
Tehuacan;Mexico;
Tehuantepec - Salina Cruz;Mexico;
Tepic;Mexico;
Teziutlan;Mexico;
Tijuana;Mexico;
Tlaxcala - Apizaco;Mexico;
Toluca;Mexico;
Tuxpam;Mexico;
Tuxtla Gutierrez;Mexico;
Uruapan;Mexico;
Veracruz;Mexico;
Villahermosa;Mexico;
Xalapa;Mexico;
Zacatecas - Guadalupe;Mexico;
Agen;France;
Ajaccio;France;
Albi;France;
Amiens;France;
Angers;France;
Annemasse;France;
Arras;France;
Avignon;France;
Bastia;France;
Bayonne;France;
Beauvais;France;
Belfort;France;
Blois;France;
Boulogne-sur-Mer;France;
Bourg-en-Bresse;France;
Bourges;France;
Bourgoin-Jallieu;France;
Brest;France;
Brive-la-Gaillarde;France;
Caen;France;
Calais;France;
Chartres;France;
Cherbourg-Octeville;France;
Clermont-Ferrand;France;
Cluses;France;
Colmar;France;
Creil;France;
Dijon;France;
Douai - Lens;France;
Draguignan;France;
Dunkerque;France;
Forbach;France;
Grenoble;France;
La Rochelle;France;
La Teste-de-Buch - Arcachon;France;
Laval;France;
Le Havre;France;
Le Mans;France;
Limoges;France;
Lorient;France;
Maubeuge;France;
Meaux;France;
Metz;France;
Montauban;France;
Montpellier;France;
Mulhouse;France;
Nancy;France;
Nantes;France;
Nevers;France;
Niort;France;
Pau;France;
Perpignan;France;
Poitiers;France;
Quimper;France;
Reims;France;
Rennes;France;
Roanne;France;
Rouen;France;
Saint-Brieuc;France;
Saint-Just-Saint-Rambert;France;
Saint-Nazaire;France;
Saint-Quentin;France;
Strasbourg;France;
Tarbes;France;
Thionville;France;
Toulon;France;
Toulouse;France;
Tours;France;
Troyes;France;
Valence;France;
Valenciennes;France;
Vichy;France;
Vienne;France;
Akita;Japan;
Aomori;Japan;
Asahikawa;Japan;
Chiba;Japan;
Fukui;Japan;
Funabashi;Japan;
Gifu;Japan;
Hachioji;Japan;
Hakodate;Japan;
Hamamatsu;Japan;
Himeji;Japan;
Kagoshima;Japan;
Kanazawa;Japan;
Kawaguchi;Japan;
Kawasaki;Japan;
Kochi;Japan;
Kumamoto;Japan;
Kurashiki;Japan;
Maebashi;Japan;
Matsuyama;Japan;
Muroran;Japan;
Nagano;Japan;
Niigata;Japan;
Okayama;Japan;
Omuta;Japan;
Sasebo;Japan;
Shizuoka;Japan;
Takamatsu;Japan;
Tokushima;Japan;
Toyama;Japan;
Toyohashi;Japan;
Tsu;Japan;
Utsunomiya;Japan;
Wakayama;Japan;
Yokkaichi;Japan;
Akron;USA;
Albany;USA;
Allentown;USA;
Arlington;USA;
Atlanta;USA;
Austin;USA;
Baltimore;USA;
Baton Rouge;USA;
Birmingham;USA;
Boston;USA;
Bridgeport;USA;
Buffalo;USA;
Charlotte;USA;
Chattanooga;USA;
Cincinnati;USA;
Cleveland;USA;
Columbus;USA;
Corpus Christi;USA;
Dallas;USA;
Dayton;USA;
Denver;USA;
Des Moines;USA;
El Paso;USA;
Elizabeth;USA;
Erie;USA;
Evansville;USA;
Flint;USA;
Fort Wayne;USA;
Fort Worth;USA;
Gary;USA;
Grand Rapids;USA;
Honolulu;USA;
Indianapolis;USA;
Jacksonville;USA;
Jersey City;USA;
Kansas City;USA;
Knoxville;USA;
Lincoln;USA;
Long Beach;USA;
Louisville;USA;
Memphis;USA;
Miami;USA;
Milwaukee;USA;
Minneapolis;USA;
Mobile;USA;
Montgomery;USA;
Nashville-Davidson;USA;
New Haven;USA;
New Orleans;USA;
Newark;USA;
Norfolk;USA;
Oakland;USA;
Oklahoma City;USA;
Omaha;USA;
Paterson;USA;
Peoria;USA;
Phoenix;USA;
Pittsburgh;USA;
Portland;USA;
Providence;USA;
Richmond;USA;
Rochester;USA;
Rockford;USA;
Sacramento;USA;
Saint Paul;USA;
Salt Lake City;USA;
San Antonio;USA;
San Diego;USA;
San Francisco;USA;
San Jose;USA;
Savannah;USA;
Seattle;USA;
Shreveport;USA;
South Bend;USA;
Spokane;USA;
Springfield;USA;
Syracuse;USA;
Tacoma;USA;
Tampa;USA;
Toledo;USA;
Tulsa;USA;
Washington;USA;
Wichita;USA;
Worcester;USA;
Yonkers;USA;
Youngstown;USA;
Aberdeen;UK;
Barnsley;UK;
Bath;UK;
Birkenhead;UK;
Blackburn;UK;
Brighton;UK;
Cardiff;UK;
Coventry;UK;
Darlington;UK;
Derby;UK;
Doncaster;UK;
Dudley;UK;
Dundee;UK;
Halifax;UK;
Hartlepool;UK;
Huddersfield;UK;
Hull;UK;
Leicester;UK;
Luton;UK;
Middlesbrough;UK;
Newcastle-upon-Tyne;UK;
Norwich;UK;
Nottingham;UK;
Oldbury and Smethwick;UK;
Plymouth;UK;
Poole;UK;
Portsmouth;UK;
Preston;UK;
Rhondda;UK;
Rotherham;UK;
South Shields;UK;
Southampton;UK;
Southend-on-Sea;UK;
Stoke-on-Trent;UK;
Sunderland;UK;
Swansea;UK;
Wakefield;UK;
Walsall;UK;
Wolverhampton;UK;
Almaty;URSS;
Astrakhan;URSS;
Babruisk;URSS;
Baku;URSS;
Bar0ul;URSS;
Bishkek;URSS;
Chelyabinsk;URSS;
Chernivtsi;URSS;
Chisi0u;URSS;
Chita;URSS;
Dniepropetrovsk;URSS;
Donetsk;URSS;
Dushambe;URSS;
Ekaterinburg;URSS;
Erevan;URSS;
Gomel;URSS;
Gorlivka;URSS;
Grod0;URSS;
Irkutsk;URSS;
Izhevsk;URSS;
Kaliningrad;URSS;
Kaluga;URSS;
Karagandy;URSS;
Kau0s;URSS;
Kazan;URSS;
Khabarovsk;URSS;
Kharkiv;URSS;
Kherson;URSS;
Kiiv;URSS;
Kirov;URSS;
Kramatorsk;URSS;
Krasnodar;URSS;
Krasnoyarsk;URSS;
Krivii Rig;URSS;
Kursk;URSS;
Lipetsk;URSS;
Lviv;URSS;
Mahachkala;URSS;
Mikolaiv;URSS;
Minsk;URSS;
Mogilev;URSS;
Murmansk;URSS;
Nizhni-Novgorod;URSS;
Nizhni-Tagil;URSS;
Novokuznetsk;URSS;
Novomoskovsk;URSS;
Novosibirsk;URSS;
Odesa;URSS;
Omsk;URSS;
Orel;URSS;
Penza;URSS;
Perm;URSS;
Poltava;URSS;
Pyatigorsk;URSS;
Riga;URSS;
Rostov-on-Don;URSS;
Ryazan;URSS;
Samara;URSS;
Samarkand;URSS;
Saratov;URSS;
Sevastopol;URSS;
Tallinn;URSS;
Tambov;URSS;
Tashkent;URSS;
Tbilisi;URSS;
Tiraspol;URSS;
Toljatti;URSS;
Tomsk;URSS;
Tula;URSS;
Tver;URSS;
Ufa;URSS;
Ulianovsk;URSS;
Vilnius;URSS;
Vitebsk;URSS;
Vladivostok;URSS;
Volgograd;URSS;
Vologda;URSS;
Voronezh;URSS;
Yaroslavl;URSS;
Zaporizhzha;URSS;
