"";"city";"country";"type";"name";"lat";"lon"
"9";"Belleville";"Canada";"epoch";"Belleville";"44.2436328";"-77.3607597"
"10";"Brampton";"Canada";"epoch";"Brampton";"43.6858146";"-79.7599337"
"11";"Brandon";"Canada";"epoch";"Brandon";"49.8511143";"-99.9608924"
"12";"Brantford";"Canada";"epoch";"Brantford";"43.1554354";"-80.2665916"
"15";"Calgary";"Canada";"epoch";"Calgary";"51.02532675";"-114.0498685"
"18";"Charlottetown";"Canada";"epoch";"Charlottetown";"46.234953";"-63.132935"
"19";"Chatham";"Canada";"epoch";"Chatham";"42.405207";"-82.191467"
"21";"Drummondville";"Canada";"epoch";"Drummondville";"45.8864303";"-72.5018764"
"24";"Fredericton";"Canada";"epoch";"Fredericton";"45.966425";"-66.645813"
"26";"Glace Bay";"Canada";"epoch";"Glace Bay";"46.1949393";"-59.9561999"
"27";"Guelph";"Canada";"epoch";"Guelph";"43.533783";"-80.2306337"
"28";"Halifax";"Canada";"epoch";"Halifax";"44.8543667";"-63.137798"
"29";"Hamilton";"Canada";"epoch";"Hamilton";"43.2425289";"-79.9470423"
"30";"Hull";"Canada";"epoch";"Hull";"45.4371637";"-75.7241942"
"32";"Kamloops";"Canada";"epoch";"Kamloops";"50.6758269";"-120.3394159"
"33";"Kelowna";"Canada";"epoch";"Kelowna";"49.889326";"-119.498291"
"34";"Kingston";"Canada";"epoch";"Kingston";"44.3054151";"-76.4283781"
"35";"Kitchener";"Canada";"epoch";"Kitchener";"43.453168";"-80.494423"
"36";"Lachine";"Canada";"epoch";"Lachine";"45.4486969";"-73.7110536"
"38";"Lethbridge";"Canada";"epoch";"Lethbridge";"49.694285";"-112.851562"
"39";"Levis";"Canada";"epoch";"Levis";"46.7910096";"-71.1753274"
"40";"London";"Canada";"epoch";"London";"42.9537654";"-81.2291529"
"43";"Moncton";"Canada";"epoch";"Moncton";"46.097995";"-64.80011"
"45";"Nanaimo";"Canada";"epoch";"Nanaimo";"49.1637594";"-123.9379719"
"47";"New Westminster";"Canada";"epoch";"New Westminster";"49.205728";"-122.9108651"
"48";"Niagara Falls";"Canada";"epoch";"Niagara Falls";"43.100983";"-79.115295"
"50";"Oakville";"Canada";"epoch";"Oakville";"43.447436";"-79.666672"
"51";"Oshawa";"Canada";"epoch";"Oshawa";"43.91768";"-78.862953"
"53";"Peterborough";"Canada";"epoch";"Peterborough";"44.3048009";"-78.3199496"
"55";"Regina";"Canada";"epoch";"Regina";"50.44876";"-104.61731"
"58";"Saguenay";"Canada";"epoch";"Saguenay";"48.405959";"-71.069183"
"59";"Saint Boniface";"Canada";"epoch";"Saint Boniface";"46.505246";"-72.828712"
"60";"Saint Catharines";"Canada";"epoch";"Saint Catharines";"43.167376";"-79.241638"
"64";"Saint-Hyacinthe";"Canada";"epoch";"Saint-Hyacinthe";"45.627484";"-72.940636"
"65";"Saint-Jerome";"Canada";"epoch";"Saint-Jerome";"45.775426";"-74.013176"
"66";"Saint-Thomas";"Canada";"epoch";"Saint-Thomas";"42.7792897";"-81.1832518"
"67";"Sarnia";"Canada";"epoch";"Sarnia";"42.992595";"-82.380981"
"68";"Saskatoon";"Canada";"epoch";"Saskatoon";"52.131802";"-106.660767"
"69";"Sault Sainte Marie";"Canada";"epoch";"Sault Sainte Marie";"46.52391";"-84.320068"
"71";"Sherbrooke";"Canada";"epoch";"Sherbrooke";"45.403271";"-71.889038"
"72";"Sorel";"Canada";"epoch";"Sorel";"46.044404";"-73.104744"
"73";"St. Johns";"Canada";"epoch";"St. Johns";"47.561701";"-52.715149"
"74";"Stratford";"Canada";"epoch";"Stratford";"46.2189935";"-63.08765341"
"75";"Sudbury";"Canada";"epoch";"Sudbury";"46.49272";"-80.991211"
"77";"Sydney";"Canada";"epoch";"Sydney";"46.137977";"-60.194092"
"79";"Thunder Bay";"Canada";"epoch";"Thunder Bay";"48.406414";"-89.259796"
"80";"Timmins";"Canada";"epoch";"Timmins";"48.477473";"-81.330414"
"81";"Trois-Rivieres";"Canada";"epoch";"Trois-Rivieres";"46.3507999";"-72.5571257"
"82";"Verdun";"Canada";"epoch";"Verdun";"45.4603893";"-73.5651925"
"83";"Victoria";"Canada";"epoch";"Victoria";"48.4283182";"-123.3649533"
"84";"Waterloo";"Canada";"epoch";"Waterloo";"43.466874";"-80.524635"
"86";"Windsor";"Canada";"epoch";"Windsor";"42.30423";"-83.029861"
"96";"Albacete";"Spain";"epoch";"Albacete";"38.9890121";"-1.8548699"
"97";"Alcoi";"Spain";"epoch";"Alcoi";"38.7005237";"-0.479220415"
"98";"Algeciras";"Spain";"epoch";"Algeciras";"36.1310804";"-5.4487055"
"99";"Alicante";"Spain";"epoch";"Alicante";"38.353738";"-0.4901846"
"100";"Almeria";"Spain";"epoch";"Almeria";"36.8414197";"-2.4628135"
"101";"Antequera";"Spain";"epoch";"Antequera";"37.0183652";"-4.5596649"
"103";"Badajoz";"Spain";"epoch";"Badajoz";"38.8780585";"-6.9702048"
"104";"Barakaldo";"Spain";"epoch";"Barakaldo";"43.29548";"-2.9900933"
"105";"Burgos";"Spain";"epoch";"Burgos";"42.343926";"-3.696977"
"106";"Caceres";"Spain";"epoch";"Caceres";"39.4745175";"-6.3716761"
"107";"Cadiz";"Spain";"epoch";"Cadiz";"36.5298292";"-6.2925679"
"108";"Cartagena";"Spain";"epoch";"Cartagena";"37.6267868";"-1.0006184"
"109";"Castello de la Plana";"Spain";"epoch";"Castello de la Plana";"39.9860347";"-0.0377354"
"110";"Ceuta";"Spain";"epoch";"Ceuta";"35.888361";"-5.304138"
"111";"Ciudad Real";"Spain";"epoch";"Ciudad Real";"38.95975095";"-3.882828339"
"112";"Cordoba";"Spain";"epoch";"Cordoba";"37.8845813";"-4.7760138"
"113";"Coruna";"Spain";"epoch";"Coruna";"43.3712091";"-8.3958768"
"114";"Donostia-San Sebastian";"Spain";"epoch";"Donostia-San Sebastian";"43.3224219";"-1.9838889"
"115";"Ecija";"Spain";"epoch";"Ecija";"37.5406007";"-5.079589"
"117";"Elche";"Spain";"epoch";"Elche";"38.2653181";"-0.6988488"
"119";"Ferrol";"Spain";"epoch";"Ferrol";"43.4846862";"-8.233162"
"120";"Gijon";"Spain";"epoch";"Gijon";"43.5450394";"-5.6626443"
"121";"Girona";"Spain";"epoch";"Girona";"41.9793006";"2.8199439"
"122";"Granada";"Spain";"epoch";"Granada";"37.183054";"-3.6021928"
"123";"Huelva";"Spain";"epoch";"Huelva";"37.2575874";"-6.9484945"
"124";"Iruna";"Spain";"epoch";"Iruna";"42.8184538";"-1.6442556"
"125";"Jaen";"Spain";"epoch";"Jaen";"37.7728858";"-3.7883289"
"126";"Jerez de la Frontera";"Spain";"epoch";"Jerez de la Frontera";"36.6816936";"-6.1377402"
"129";"Langreo";"Spain";"epoch";"Langreo";"43.2955423";"-5.6839733"
"130";"Leon";"Spain";"epoch";"Leon";"42.5989995";"-5.5682413"
"131";"Linares";"Spain";"epoch";"Linares";"38.0928249";"-3.6343581"
"132";"Linea de la Concepcion";"Spain";"epoch";"Linea de la Concepcion";"36.1677899";"-5.3482396"
"133";"Lleida";"Spain";"epoch";"Lleida";"41.6147605";"0.6267842"
"134";"Logrono";"Spain";"epoch";"Logrono";"42.4661196";"-2.4396676"
"135";"Lorca";"Spain";"epoch";"Lorca";"37.6715679";"-1.6988053"
"137";"Lugo";"Spain";"epoch";"Lugo";"43.0462247";"-7.4739921"
