Canada,,France,,Italy,,Japan,Mexico,,Soviet,,Spain,,UK,,USA,,
1,15,1,16,1,19,1,19,1,1,17,1,25,1,20,39,1,17
2,20,2,34,2,20,2,27,2,2,22,2,26,2,24,44,2,22
3,22,3,35,3,27,3,28,3,3,23,3,27,3,25,47,3,23
4,23,4,38,4,30,4,29,4,4,26,4,28,4,26,50,4,26
8,25,5,40,5,31,7,33,7,,27,5,33,5,29,51,,27
,28,,41,6,34,,34,,,29,6,36,6,33,52,,29
,29,,43,7,35,,38,,,30,,38,7,35,58,,30
,30,,46,,37,,39,,,31,,39,8,38,59,,31
,32,,47,,40,,40,,,32,,40,,39,60,,32
,33,,48,,42,,43,,,37,,42,,42,62,,37
,34,,51,,43,,45,,,38,,43,,44,64,,38
,37,,52,,44,,47,,,42,,44,,45,67,,42
,38,,53,,45,,48,,,44,,46,,47,68,,44
,39,,54,,46,,50,,,45,,47,,48,71,,45
,41,,56,,49,,51,,,46,,49,,49,74,,46
,42,,58,,50,,53,,,47,,50,,50,76,,47
,44,,61,,51,,54,,,48,,52,,51,77,,48
,45,,62,,52,,55,,,49,,53,,52,78,,49
,46,,63,,53,,56,,,52,,55,,53,79,,52
,47,,64,,54,,57,,,53,,56,,54,83,,53
,48,,65,,55,,58,,,54,,57,,56,84,,54
,49,,66,,56,,60,,,56,,60,,57,85,,56
,50,,67,,57,,61,,,57,,61,,58,86,,57
,51,,68,,58,,62,,,58,,62,,59,88,,58
,52,,69,,59,,63,,,59,,63,,60,89,,59
,53,,71,,60,,64,,,62,,64,,61,91,,62
,54,,73,,61,,65,,,63,,66,,62,93,,63
,55,,74,,62,,66,,,64,,67,,63,95,,64
,56,,76,,63,,67,,,66,,68,,64,96,,66
,57,,77,,64,,68,,,67,,69,,65,97,,67
,58,,78,,65,,71,,,68,,71,,66,98,,68
,59,,79,,66,,73,,,70,,72,,67,99,,70
,60,,81,,67,,74,,,72,,73,,68,,,72
,61,,85,,68,,75,,,73,,74,,70,,,73
,62,,86,,69,,76,,,74,,75,,71,,,74
,63,,87,,70,,77,,,75,,76,,73,,,75
,64,,88,,73,,78,,,78,,77,,74,,,78
,65,,89,,74,,79,,,79,,78,,75,,,79
,66,,90,,75,,80,,,80,,79,,76,,,80
,67,,91,,76,,81,,,82,,80,,77,,,82
,68,,93,,77,,82,,,84,,81,,78,,,84
,69,,97,,78,,83,,,85,,82,,79,,,85
,70,,98,,79,,84,,,86,,83,,81,,,86
,72,,99,,80,,85,,,87,,84,,82,,,87
,73,,,,81,,86,,,88,,85,,83,,,88
,74,,,,82,,87,,,89,,86,,84,,,89
,75,,,,83,,88,,,90,,87,,85,,,90
,76,,,,84,,89,,,91,,88,,86,,,91
,77,,,,85,,90,,,92,,89,,87,,,92
,78,,,,86,,91,,,93,,90,,88,,,93
,79,,,,87,,92,,,94,,91,,89,,,94
,80,,,,88,,93,,,95,,92,,90,,,95
,81,,,,89,,94,,,97,,93,,91,,,97
,82,,,,90,,95,,,98,,94,,92,,,98
,83,,,,91,,96,,,99,,95,,93,,,99
,84,,,,92,,97,,,,,96,,94,,,
,85,,,,93,,98,,,,,97,,95,,,
,86,,,,94,,99,,,,,98,,96,,,
,88,,,,95,,,,,,,99,,97,,,
,89,,,,96,,,,,,,,,98,,,
,92,,,,97,,,,,,,,,99,,,
,93,,,,98,,,,,,,,,,,,
,94,,,,99,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,
,96,,,,,,,,,,,,,,,,
,97,,,,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,
