,2010,2001,1991,1981,1970,1960,1950,1940,1930,1920,1910,1900,
Madrid,0,0,0,0,0,0,0,0,1,0,1,0,0
Barcelona,1,1,1,1,1,1,1,1,0,1,0,1,0
Valencia,2,2,2,2,2,2,2,2,2,2,2,2,0
Sevilla,3,3,3,3,3,3,3,3,3,3,3,3,0
Zaragoza,4,4,4,4,4,4,5,5,5,5,6,7,3
Malaga,5,5,5,5,6,6,4,4,4,4,4,4,-1
Murcia,6,6,9,11,8,8,7,27,7,6,5,5,-1
Palma de Mallorca,7,9,11,10,12,12,12,11,12,10,11,13,6
Las Palmas de Gran Canaria,8,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-9
Bilbao,9,8,6,6,5,5,6,6,6,7,8,8,-1
Alicante,10,12,14,16,-1,-1,-1,-1,-1,-1,-1,-1,-11
Cordoba,11,11,10,12,11,11,8,8,9,14,14,15,4
Valladolid,12,10,8,8,10,10,14,9,11,11,12,10,-2
Vigo,13,13,12,13,13,13,11,48,22,24,25,56,43
Gijon,14,14,15,14,16,16,17,18,16,23,20,20,6
Hospitalet de Llobregat,15,16,13,9,9,9,32,36,93,-1,96,-1,-16
Coruna,16,17,17,17,14,14,13,12,19,21,23,22,6
Granada,17,15,16,15,15,15,9,7,8,8,9,9,-8
Vitoria-Gasteiz,18,18,19,19,29,29,52,37,37,34,32,26,8
Elche,19,22,25,28,-1,-1,-1,-1,-1,-1,-1,-1,-20
Oviedo,20,20,21,22,21,21,19,35,18,16,19,18,-2
Badalona,21,19,18,18,18,18,35,39,30,51,79,72,51
Cartagena,22,24,30,27,25,25,16,51,10,9,7,6,-16
Terrassa,23,32,34,31,27,27,40,46,39,46,68,94,71
Jerez de la Frontera,24,27,26,25,22,22,18,21,21,18,16,14,-10
Sabadell,25,26,24,20,20,20,38,40,28,31,42,51,26
Santa Cruz de Tenerife,26,23,20,21,26,26,21,33,23,25,18,25,-1
Mostoles,27,21,22,34,-1,-1,-1,-1,-1,-1,97,-1,70
Alcala de Henares,28,31,33,38,63,-1,-1,-1,-1,-1,-1,-1,-29
Fuenlabrada,29,28,37,59,-1,-1,-1,-1,-1,-1,98,-1,69
Pamplona,30,25,27,24,-1,-1,-1,-1,-1,-1,-1,-1,-6
Almeria,31,34,35,36,33,33,28,20,25,26,24,19,-12
Leganes,32,33,28,29,66,-1,-1,-1,-1,-1,99,-1,-33
Donostia-San Sebastian,33,30,29,26,19,19,15,13,14,22,22,23,-10
Burgos,34,35,32,33,32,32,29,26,38,43,34,29,-5
Santander,35,29,23,23,23,23,22,15,13,15,15,16,-19
Castello de la Plana,36,40,42,42,40,39,48,42,45,35,30,32,-4
Albacete,37,39,44,44,39,38,31,23,36,44,51,60,23
Getafe,38,38,41,41,52,-1,-1,-1,-1,-1,-1,-1,14
Alcorcon,39,37,40,35,-1,-1,-1,-1,-1,-1,-1,-1,-4
Logroño,40,44,45,45,-1,-1,-1,-1,-1,-1,-1,-1,5
San Cristobal de la Laguna,41,46,48,49,46,-1,62,68,75,-1,-1,-1,34
Salamanca,42,36,31,32,31,31,25,19,27,42,37,45,3
Badajoz,43,42,46,47,37,36,26,31,31,30,31,30,-13
Huelva,44,41,39,39,38,37,34,30,29,36,41,64,20
Lleida,45,50,47,48,41,40,49,53,42,29,53,61,16
Marbella,46,55,63,77,-1,-1,-1,-1,-1,-1,-1,-1,31
Tarragona,47,47,49,46,47,73,67,62,56,54,62,41,-6
Leon,48,45,38,40,36,35,39,47,58,80,-1,85,37
Dos Hermanas,49,53,66,79,83,-1,-1,-1,-1,-1,-1,-1,34
Cadiz,50,43,36,30,28,28,23,14,17,12,13,12,-38
Mataro,51,52,53,50,51,82,76,80,66,71,-1,69,18
Torrejon de Ardoz,52,56,62,60,-1,-1,-1,-1,-1,-1,-1,-1,8
Parla,53,69,73,82,-1,-1,-1,-1,-1,-1,-1,-1,29
Santa Coloma de Gramenet,54,48,43,37,35,-1,-1,-1,-1,-1,-1,-1,-19
Algeciras,55,54,54,56,45,44,51,98,-1,91,-1,-1,36
Jaen,56,49,51,51,48,42,36,32,40,38,40,44,-12
Alcobendas,57,58,65,72,-1,-1,-1,-1,-1,-1,-1,-1,15
Ourense,58,51,52,52,50,46,43,-1,71,95,84,-1,26
Reus,59,60,56,58,60,80,69,67,53,49,50,43,-16
Telde,60,63,69,74,-1,-1,-1,-1,-1,-1,-1,-1,14
Barakaldo,61,57,50,43,34,34,60,61,-1,59,-1,-1,0
Lugo,62,61,60,62,55,48,47,52,54,53,27,36,-26
San Fernando,63,62,57,63,64,55,64,55,59,58,47,33,-30
Girona,64,77,75,73,73,64,89,77,70,93,-1,-1,29
Caceres,65,65,70,68,67,57,55,54,65,74,83,-1,18
Santiago de Compostela,66,59,55,57,54,45,44,38,44,62,52,47,-19
