,2010,2000,c1990,c1980,c1970,c1960,c1950,c1940,c1930,c1920,c1910,c1900,
New York,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles,1,1,1,2,2,2,3,4,4,8,16,32,0
Chicago,2,2,2,1,1,1,1,1,1,1,1,1,0
Houston,3,3,3,4,5,6,13,20,25,44,59,63,0
Philadelphia,4,4,4,3,3,3,2,2,2,2,2,2,0
Phoenix,5,5,8,8,19,28,93,-1,-1,-1,-1,-1,5
San Antonio,6,8,9,10,14,16,24,35,37,40,49,55,0
San Diego,7,6,5,7,13,17,30,42,52,76,90,-1,1
Dallas,8,7,7,6,7,13,21,30,32,41,51,65,0
San Jose,9,10,10,16,30,56,-1,-1,-1,-1,-1,97,5
Austin,10,15,26,41,55,66,73,90,-1,-1,-1,95,3
Jacksonville,11,13,14,18,22,59,48,47,61,66,71,86,0
San Francisco,12,12,13,12,12,11,10,11,9,11,9,8,0
Indianapolis,13,11,11,11,10,25,22,19,20,20,21,20,0
Columbus,14,14,15,19,20,27,27,25,27,27,28,26,0
Fort Worth,15,26,27,32,32,33,37,46,47,58,61,88,0
Charlotte,16,25,34,46,59,57,70,82,87,-1,-1,-1,3
Seattle,17,23,20,22,21,18,18,21,19,19,20,43,0
Denver,18,24,25,23,24,22,23,23,28,24,26,24,0
El Paso,19,22,21,27,44,44,76,87,77,74,91,-1,1
Detroit,20,9,6,5,4,4,4,3,3,3,7,11,0
Washington,21,20,18,14,8,8,8,10,13,13,14,13,0
Boston,22,19,19,20,15,12,9,8,8,6,4,4,0
Memphis,23,17,17,13,16,21,25,31,35,39,36,33,0
Nashville,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Portland,25,27,29,34,34,31,28,26,24,23,27,37,0
Oklahoma City,26,28,28,30,36,35,44,41,42,67,69,-1,1
Las Vegas,27,32,62,88,-1,-1,-1,-1,-1,-1,-1,-1,8
Baltimore,28,16,12,9,6,5,5,6,7,7,6,5,0
Louisville,29,65,57,48,38,30,29,24,23,28,23,17,0
Milwaukee,30,18,16,15,11,10,12,12,11,12,10,12,0
Albuquerque,31,34,37,43,57,58,-1,-1,-1,-1,-1,-1,6
Tucson,32,29,32,44,52,53,-1,-1,-1,-1,-1,-1,6
Fresno,33,36,46,64,83,90,-1,-1,-1,-1,-1,-1,6
