,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,,,
Montreal,0,0,0,0,0,0,0,0,-1,0,0,0,-1,12,-0.083333333
Toronto,1,0,0,0,0,0,0,0,1,0,0,0,1,12,0.083333333
Quebec,2,-4,0,2,-3,-2,2,-1,2,1,-4,3,-4,12,-0.333333333
Ottawa,3,-1,-1,0,-1,0,1,1,1,0,0,0,1,12,0.083333333
Hamilton,4,-1,1,-3,2,0,-1,-1,-2,1,2,-2,-3,12,-0.25
Winnipeg,5,3,0,-1,0,-1,0,-1,-2,0,0,0,3,12,0.25
Halifax,6,-2,-2,-2,1,-3,4,-7,1,0,3,1,-7,12,-0.583333333
St. Johns,7,-4,0,-3,-1,-7,3,-4,0,-4,1,8,8,12,0.666666667
London,8,-1,0,0,-1,-3,2,-1,-3,3,2,0,3,12,0.25
Saint Johns,9,-3,-3,-1,-3,NA,-3,NA,NA,NA,NA,NA,-3,6,-0.5
Edmonton,10,3,0,1,2,1,0,0,-1,-2,1,0,3,12,0.25
Vancouver,11,8,0,1,0,0,0,0,0,0,0,0,8,12,0.666666667
Victoria,12,-1,0,-5,2,-7,10,-5,0,-1,3,2,10,12,0.833333333
Kingston,13,-9,-2,-3,-1,-1,-1,-12,9,1,-1,9,-12,12,-1
Brantford,14,-3,-1,-3,-3,-1,-9,-16,6,-1,6,10,-16,12,-1.333333333
Windsor,15,-8,9,4,2,-3,2,-5,-5,-1,0,5,9,12,0.75
Charlottetown,16,-21,-7,-8,-4,-32,-3,-6,14,-4,3,33,33,12,2.75
Hull,17,-4,1,-2,0,-6,-5,-22,-19,-11,5,NA,-22,11,-2
Guelph,18,-11,0,-3,-3,-4,-1,-5,2,-1,6,11,11,12,0.916666667
Saint-Thomas,19,-13,-2,-11,-2,-31,-3,NA,NA,NA,NA,8,-31,8,-3.875
Sherbrooke,20,1,-2,-2,3,0,-3,-5,-1,3,3,6,6,12,0.5
Trois-Rivieres,21,-5,3,4,1,-8,2,-9,-3,3,-3,10,10,12,0.833333333
Belleville,22,-16,-8,-3,-3,-16,13,-33,NA,NA,28,26,-33,10,-3.3
Sydney,23,-1,2,-8,-1,-11,24,-18,-9,3,NA,NA,24,10,2.4
Peterborough,24,4,-6,-5,6,-6,3,-11,0,-7,1,13,13,12,1.083333333
Saskatoon,25,-9,15,2,0,-1,2,-9,0,1,5,3,15,12,1.25
Stratford,26,NA,-7,-7,-9,-24,-15,NA,NA,NA,NA,5,-24,7,-3.428571429
Moncton,27,-9,5,-2,-4,-1,3,-12,6,0,-3,16,16,12,1.333333333
Woodstock,28,NA,NA,NA,NA,-53,-8,NA,NA,NA,NA,13,-53,4,-13.25
Brockville,29,NA,-26,-3,-15,NA,-26,NA,NA,NA,NA,NA,-26,5,-5.2
Sarnia,30,-5,-2,-2,-4,11,1,-10,-6,-10,-6,25,25,12,2.083333333
Cambridge,31,NA,-10,-6,-8,-5,-6,14,1,-3,7,NA,14,10,1.4
Owen Sound,32,NA,-13,-6,-9,-26,NA,NA,NA,NA,NA,NA,-26,5,-5.2
Galt,33,NA,NA,NA,-21,-5,-6,-12,NA,NA,NA,NA,-21,5,-4.2
Waterloo,34,NA,NA,NA,-52,-4,4,7,0,8,12,NA,-52,8,-6.5
Levis,35,NA,-18,-1,-15,NA,NA,NA,NA,NA,NA,NA,-18,4,-4.5
Thunder Bay,36,21,-1,1,1,-3,-4,-8,-3,-8,-2,11,21,12,1.75
Saint-Hyacinthe,37,-5,-8,0,6,-26,17,-22,-15,-3,-5,35,35,12,2.916666667
New Westminster,38,20,-21,-2,3,-5,-7,-23,-15,NA,-4,NA,-23,10,-2.3
Sorel,39,NA,NA,NA,-29,-21,27,-27,NA,NA,NA,NA,-29,5,-5.8
Cornwall,40,NA,NA,NA,-19,-24,42,-25,-10,-13,-10,45,45,9,5
Fredericton,41,-5,-16,1,-18,-3,7,-5,16,-6,NA,13,-18,11,-1.636363636
Nanaimo,42,-1,-14,-8,-1,-28,-4,20,6,5,5,25,-28,12,-2.333333333
Yarmouth,43,-6,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,3,-5.666666667
Dartmouth,44,NA,-19,3,-15,3,34,-15,-14,-12,NA,NA,34,9,3.777777778
Chatham,45,6,-1,-8,2,-18,6,-29,1,NA,38,-18,38,11,3.454545455
Lindsay,46,NA,NA,NA,-47,NA,NA,NA,NA,NA,NA,NA,-47,2,-23.5
Truro,47,-6,-12,NA,-13,NA,NA,NA,NA,NA,NA,NA,-13,4,-3.25
Barrie,48,-3,-16,5,-19,16,18,-12,21,1,9,9,21,12,1.75
Salaberry-de-Valleyfield,49,NA,NA,NA,1,-13,4,-24,NA,NA,NA,6,-24,6,-4
Dawson,51,-10,-24,6,NA,NA,NA,NA,NA,NA,NA,NA,-24,4,-6
Esquimalt,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Collingwood,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Cobourg,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Niagara Falls,55,15,2,3,-5,5,8,3,4,5,3,1,15,12,1.25
Pembroke,56,NA,NA,NA,-18,-21,3,NA,NA,NA,NA,NA,-21,4,-5.25
