,1901,1911,1921,1931,1946,1954,1961,1975,1982,1990,1999,2007,,,
Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00
Lille,1,0,-2,1,0,-1,2,-2,0,0,0,0,2,12,0.17
Marseille,2,-1,1,1,0,0,-2,1,1,-1,1,0,-2,12,-0.17
Lyon,3,1,1,-2,0,1,0,1,-1,1,-1,0,-2,12,-0.17
Nice,4,0,0,-3,3,-3,3,-2,2,-2,2,0,3,12,0.25
Saint-…tienne,5,-1,-2,-3,1,-4,2,-1,1,-6,4,-1,-6,12,-0.50
Toulouse,6,-1,0,2,-1,-3,2,2,-1,1,-1,1,-3,12,-0.25
Rouen,7,2,-1,-9,6,-10,11,1,-3,-1,0,0,11,12,0.92
Bordeaux,8,-2,5,1,-1,1,-1,1,-1,1,-1,-1,5,12,0.42
Valenciennes,9,1,-1,3,-5,-10,8,1,-3,-2,0,-1,-10,12,-0.83
Nancy,10,1,-1,-23,19,3,-7,4,-4,-1,-2,0,-23,12,-1.92
Douai - Lens,11,-6,3,4,3,2,-1,-2,1,-3,1,0,-6,12,-0.50
Grenoble,12,0,-3,-1,4,4,-3,2,-2,4,-3,0,4,12,0.33
Metz,13,-2,-3,0,1,-3,3,-5,3,-1,0,0,-5,12,-0.42
Strasbourg,14,3,-2,5,-7,5,-5,-1,3,1,0,0,-7,12,-0.58
Tours,15,2,-4,-28,19,9,-3,2,1,1,-2,1,-28,12,-2.33
Le Havre,16,0,4,-1,-3,3,-3,-1,-4,-4,1,0,4,12,0.33
Avignon,17,-2,0,2,-3,-5,6,-4,9,0,1,0,9,12,0.75
Nantes,18,4,3,-10,13,-4,3,-2,3,0,1,0,13,12,1.08
Toulon,19,-2,1,11,-9,12,-4,0,1,0,1,0,12,12,1.00
Reims,20,0,-3,-3,2,-8,6,-4,2,0,0,-1,-8,12,-0.67
OrlÈans,21,-1,1,9,-9,-1,-3,0,0,1,2,0,9,12,0.75
BÈthune,22,4,2,-3,6,-24,23,-1,-1,3,-2,-1,-24,12,-2.00
Brest,23,0,-10,-62,55,6,4,1,0,0,-1,-1,-62,12,-5.17
Mulhouse,24,0,2,-2,2,-1,-1,0,0,-2,1,0,2,12,0.17
Amiens,25,0,1,-54,40,-24,24,5,-4,-11,10,-1,-54,12,-4.50
Limoges,26,0,0,-8,6,-7,-2,2,1,-5,4,0,-8,12,-0.67
Angers,27,0,-1,-12,8,3,1,0,-2,8,-5,0,-12,12,-1.00
NÓmes,28,0,-1,-56,50,-33,28,-18,20,6,-7,2,-56,12,-4.67
Montpellier,29,0,-2,-11,9,-54,52,16,-1,5,-1,2,-54,12,-4.50
Rennes,30,0,0,5,0,7,-5,2,-2,2,2,0,7,12,0.58
Dijon,31,0,4,5,-1,-1,2,-12,8,-7,7,0,-12,12,-1.00
Le Mans,32,-2,-2,1,5,-3,1,12,-7,0,-2,-1,12,12,1.00
Calais,33,0,-2,-4,-15,-2,0,-39,40,0,1,0,40,12,3.33
Clermont-Ferrand,34,2,7,-2,8,4,-6,-5,4,-1,0,0,8,12,0.67
BesanÁon,35,-2,-1,8,-15,6,-2,4,-8,5,-2,-1,-15,12,-1.25
Boulogne-sur-Mer,36,-4,1,-55,32,15,-12,-1,4,-6,6,-4,-55,12,-4.58
Dunkerque,37,-4,-6,11,5,15,-11,-12,8,0,-2,-3,15,12,1.25
Lorient,38,-5,-1,15,-24,11,-5,-6,4,0,-1,1,-24,12,-2.00
Troyes,39,0,-1,-6,-1,-6,-1,11,1,-2,1,-1,11,12,0.92
BÈziers,40,-2,5,-6,-1,1,-9,-33,24,5,-11,0,-33,12,-2.75
Bayonne,41,-4,2,11,-4,0,2,2,-1,-3,5,3,11,12,0.92
Saint-Quentin,42,4,-19,-39,41,-18,11,-21,13,-4,-6,-9,41,12,3.42
Thionville,43,8,1,20,-13,-19,15,-16,7,-3,-1,-1,20,12,1.67
Bourges,44,-2,1,-2,-5,2,-10,-9,12,-3,2,-7,12,12,1.00
Caen,45,1,2,1,7,8,-3,2,-5,2,-2,-1,8,12,0.67
Cherbourg-Octeville,46,-2,-6,-12,5,30,-22,-9,3,-6,8,-5,30,12,2.50
MontbÈliard,47,11,4,9,-6,-11,4,-5,-2,-2,-6,-2,11,12,0.92
Poitiers,48,-1,-7,-5,19,-32,32,-6,-2,0,2,2,32,12,2.67
SËte,49,-11,2,-29,17,-1,-7,2,-4,17,-9,8,-29,12,-2.42
AngoulÍme,50,-4,-6,16,1,-1,0,-1,-6,4,-6,1,16,12,1.33
Colmar,51,4,-2,-7,-2,7,-7,-41,37,-4,6,2,-41,12,-3.42
Perpignan,52,2,9,10,-10,-7,0,10,2,-2,2,2,10,12,0.83
Saint-Nazaire,53,0,3,-20,-37,46,-4,29,-5,4,-4,0,46,12,3.83
Roanne,54,-2,1,17,-22,15,-21,1,7,4,-12,-4,-22,12,-1.83
Pau,55,0,9,18,-9,9,-5,-11,9,1,0,2,18,12,1.50
Maubeuge,56,4,4,11,-2,12,-12,-3,-2,-8,3,-2,12,12,1.00
Belfort,57,6,-1,-7,-10,3,-3,8,-6,10,-11,0,-11,12,-0.92
PÈrigueux,58,0,-3,-23,21,-27,4,22,-14,-13,12,-1,-27,12,-2.25
La Rochelle,59,2,6,-31,33,8,-5,-3,1,2,-1,0,33,12,2.75
Montauban,60,-5,-8,11,-10,15,-24,-1,-8,4,-7,12,-24,12,-2.00
Laval,61,-2,-7,-37,28,-2,-1,-19,14,-16,15,0,-37,12,-3.08
ArmentiËres,62,-8,6,12,-4,-14,9,-46,36,-29,29,-5,-46,12,-3.83
Chalon-sur-SaÙne,63,2,-5,-9,18,-3,3,-2,-9,-4,-1,-5,18,12,1.50
…pinal,64,0,-5,-33,7,-9,8,12,2,-13,3,-3,-33,12,-2.75
Nevers,65,-6,3,11,-9,12,-13,-13,7,-16,0,-7,-16,12,-1.33
Valence,66,-2,15,-1,6,-4,9,-3,-1,-4,5,-2,15,12,1.25
Ch‚lons-en-Champagne,67,5,-5,-12,-1,-27,30,-10,2,-3,-9,-8,30,12,2.50
Charleville-MÈziËres,68,9,-6,0,-2,8,-9,-24,17,-2,-8,-12,-24,12,-2.00
Tarbes,69,0,-2,8,4,-26,15,16,-11,-3,-1,-4,-26,12,-2.17
Arras,70,-3,-3,7,-9,3,0,5,7,-1,0,-2,-9,12,-0.75
Bastia,71,4,4,-42,34,-27,-2,12,-7,-4,-3,9,-42,12,-3.50
Ch‚teauroux,72,0,0,-28,27,-29,29,-30,26,-19,9,-3,-30,12,-2.50
AlËs,73,7,7,10,-2,-21,17,-8,-1,3,-2,4,-21,12,-1.75
Vienne,74,-1,-5,7,9,-22,23,-3,-3,-18,25,5,25,12,2.08
Chartres,75,-1,-6,-19,16,-11,9,35,-14,-7,12,-2,35,12,2.92
Niort,76,-3,-2,0,-3,-21,26,-21,21,1,-5,0,26,12,2.17
Blois,77,0,-1,23,-33,8,-13,4,3,17,-12,-4,-33,12,-2.75
Vannes,78,-2,-5,-1,0,-7,-5,-7,9,26,-6,1,26,12,2.17
Albi,79,5,0,-18,18,-9,-1,10,-10,0,2,3,18,12,1.50
Agen,80,-1,2,-30,32,-26,8,28,-14,-20,24,5,32,12,2.67
Saint-Brieuc,81,3,1,19,8,-17,18,-7,-4,1,0,3,19,12,1.58
ChambÈry,82,0,-4,12,-8,18,-8,41,-8,4,-2,-1,41,12,3.42
Ajaccio,83,-1,1,-5,-2,13,-22,3,-4,3,-9,14,-22,12,-1.83
Vichy,84,-11,3,44,-17,-4,-14,12,-5,-6,-8,-1,44,12,3.67
Saint-Omer,85,-1,-3,-1,-10,-9,4,8,9,13,-19,-4,-19,12,-1.58
Beauvais,86,-2,0,-16,8,12,-8,14,-19,16,-18,-2,-19,12,-1.58
Brive-la-Gaillarde,87,4,-1,24,-16,-3,-1,23,-15,-18,15,1,24,12,2.00
Quimper,88,-1,-1,10,-19,-9,37,-27,24,-2,6,-1,37,12,3.08
Cholet,89,4,-23,32,-13,-17,15,0,-1,-10,2,-4,32,12,2.67
Bourg-en-Bresse,90,3,0,-19,15,33,-36,0,-7,3,-3,-2,-36,12,-3.00
…vreux,91,0,0,-17,10,6,4,13,-24,-9,12,-3,-24,12,-2.00
Haguenau,92,2,-6,-3,-3,37,-39,32,-32,-2,3,1,-39,12,-3.25
Romans-sur-IsËre,93,0,-11,27,-20,-2,-2,11,-12,8,-13,-1,27,12,2.25
CompiËgne,94,0,-1,45,-44,12,-7,10,-4,16,-11,-4,45,12,3.75
Bergerac,95,-1,2,1,0,5,3,17,-26,2,-3,1,-26,12,-2.17
Annecy,96,-1,0,25,-3,-3,14,14,4,4,2,0,25,12,2.08
Draguignan,97,-1,-1,79,-88,8,-8,-1,4,-2,16,14,-88,12,-7.33
Menton,98,6,17,-28,11,-3,5,-16,15,6,-1,2,-28,12,-2.33
Meaux,99,-1,-2,19,-22,8,-5,-6,10,15,-1,-2,-22,12,-1.83
Salon-de-Provence,100,1,1,1,-6,2,-2,10,-13,2,-4,1,-13,12,-1.08
Creil,101,-1,9,29,-17,43,-13,0,-1,-1,1,2,43,12,3.58
La Teste-de-Buch - Arcachon,102,1,-4,37,-36,41,-46,7,-6,29,-25,4,-46,12,-3.83
Forbach,103,0,41,11,5,16,-15,5,-13,-18,16,-6,41,12,3.42
Bourgoin-Jallieu,104,-2,-3,38,-38,33,-31,34,-36,29,-29,0,38,12,3.17
Thonon-les-Bains,105,-3,1,16,-15,17,-17,2,1,-2,7,11,17,12,1.42
Saint-Just-Saint-Rambert,106,-1,1,8,-3,10,-6,16,-26,-2,4,-1,-26,12,-2.17
FrÈjus,107,3,4,33,-16,-11,20,-12,-3,31,-7,10,33,12,2.75
Annemasse,108,3,4,48,-15,19,-1,-5,1,13,-4,3,48,12,4.00
Cluses,109,0,6,14,2,32,-21,-1,-16,0,19,5,32,12,2.67
