,2011,2001,1991,1981,1971,1961,1951,1940,1930,1921,1910,1900
Roma,0,0,0,0,0,0,0,0,0,-2,0,0
Milano,1,0,0,0,0,0,0,0,0,0,0,0
Napoli,2,0,0,0,0,0,0,0,0,2,0,0
Torino,3,0,0,0,0,0,0,-1,0,1,0,0
Palermo,4,0,0,-1,0,0,0,0,0,1,0,0
Genova,5,0,0,1,0,0,0,1,0,-2,0,0
Bologna,6,0,0,0,0,0,-1,0,-2,0,0,2
Firenze,7,0,0,0,0,0,1,0,0,0,0,0
Bari,8,0,0,-1,-1,0,0,-1,-1,-1,0,-2
Catania,9,0,0,1,0,0,-1,-1,0,3,-1,-2
Venezia,10,0,0,0,1,0,1,0,1,-4,1,2
Verona,11,0,-1,1,-2,-1,1,0,0,-5,1,0
Messina,12,0,1,-1,0,0,0,0,1,1,-1,2
Padova,13,-1,-1,0,1,-2,1,1,0,0,0,0
Trieste,14,1,-1,1,2,0,0,2,1,0,1,-4
Taranto,15,0,2,-1,-2,3,-1,-5,-1,4,-9,-1
Brescia,16,0,-1,0,0,-1,2,0,-1,0,1,-3
Prato,17,-2,-4,0,1,-19,4,3,1,1,-1,-1
Reggio di Calabria,18,1,-2,-3,-2,-3,8,2,1,-21,-17,11
Modena,19,1,-2,1,-1,-4,2,0,0,1,-2,2
Parma,20,-1,0,1,1,-1,-1,-12,2,-8,-1,4
Perugia,21,-3,-9,6,-16,-24,40,1,-2,3,-2,3
Reggio nellEmilia,22,-3,-10,5,-7,5,8,1,0,1,-2,-4
Livorno,23,1,0,1,3,1,0,2,0,3,0,0
Ravenna,24,-3,-23,22,-26,-9,35,0,-1,3,4,0
Foggia,25,2,-1,-1,2,0,-3,-21,-2,30,1,-14
Cagliari,26,6,4,0,1,0,-3,-2,-1,-12,2,0
Rimini,27,-2,-2,0,-7,-6,5,0,-2,0,0,-6
Salerno,28,2,1,1,3,-4,-4,-8,-5,-6,0,0
Ferrara,29,1,-4,6,-2,-1,9,2,0,3,0,2
Sassari,30,-1,2,-5,-8,2,-9,-5,-2,-7,8,-3
Siracusa,31,1,3,-8,-11,3,-2,-12,-4,9,-9,-13
Pescara,32,-1,7,-3,2,-6,-22,-5,NA,NA,NA,NA
Monza,33,1,4,-4,2,-4,-8,-1,0,3,1,-10
Latina,34,-2,-33,-6,-9,NA,NA,NA,NA,NA,NA,NA
