,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Valle de Mexico,0,0,0,0,0,0,0,0,0,0,0,0
Guadalajara,1,0,0,0,0,0,0,0,0,0,0,0
Puebla - Tlaxcala,2,0,0,-1,0,-1,1,-1,1,0,0,0
Leon,3,-4,-1,-1,0,2,1,1,1,-1,-1,0
Monterrey,4,1,0,1,0,0,0,0,0,0,0,0
San Luis Potosi,5,1,-2,0,-1,1,-3,-1,-5,5,-1,0
Acayucan,6,-34,NA,NA,NA,NA,NA,NA,NA,-41,2,-3
Merida,7,2,1,0,0,-1,-3,-4,0,3,-1,0
Guanajuato,8,-6,-12,-12,5,-55,19,-11,-12,22,-1,2
Pachuca,9,-3,1,-2,1,-6,-13,-8,-4,5,1,4
Morelia,10,0,-7,1,0,1,-1,-3,-1,0,0,0
Aguascalientes,11,2,0,-1,5,-6,-2,-1,-5,0,2,3
Oaxaca,12,-1,-7,-1,-3,-5,3,-8,-1,5,2,-1
Queretaro,13,-4,-1,-4,3,-7,-3,-3,15,4,4,0
Zacatecas - Guadalupe,14,-6,-16,1,-4,-41,18,25,-51,45,1,-4
Orizaba,15,-1,3,-1,-1,-6,-6,-8,-3,6,-3,-4
Durango,16,-2,4,-6,0,3,0,-4,12,-18,-2,-1
Chihuahua,17,6,-4,4,0,-1,1,2,-5,-4,-1,1
Torreon - Gomez Palacio,18,12,1,0,-3,5,-2,-1,-16,16,-2,0
Veracruz,19,11,1,-1,-2,1,-3,1,-15,9,-1,-1
Puruandiro,20,NA,NA,NA,NA,-8,NA,-19,NA,NA,NA,NA
Rioverde,21,NA,NA,NA,NA,2,NA,NA,NA,-49,-5,-3
Toluca,22,3,3,1,-2,-5,-1,-8,26,1,0,0
Celaya,23,0,0,-3,-1,-14,9,-12,23,-1,-3,-2
Saltillo,24,9,3,0,-1,0,-2,-5,-4,3,0,0
Tuxtla Gutierrez,25,-36,3,7,-2,-13,19,-4,17,6,2,2
San Juan del Rio,26,NA,NA,NA,NA,-26,NA,NA,NA,-42,11,NA
Colima - Villa de Alvarez,27,6,2,-10,-6,-29,24,-16,-19,31,4,-7
Xalapa,28,6,1,2,1,-5,-7,4,3,0,-1,-2
Irapuato,29,4,1,0,3,-4,3,-7,-4,2,0,0
Zapotlanejo,30,NA,NA,NA,NA,-53,NA,-18,NA,NA,NA,NA
Mazatlan,31,5,4,-1,1,-12,10,-4,-4,-1,-3,-1
Ciudad Guzman,32,2,0,-3,-3,-50,23,-5,NA,-21,1,-3
Ocotlan,33,-2,-5,-14,-8,-37,25,-9,-16,30,0,-3
Campeche,34,3,2,-1,-4,-17,9,12,-20,-6,-1,2
Tampico,35,2,23,3,1,-4,-4,-1,-3,6,-3,-1
El Oro de Hidalgo,36,12,-18,-43,NA,NA,NA,NA,NA,NA,NA,NA
San Juan de los Lagos,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagos de Moreno,38,-15,NA,NA,-21,NA,-8,NA,NA,-10,1,1
Tepic,39,7,-16,-1,1,-29,44,-5,-7,5,-1,1
Silao,40,-2,-13,-2,-8,NA,-13,18,-41,NA,NA,NA
Jiquilpan de Jimenez,41,NA,NA,NA,NA,-50,NA,NA,NA,NA,NA,NA
Fresnillo,42,-44,55,-12,13,-29,6,-21,13,-11,-13,2
Huamantla,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hidalgo del Parral,44,3,2,7,1,-17,0,-10,-39,19,0,-6
Matehuala,45,11,-11,-14,8,-50,9,NA,NA,NA,NA,NA
San Andres Tuxtla,46,-16,-6,-8,-11,NA,-4,NA,NA,NA,NA,NA
San Cristobal de las Casas,47,2,-8,12,NA,NA,-40,NA,NA,-7,NA,NA
Salamanca,48,1,-9,-11,-10,-19,37,7,-1,-14,-5,-1
Izucar de Matamoros,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heroica Zamora,50,13,-10,-5,-6,-29,26,4,-8,11,-4,0
Valle de Santiago,51,0,NA,NA,-25,NA,-10,NA,12,NA,NA,NA
Sahuayo,52,NA,NA,NA,-32,NA,11,NA,NA,NA,NA,NA
Sombrerete,53,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA
Sayula,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teziutlan,55,17,-14,-17,-29,NA,NA,NA,NA,13,5,2
Juchitan de Zaragoza,56,12,-10,1,-7,-40,NA,NA,NA,NA,NA,NA
Zacatlan,57,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA
San Francisco del Rincon,58,1,-3,-8,-10,NA,-10,NA,NA,15,3,4
Montemorelos,59,NA,NA,NA,NA,-11,-30,NA,NA,NA,NA,NA
Hermosillo,60,21,-4,12,-13,12,14,2,5,-13,2,0
Rio Grande,61,NA,NA,NA,NA,-20,NA,NA,NA,-15,NA,NA
San Miguel de Allende,62,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA
Villahermosa,63,11,17,-13,19,-11,5,2,6,1,3,0
Metepec,64,NA,NA,NA,NA,NA,NA,NA,-31,NA,NA,NA
Salvatierra,65,5,NA,NA,NA,33,-69,NA,14,NA,NA,NA
Tehuantepec - Salina Cruz,66,38,-21,15,8,-31,-3,17,-28,5,-1,-4
Culiacan,67,21,14,-5,0,13,3,4,10,-8,-1,-1
Ciudad Victoria,68,14,26,-11,-2,-8,13,-4,-12,1,1,2
Papantla de Olarte,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Barca,70,NA,NA,9,-6,NA,NA,NA,NA,NA,NA,NA
La Piedad Cavadas,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenancingo de Degollado,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruapan del Progreso,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuernavaca,74,24,-24,-3,16,5,2,29,9,0,4,0
Sinaloa de Leyva,75,NA,NA,NA,NA,42,NA,-34,NA,NA,NA,NA
Ciudad Jimenez,76,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA
Comitan de Dominguez,77,14,-4,-11,-18,NA,NA,NA,NA,NA,0,4
Atlixco,78,51,-6,-33,17,-36,20,-11,-11,1,-4,-6
Tulancingo de Bravo,79,13,2,-1,-7,NA,2,-12,NA,36,-1,-13
Teocaltiche,80,NA,NA,NA,NA,-13,NA,NA,NA,NA,NA,NA
Huauchinango,81,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Tapachula,82,12,7,5,-1,1,12,-8,-4,11,-2,0
Acambaro,83,24,21,-8,-1,-45,21,16,-23,4,-3,-8
Amecameca,84,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heroica Matamoros,85,12,0,-18,37,24,10,-3,-13,0,3,-2
Juarez,86,28,33,8,3,6,4,1,-3,-2,1,0
Cordoba,87,18,25,2,-4,-1,9,-7,-3,3,-3,-2
Parras,88,3,26,12,-10,NA,-41,NA,NA,NA,NA,NA
Ameca,89,NA,NA,26,-6,NA,NA,5,NA,-33,NA,NA
La Piedad - Penjamo,90,23,33,-22,-19,21,-23,-8,15,20,-5,-4
Piedras Negras,91,35,10,2,-11,-13,23,-32,-19,25,3,0
Ciudad Lerdo,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Autlan de Navarro,93,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
Patzcuaro,94,30,NA,NA,NA,-8,NA,-26,NA,NA,NA,NA
Iguala de la Independencia,95,18,NA,NA,6,NA,4,-5,-22,NA,NA,NA
Dolores Hidalgo,96,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linares,97,22,9,-8,36,-7,NA,NA,NA,NA,-53,NA
San Pedro Cholula,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cananea,NA,69,NA,NA,-52,NA,-9,41,NA,NA,NA,NA
Ciudad Madero,NA,13,-1,10,4,-13,2,-2,-24,-1,0,-4
Uruapan,NA,17,-2,10,0,-10,11,-2,-14,3,-4,2
San Pedro,NA,5,22,-35,6,NA,-16,NA,-13,NA,NA,NA
Valle Hermoso,NA,30,NA,NA,NA,NA,-40,NA,NA,NA,NA,NA
Santa Rosalia,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tehuacan,NA,-3,3,5,8,-37,34,-15,4,8,5,1
Coatzacoalcos,NA,-19,2,-14,17,-9,23,4,2,7,-6,1
Guaymas,NA,-28,-3,-5,-14,-4,41,-2,-20,24,-7,-2
Heroica Zitacuaro,NA,-10,NA,38,-44,NA,0,1,NA,NA,NA,NA
Chilpancingo,NA,3,-2,-4,-13,1,28,-15,4,20,3,1
Tuxpam,NA,-25,17,-10,3,NA,-15,-7,9,NA,NA,NA
Monclova,NA,1,23,12,2,1,-1,1,-5,6,-5,1
Ciudad del Carmen,NA,-36,9,-16,-11,NA,12,1,NA,4,6,6
Mexicali,NA,-12,6,26,8,28,7,-1,0,-6,0,1
Santa Barbara,NA,-70,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
Nuevo Laredo,NA,-20,43,13,3,5,1,-3,-19,-8,5,3
Acapulco,NA,-46,10,-13,1,24,28,24,0,2,-2,-2
La Paz,NA,-73,17,-13,-1,NA,9,5,9,2,0,3
Frontera,NA,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Progreso,NA,-1,28,-8,NA,NA,NA,NA,NA,NA,NA,NA
Tonala,NA,-21,11,-15,NA,NA,NA,NA,NA,NA,NA,NA
Cocula,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvarado,NA,-1,14,-13,NA,NA,NA,NA,NA,NA,NA,NA
San Juan Bautista Tuxtepec,NA,-2,NA,NA,NA,NA,NA,NA,NA,1,4,1
Taxco de Alarcon,NA,-7,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
Heroica Nogales,NA,-41,45,-4,-8,-16,29,-12,NA,-15,12,4
Tlaxcala - Apizaco,NA,-36,14,-17,12,NA,13,NA,24,16,1,0
Ensenada,NA,-64,16,-14,64,-14,2,-2,7,-3,3,3
Ciudad Obregon,NA,NA,-34,-11,8,20,25,10,-11,-19,-3,0
Manzanillo,NA,NA,-30,-17,NA,NA,NA,NA,NA,NA,NA,NA
Villa Frontera,NA,NA,14,-5,NA,NA,NA,NA,NA,NA,NA,NA
a1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a3,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a4,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a5,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a7,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a10,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a11,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a12,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a13,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
a14,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nueva Rosita,NA,NA,NA,73,-3,-33,3,-29,NA,NA,NA,NA
Los Mochis,NA,NA,NA,23,-6,-4,23,-2,-10,4,0,3
Navojoa,NA,NA,NA,-16,-10,-15,33,-11,7,-15,-1,3
Moroleon,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
Reynosa,NA,NA,NA,-2,-15,47,18,1,-4,-1,2,2
Ciudad Mante,NA,NA,NA,-54,-18,NA,13,21,NA,NA,NA,NA
Ciudad Camargo,NA,NA,NA,-23,NA,13,NA,NA,NA,NA,NA,NA
Ciudad Valles,NA,NA,NA,-14,NA,NA,8,10,0,NA,NA,NA
Ciudad Delicias,NA,NA,NA,-24,NA,NA,44,-12,NA,NA,NA,-18
Ciudad Acuna,NA,NA,NA,-15,NA,NA,5,-7,NA,-4,NA,23
Agua Prieta,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Vallarta,NA,NA,NA,-2,NA,NA,NA,15,NA,22,10,10
Minatitlan,NA,NA,NA,NA,-3,-26,15,6,8,8,-9,0
Tijuana,NA,NA,NA,NA,-7,34,6,3,-3,3,2,0
Coatepec,NA,NA,NA,NA,-74,NA,NA,-9,NA,NA,NA,NA
Moroleon - Uriangato,NA,NA,NA,NA,2,NA,NA,NA,NA,7,-3,-4
Cortazar,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA
Tepatitlan de Morelos,NA,NA,NA,NA,-1,NA,NA,NA,NA,-6,4,0
Jerez,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Delicias,NA,NA,NA,NA,NA,62,NA,NA,NA,-34,-1,-1
Tamazunchale,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
Santiago Ixcuintla,NA,NA,NA,NA,NA,-1,NA,NA,-38,NA,NA,NA
Yuriria,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA
Comalcalco,NA,NA,NA,NA,NA,-5,NA,NA,-29,NA,NA,NA
San Martin Texmelucan,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
Atotonilco el Alto,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA
Rosario,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA
Martinez de la Torre,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA
Cardenas,NA,NA,NA,NA,NA,-4,NA,NA,18,-31,2,-2
Cadereyta Jimenez,NA,NA,NA,NA,NA,11,NA,NA,NA,-15,NA,0
Melchor Muzquiz,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
Cuautla,NA,NA,NA,NA,NA,-5,NA,NA,11,47,-1,0
Apatzingan,NA,NA,NA,NA,NA,NA,-3,-32,NA,-11,-2,-3
San Luis Rio Colorado,NA,NA,NA,NA,NA,NA,21,2,-20,NA,NA,NA
Zacapu,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA
Poza Rica,NA,NA,NA,NA,NA,NA,-28,66,2,0,-5,-2
Los Reyes de Salgado,NA,NA,NA,NA,NA,NA,-62,NA,NA,NA,NA,NA
