,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
Valle de Mexico,0.0,691502.0,0.0,970863.0,0.0,1306198.0,0.0,1829623.0,0.0,2557528.0,0.0,3872333.0,0.0,6870945.0,0.0,8909165.0,0.0,10831079.0,0.0,15563795.0,0.0,18396677.0,0.0,20116842.0
Guadalajara,1.0,101269.0,1.0,119589.0,1.0,143463.0,1.0,179693.0,1.0,229259.0,1.0,1401309.0,1.0,1580652.0,1.0,2448401.0,1.0,2840963.0,1.0,3058220.0,1.0,3800629.0,1.0,4671087.0
Puebla - Tlaxcala,2.0,93511.0,2.0,96164.0,2.0,95516.0,3.0,114883.0,3.0,138560.0,4.0,226679.0,3.0,288013.0,4.0,401623.0,3.0,871143.0,3.0,1776884.0,3.0,2269995.0,3.0,2728790.0
Leon,3.0,63305.0,7.0,57702.0,8.0,53696.0,9.0,63452.0,9.0,74280.0,7.0,122705.0,6.0,209518.0,5.0,365013.0,4.0,655809.0,5.0,983050.0,6.0,1269179.0,6.0,1609504.0
Monterrey,4.0,62358.0,3.0,78580.0,3.0,88541.0,2.0,132603.0,2.0,186131.0,2.0,1154112.0,2.0,1397100.0,2.0,1858159.0,2.0,2100216.0,2.0,2729358.0,2.0,3426352.0,2.0,4319672.0
San Luis Potosi,5.0,61028.0,4.0,68062.0,6.0,57427.0,6.0,74029.0,7.0,77211.0,6.0,131782.0,9.0,159695.0,10.0,230027.0,15.0,406630.0,10.0,677855.0,11.0,872790.0,11.0,1065039.0
Acayucan,6.0,43853.0,40.0,14329.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,91323.0,79.0,102992.0,82.0,112996.0
Merida,7.0,43653.0,5.0,62439.0,4.0,79244.0,4.0,95062.0,4.0,96929.0,5.0,142958.0,8.0,170580.0,12.0,212931.0,12.0,424529.0,9.0,688995.0,10.0,911097.0,10.0,1130759.0
Guanajuato,8.0,41596.0,14.0,35797.0,26.0,19416.0,38.0,18134.0,33.0,23512.0,88.0,23402.0,69.0,28157.0,80.0,39020.0,92.0,83649.0,70.0,119170.0,71.0,141196.0,69.0,171709.0
Pachuca,9.0,37567.0,12.0,39035.0,11.0,40882.0,13.0,43060.0,12.0,53455.0,18.0,58795.0,31.0,64641.0,39.0,83967.0,43.0,205756.0,38.0,276512.0,37.0,375022.0,33.0,512196.0
Morelia,10.0,37309.0,10.0,40019.0,17.0,31140.0,16.0,39997.0,16.0,44316.0,15.0,65058.0,16.0,100394.0,19.0,162552.0,20.0,353055.0,20.0,542985.0,20.0,679109.0,20.0,829625.0
Aguascalientes,11.0,35195.0,9.0,45276.0,9.0,48092.0,10.0,62269.0,5.0,82285.0,11.0,93426.0,13.0,126255.0,14.0,181370.0,19.0,359454.0,19.0,547366.0,17.0,727582.0,14.0,932369.0
Oaxaca,12.0,35066.0,13.0,38018.0,20.0,27881.0,21.0,33465.0,24.0,29365.0,29.0,46674.0,26.0,72356.0,34.0,99595.0,35.0,244563.0,30.0,366327.0,28.0,508593.0,29.0,619367.0
Queretaro,13.0,33245.0,17.0,33175.0,18.0,30129.0,22.0,32693.0,19.0,33694.0,26.0,49429.0,29.0,67378.0,32.0,113039.0,17.0,393226.0,13.0,651074.0,9.0,911965.0,9.0,1232712.0
Zacatecas - Guadalupe,14.0,32903.0,20.0,25999.0,36.0,15546.0,35.0,18866.0,39.0,21834.0,80.0,24326.0,62.0,31987.0,37.0,89229.0,88.0,91660.0,43.0,252461.0,42.0,341907.0,46.0,335947.0
Orizaba,15.0,32463.0,16.0,35399.0,13.0,39614.0,14.0,42915.0,15.0,47935.0,21.0,55506.0,27.0,69790.0,35.0,92584.0,38.0,221074.0,32.0,330649.0,35.0,383944.0,39.0,430121.0
Durango,16.0,31140.0,18.0,31872.0,14.0,39135.0,20.0,36302.0,20.0,33446.0,17.0,59964.0,17.0,97339.0,21.0,150578.0,9.0,501159.0,27.0,413835.0,29.0,491436.0,30.0,582267.0
Chihuahua,17.0,30459.0,11.0,39792.0,15.0,37126.0,11.0,45672.0,11.0,56885.0,12.0,87073.0,11.0,149475.0,9.0,257094.0,14.0,406830.0,18.0,551868.0,19.0,696495.0,18.0,852533.0
Torreon - Gomez Palacio,18.0,30066.0,6.0,58381.0,5.0,71797.0,5.0,90099.0,8.0,75841.0,3.0,231687.0,5.0,240846.0,6.0,302900.0,22.0,346471.0,6.0,929270.0,8.0,1053743.0,8.0,1271493.0
Veracruz,19.0,29272.0,8.0,48696.0,7.0,54278.0,8.0,67869.0,10.0,71724.0,9.0,101272.0,12.0,144233.0,11.0,214145.0,26.0,305456.0,17.0,580016.0,18.0,708474.0,19.0,834256.0
Puruandiro,20.0,27779.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,28.0,47769.0,-1.0,0.0,47.0,77708.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Rioverde,21.0,26131.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,19.0,58456.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,68.0,121212.0,73.0,128935.0,76.0,135452.0
