,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,netDistance,totalDistance,,,,,,,,,,,
Montreal,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
Toronto,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,-1
Quebec,2,-4,0,2,-3,-2,2,-1,2,1,-4,3,1,6,-4,-2,5,-1,-4,3,-3,1,5,-7,2
Ottawa,3,-1,-1,0,-1,0,1,1,1,0,0,0,3,4,0,-1,1,-1,-1,0,0,1,0,0,-3
Hamilton,4,-1,1,-3,2,0,-1,-1,-2,1,2,-2,6,5,-2,4,-5,2,1,0,1,-3,-1,4,-8
Winnipeg,5,3,0,-1,0,-1,0,-1,-2,0,0,0,5,2,3,1,-1,1,-1,1,1,-2,0,0,-5
Halifax,6,-2,-2,-2,1,-3,4,-7,1,0,3,1,5,8,0,0,-3,4,-7,11,-8,1,-3,2,-4
St. Johns,7,-4,0,-3,-1,-7,3,-4,0,-4,1,8,1,11,-4,3,-2,6,-10,7,-4,4,-5,-7,7
London,8,-1,0,0,-1,-3,2,-1,-3,3,2,0,8,9,-1,0,1,2,-5,3,2,-6,1,2,-8
Edmonton,9,2,0,1,2,1,0,0,-1,-2,1,0,9,7,2,-1,-1,1,1,0,1,1,-3,1,-9
Vancouver,10,7,0,1,0,0,0,0,0,0,0,0,10,3,7,-1,1,0,0,0,0,0,0,0,-10
Victoria,11,-1,-1,-4,1,-7,10,-5,0,-1,3,2,9,12,0,3,-5,8,-17,15,-5,1,-4,1,-7
Kingston,12,-10,-1,-3,-2,-1,0,-13,9,1,-1,9,3,22,-9,2,-1,-1,-1,13,-22,8,2,-10,6
Brantford,13,-4,0,-3,-3,-2,-8,-17,6,-1,6,10,3,17,-4,3,0,-1,6,9,-23,7,-7,-4,7
Cambridge,14,-35,9,-6,20,-4,-5,-17,0,-3,7,16,2,49,-44,15,-26,24,1,12,-17,3,-10,-9,14
Windsor,15,-8,9,4,2,-3,2,-5,-5,-1,0,5,10,23,-17,5,2,5,-5,7,0,-4,-1,-5,-5
Charlottetown,16,-23,-4,-8,-3,-34,-2,-7,13,-4,2,31,15,39,-19,4,-5,31,-32,5,-20,17,-6,-29,16
Hull,17,-4,2,-2,0,-7,-4,-23,-20,-11,5,27,10,21,-6,4,-2,7,-3,19,-3,-9,-16,-22,17
Guelph,18,-11,1,-3,-4,-6,0,-4,2,-1,6,11,7,29,-12,4,1,2,-6,4,-6,3,-7,-5,4
Saint-Thomas,19,-13,-1,-11,-3,-31,-2,-21,-3,1,0,24,5,32,-12,10,-8,28,-29,19,-18,-4,1,-24,19
Sherbrooke,20,1,-1,-2,3,-1,-2,-6,-1,3,3,6,14,19,2,1,-5,4,1,4,-5,-4,0,-3,-8
Trois-Rivieres,21,-5,4,4,0,-8,3,-10,-3,3,-3,10,11,26,-9,0,4,8,-11,13,-7,-6,6,-13,-1
Belleville,22,-18,-5,-3,-4,-16,12,-32,-13,-1,41,25,3,40,-13,-2,1,12,-28,44,-19,-12,-42,16,22
Sydney,23,-1,3,-8,-2,-13,26,-18,-9,3,-62,16,7,24,-4,11,-6,11,-39,44,-9,-12,65,-78,9
Peterborough,24,4,-5,-5,6,-8,5,-12,0,-7,0,12,12,20,9,0,-11,14,-13,17,-12,7,-7,-12,0
Saskatoon,25,-11,18,2,-1,-1,2,-9,0,1,5,3,22,36,-29,16,3,0,-3,11,-9,-1,-4,2,-19
Stratford,26,-7,1,-7,-10,-24,-14,-15,-1,-2,-1,16,10,33,-8,8,3,14,-10,1,-14,1,-1,-17,6
Moncton,27,-11,8,-2,-5,-3,6,-13,6,0,-3,16,11,38,-19,10,3,-2,-9,19,-19,6,3,-19,5
Woodstock,28,-16,-11,0,-11,-15,-7,-12,-2,-2,-1,23,5,44,-5,-11,11,4,-8,5,-10,0,-1,-24,18
Brockville,29,-14,-11,-4,-14,-28,2,-5,-2,-3,0,4,25,43,-3,-7,10,14,-30,7,-3,1,-3,-4,-21
Sarnia,30,-7,1,-2,-5,10,3,-11,-7,-10,-6,24,6,37,-8,3,3,-15,7,14,-4,3,-4,-30,18
Owen Sound,31,-3,-10,-6,-8,-28,-13,-5,-2,-1,0,2,29,34,7,-4,2,20,-15,-8,-3,-1,-1,-2,-27
Waterloo,32,-32,-7,9,-23,-5,5,6,-1,8,12,19,13,64,-25,-16,32,-18,-10,-1,7,-9,-4,-7,6
Levis,33,18,-37,-1,-15,34,-3,-23,13,-2,4,15,18,15,55,-36,14,-49,37,20,-36,15,-6,-11,-3
Thunder Bay,34,20,-1,0,1,-3,-4,-8,-3,-8,-2,9,25,14,21,-1,-1,4,1,4,-5,5,-6,-11,-16
Saint-Hyacinthe,35,-11,-3,0,5,-26,16,-22,-15,-3,-6,31,4,46,-8,-3,-5,31,-42,38,-7,-12,3,-37,27
New Westminster,36,18,-20,-2,2,-7,-6,-23,-15,-12,7,36,0,18,38,-18,-4,9,-1,17,-8,-3,-19,-29,36
Sorel,37,101,101,101,-30,-22,26,-26,101,-17,4,18,19,-64,0,0,131,-8,-48,52,-127,118,-21,-14,-1
Cornwall,38,101,101,101,-19,-26,41,-25,-10,-13,-11,41,3,-63,0,0,120,7,-67,66,-15,3,-2,-52,38
Fredericton,39,-12,-11,1,-17,-4,8,-6,15,-6,101,8,31,51,-1,-12,18,-13,-12,14,-21,21,-107,93,-23
101101imo,40,-7,-10,-9,1,-29,-3,19,5,5,5,24,16,47,3,-1,-10,30,-26,-22,14,0,0,-19,8
Yarmouth,41,-13,-12,101,101,101,101,101,101,101,101,101,60,54,-1,-113,0,0,0,0,0,0,0,0,41
Dartmouth,42,-19,-2,3,-14,2,33,-14,-15,-12,-3,27,15,61,-17,-5,17,-16,-31,47,1,-3,-9,-30,12
Chatham,43,2,2,-8,1,-18,5,-28,0,101,38,-23,66,41,0,10,-9,19,-23,33,-28,-101,63,61,-89
Lindsay,44,101,101,101,-48,101,101,101,101,101,101,101,57,-57,0,0,149,-149,0,0,0,0,0,0,44
Truro,45,-13,-7,101,-12,101,101,101,101,101,101,101,56,58,-6,-108,113,-113,0,0,0,0,0,0,45
Barrie,46,-10,-11,4,-17,15,17,-11,21,1,9,9,37,56,1,-15,21,-32,-2,28,-32,20,-8,0,-28
Salaberry-de-Valleyfield,47,101,101,101,-1,-13,3,-23,101,101,101,0,47,-54,0,0,102,12,-16,26,-124,0,0,101,-47
Dawson,49,-19,-18,-7,101,101,101,101,101,101,101,101,52,68,-1,-11,-108,0,0,0,0,0,0,0,49
Esquimalt,50,101,101,101,101,101,101,101,101,101,101,101,51,-51,0,0,0,0,0,0,0,0,0,0,50
Collingwood,51,101,101,101,101,101,101,101,101,101,101,101,50,-50,0,0,0,0,0,0,0,0,0,0,51
Cobourg,52,101,101,101,101,101,101,101,101,101,101,101,49,-49,0,0,0,0,0,0,0,0,0,0,52
Niagara Falls,53,11,5,3,-6,3,11,2,4,5,3,1,52,42,6,2,9,-9,-8,9,-2,-1,2,2,-51
Pembroke,54,101,101,101,-19,-22,4,101,101,101,101,101,47,-47,0,0,120,3,-26,-97,0,0,0,0,54
Brandon,55,5,15,-6,-4,-12,-7,101,-36,101,101,30,25,50,-10,21,-2,8,-5,-108,137,-137,0,71,5
Calgary,56,46,2,0,-1,2,-1,-1,4,1,0,0,56,10,44,2,1,-3,3,0,-5,3,1,0,-56
Port Hope,57,101,101,101,101,101,101,101,101,101,101,101,44,-44,0,0,0,0,0,0,0,0,0,0,57
Ingersoll,58,101,101,101,101,101,101,101,101,101,101,101,43,-43,0,0,0,0,0,0,0,0,0,0,58
Trenton,59,101,101,101,-34,101,101,101,101,101,101,101,42,-42,0,0,135,-135,0,0,0,0,0,0,59
Aylmer,60,101,101,101,101,101,101,101,101,101,101,101,41,-41,0,0,0,0,0,0,0,0,0,0,60
Oshawa,61,13,2,19,-2,2,3,-3,3,3,3,5,56,48,11,-17,21,-4,-1,6,-6,0,0,-2,-51
Portage la Prairie,62,3,-9,101,101,101,101,101,101,101,101,101,39,59,12,-110,0,0,0,0,0,0,0,0,62
Lachine,63,101,29,-2,-6,0,-5,-22,-26,101,101,101,38,-38,72,31,4,-6,5,17,4,-127,0,0,63
New Glasgow,64,9,-3,101,-26,101,1,101,101,101,101,101,37,55,12,-104,127,-127,100,-100,0,0,0,0,64
Orillia,65,101,101,101,-14,101,-16,101,101,101,101,6,59,-36,0,0,115,-115,117,-117,0,0,0,95,-53
Lauzon,66,101,101,101,101,101,101,101,101,101,101,101,35,-35,0,0,0,0,0,0,0,0,0,0,66
Dundas,67,101,101,101,101,101,101,101,101,101,101,101,34,-34,0,0,0,0,0,0,0,0,0,0,67
Joliette,68,101,101,101,6,-22,2,101,101,101,101,6,62,-33,0,0,95,28,-24,-99,0,0,0,95,-56
Newcastle,69,101,101,101,101,101,101,101,101,-28,101,101,32,-32,0,0,0,0,0,0,0,129,-129,0,69
Cote-Saint-Luc,70,101,101,101,101,101,101,101,101,101,101,101,31,-31,0,0,0,0,0,0,0,0,0,0,70
Saint-Jerome,71,4,-13,10,-1,5,4,-24,1,-8,3,37,34,67,17,-23,11,-6,1,28,-25,9,-11,-34,3
Richmond Hill,72,101,101,101,101,101,101,-24,3,32,24,101,29,-29,0,0,0,0,0,125,-27,-29,8,-77,72
Summerside,73,4,-12,101,101,101,101,101,101,101,101,101,28,69,16,-113,0,0,0,0,0,0,0,0,73
Whitby,74,101,-1,3,101,101,101,101,-27,14,28,101,27,-27,102,-4,-98,0,0,0,128,-41,-14,-73,74
Wallaceburg,75,101,101,101,101,101,101,101,101,101,101,101,26,-26,0,0,0,0,0,0,0,0,0,0,75
Simcoe,76,101,101,101,101,101,101,101,101,101,101,101,25,-25,0,0,0,0,0,0,0,0,0,0,76
Regi101,77,64,-3,3,0,-2,0,-6,-1,-3,0,5,72,13,67,-6,3,2,-2,6,-5,2,-3,-5,-67
Renfrew,78,8,101,101,101,101,101,101,101,101,101,101,23,70,-93,0,0,0,0,0,0,0,0,0,78
Glace Bay,79,54,-6,-2,-1,-26,-16,3,101,101,101,101,22,25,60,-4,-1,25,-10,-19,-98,0,0,0,79
Sydney Mines,80,9,10,101,-33,101,101,4,101,101,101,101,21,71,-1,-91,134,-134,0,97,-97,0,0,0,80
Sague101y,81,21,1,7,1,-12,49,-8,1,-7,-1,4,77,60,20,-6,6,13,-61,57,-9,8,-6,-5,-73
Newmarket,82,9,101,-7,101,101,101,101,101,101,-2,101,19,73,-92,108,-108,0,0,0,0,0,103,-103,82
Magog,83,9,101,-7,-5,101,101,101,101,101,101,101,18,74,-92,108,-2,-106,0,0,0,0,0,0,83
Riviere du Loup,84,9,101,-7,-7,101,101,101,101,101,101,101,17,75,-92,108,0,-108,0,0,0,0,0,0,84
Brampton,85,9,101,-7,101,101,-10,49,17,4,6,101,16,76,-92,108,-108,0,111,-59,32,13,-2,-95,85
Lethbridge,86,51,-13,-8,6,4,3,-19,-2,4,7,18,68,35,64,-5,-14,2,1,22,-17,-6,-3,-11,-50
Saint-Jean-sur-Richelieu,87,34,6,-7,-5,0,9,-16,-4,-7,9,19,68,53,28,13,-2,-5,-9,25,-12,3,-16,-10,-49
Sudbury,88,22,6,23,15,-9,14,-2,-7,-4,-2,9,79,66,16,-17,8,24,-23,16,5,-3,-2,-11,-70
Welland,89,12,101,-7,20,-28,43,-21,-13,-17,101,39,50,77,-89,108,-27,48,-71,64,-8,4,-118,62,-11
Drummondville,90,12,101,-7,10,23,6,-26,-4,-3,13,23,67,78,-89,108,-17,-13,17,32,-22,-1,-16,-10,-44
Saint-Vital,91,12,101,-7,101,101,25,-34,101,101,101,101,10,79,-89,108,-108,0,76,59,-135,0,0,0,91
Oakville,92,12,101,-7,101,101,101,29,3,12,8,101,9,80,-89,108,-108,0,0,72,26,-9,4,-93,92
