,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Saint-Petersburg,0,0,0,1,0,0,0,0,0,0,0
Moscow,1,0,0,1,0,0,0,0,0,0,0
Riga,2,-1,0,-4,-13,-1,-6,0,-2,-1,-8
Odesa,3,1,0,-3,-3,-12,3,-1,0,-4,1
Vilnius,4,-7,0,-5,-26,-20,11,3,3,-4,-4
Tula,5,-4,-5,-6,-5,-3,-3,0,-3,-8,-3
Astrakhan,6,-14,5,1,-18,-14,-2,-9,-3,1,-1
Kazan,7,-1,-4,-3,3,-2,1,-3,-1,2,-1
Kiiv,8,2,2,2,-1,-1,2,0,0,0,0
Voronezh,9,-9,-5,-5,9,-10,1,0,0,1,0
Chisi0u,10,5,-13,-14,-50,10,11,7,19,-5,1
Saratov,11,4,-1,-3,-2,-3,-4,-1,-2,2,-1
Sevastopol,12,-2,-30,-22,-15,-28,16,6,1,-6,0
Kaluga,13,-11,-29,-49,-10,-8,9,1,-2,14,-7
Berdichiv,14,4,-37,-52,NA,NA,NA,NA,NA,NA,NA
Yaroslavl,15,-12,1,-3,1,-7,-2,1,-8,-1,-4
Orel,16,-3,-9,-25,-30,-19,5,12,-11,1,-7
Nizhni-Novgorod,17,1,-1,7,6,2,-1,-1,0,0,-2
Tbilisi,18,1,10,-2,-1,-5,1,0,2,-6,1
Mikolaiv,19,7,-7,-18,-13,-8,4,-7,5,-1,-6
Elec,20,-16,-23,-59,NA,NA,NA,NA,NA,NA,NA
Bilgorod-Dnistrovsk,21,-27,-56,NA,NA,NA,NA,NA,NA,NA,NA
Kursk,22,7,-9,-16,-24,-14,4,2,-1,-5,0
Kharkiv,23,-2,20,1,2,-4,0,0,0,-3,1
Mogilev,24,-13,-30,-41,13,NA,-20,16,6,6,-4
Jelgava,25,-32,-20,NA,NA,NA,NA,NA,NA,NA,NA
Minsk,26,-5,11,-4,-12,9,9,6,4,2,1
Ismail,27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dniepropetrovsk,28,-11,26,1,6,-2,0,0,-2,-1,-2
Babruisk,29,-32,-18,-43,5,NA,NA,NA,NA,NA,NA
Michurinsk,30,-13,-28,-21,NA,NA,NA,NA,NA,NA,NA
Tallinn,31,27,-48,29,-33,6,-10,-4,-2,-15,-2
Ryazan,32,-9,-17,-37,2,24,11,2,3,0,-5
Penza,33,-1,-5,-5,-13,-2,6,1,1,-4,-6
Rostov-on-Don,34,5,19,4,-3,-10,-2,1,-2,5,-1
Kherson,35,14,-19,-40,-20,4,17,0,-8,-10,-12
Nizhin,36,-29,-23,NA,NA,NA,NA,NA,NA,NA,NA
Vitebsk,37,-5,10,-11,-12,-52,7,2,3,-1,3
Novocherkask,38,-15,4,-39,NA,-39,NA,NA,NA,NA,NA
Ulianovsk,39,11,-40,6,-25,14,16,6,10,0,-1
Zhitomir,40,14,-5,-36,-37,NA,NA,-16,3,-6,NA
Tver,41,-47,42,13,-7,-17,-6,-3,-4,-9,-3
Kremenchuk,42,-4,10,-45,-30,NA,NA,NA,NA,NA,NA
Tobolsk,43,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vologda,44,-31,-31,23,-19,-15,NA,-9,2,5,2
Ekaterinburg,45,-17,-4,44,7,2,2,0,0,1,1
Voljsk,46,11,-74,NA,NA,NA,NA,NA,NA,NA,NA
Grod0,47,-25,12,-44,NA,NA,NA,NA,NA,-6,9
Poltava,48,4,-1,0,-27,-40,7,1,-5,2,-11
Kamyanets-Podilsk,49,-1,-25,NA,NA,NA,NA,NA,NA,NA,NA
Rzhev,50,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Veliki Novgorod,51,-40,-24,NA,NA,NA,NA,NA,NA,NA,NA
Okhtirka,52,-29,-44,NA,NA,NA,NA,NA,NA,NA,NA
Irkutsk,53,20,-17,14,3,-4,-2,1,0,-5,0
Tiraspol,54,16,3,-66,NA,NA,NA,NA,-9,NA,NA
Serpuhov,55,-15,-22,6,-24,NA,NA,NA,NA,NA,NA
Torzhok,56,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sumi,57,-41,-9,-9,NA,NA,NA,NA,-3,-2,-6
Tambov,58,18,-16,0,-20,-5,-1,-8,-8,-4,-12
Syzranj,59,5,-33,-16,-22,41,-29,NA,NA,NA,NA
Tartu,60,47,-84,3,NA,NA,NA,NA,NA,NA,NA
Ufa,61,-26,33,15,5,11,-2,1,-1,1,1
Evpatoria,62,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kolom0,63,-15,NA,NA,-23,NA,NA,NA,NA,NA,NA
Bakhtchisarai,64,-33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taganrog,65,16,-2,4,-1,-31,-5,-21,-13,-6,NA
Orenburg,66,-13,54,-1,-28,-2,-8,5,9,-2,-5
Kostroma,67,-6,3,10,-17,-12,-15,-11,-11,0,NA
Oral,68,13,-19,NA,NA,NA,NA,NA,NA,NA,NA
Vladimir,69,-23,-10,NA,NA,2,6,3,1,-13,8
Tomsk,70,25,-3,6,-20,1,-5,1,3,0,3
Brest,71,13,-4,-55,NA,NA,NA,NA,NA,NA,5
Omsk,72,8,-8,41,1,8,0,0,3,-1,0
Belgorod,73,-17,-21,NA,NA,NA,NA,-6,4,20,6
Chernigiv,74,0,-31,NA,NA,NA,NA,-19,8,3,-8
Starokostuantiniv,75,-43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khotin,76,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liepeja,77,26,17,-53,NA,NA,NA,NA,NA,NA,NA
Vilopollya,78,-39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuzneck,79,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirov,80,11,-48,41,15,9,-4,-6,-3,0,-1
Lebedin,81,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkhangelsk,82,11,NA,8,32,-22,1,-11,-6,-11,-5
Morshansk,83,-13,-17,NA,NA,NA,NA,NA,NA,NA,NA
Kremenets,84,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perm,85,17,4,16,25,5,-1,0,-2,-2,-2
Polatsk,86,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saransk,87,-21,NA,NA,NA,NA,9,13,-6,1,-5
Samara,88,56,11,4,0,7,1,-1,-3,0,-2
Pskov,89,23,-28,-27,NA,NA,NA,NA,NA,NA,NA
