,2010,2001,1991,1981,1970,1960,1950,1940,1930,1920,1910,1900
Madrid,0,0,0,0,0,0,0,0,-1,1,-1,1
Barcelona,1,0,0,0,0,0,0,0,1,-1,1,-1
Valencia,2,0,0,0,0,0,0,0,0,0,0,0
Sevilla,3,0,0,0,0,0,0,0,0,0,0,0
Zaragoza,4,0,0,0,0,0,-1,0,0,0,-1,-1
Malaga,5,0,0,-1,0,0,2,0,0,0,0,0
Murcia,6,-1,-2,-1,2,0,1,-19,19,1,1,0
Bilbao,7,1,0,1,0,0,-1,0,0,-1,-1,0
Palma de Mallorca,8,-1,-2,2,-2,0,-1,1,-1,2,-1,-2
Palmas de Gran Canaria,9,1,1,0,0,0,-3,0,-5,-2,0,-4
Alicante,10,-2,-1,-2,-1,0,-4,4,-4,1,-2,4
Cordoba,11,0,1,-1,1,0,2,0,-1,-5,-1,0
Valladolid,12,2,2,0,-1,0,-5,5,-2,0,-1,2
Vigo,13,0,1,0,0,0,1,-34,23,-2,-1,-31
Gijon,14,0,0,1,-2,0,-2,-1,2,-7,3,0
Coruna,15,-1,0,0,3,0,0,1,-7,-2,-2,1
Granada,16,1,0,1,0,0,5,2,-1,0,-1,0
Vitoria-Gasteiz,17,0,0,0,-10,0,-23,15,-2,3,2,6
Elche,18,-1,-3,-4,-2,0,-12,0,NA,1,4,-3
Oviedo,19,1,-1,-1,1,0,0,-15,16,2,-3,1
Cartagena,20,-1,-5,1,2,0,7,-32,38,1,2,1
Terrassa,21,-6,-2,1,3,0,-13,-5,4,-7,-24,-23
Jerez de la Frontera,22,-2,1,0,3,0,2,-3,0,3,2,2
Sabadell,23,0,2,3,0,0,-18,-1,9,-3,-11,-9
Santa Cruz de Tenerife,24,4,2,-1,-5,0,3,-11,9,-2,7,-7
Pamplona,25,3,-2,2,NA,NA,NA,NA,NA,NA,NA,NA
Almeria,26,-2,-2,-1,0,0,3,8,-5,-1,2,5
Donostia-San Sebastian,27,1,1,1,7,0,2,2,-1,-8,0,-1
Burgos,28,-1,1,-2,0,0,1,4,-13,-5,9,5
Santander,29,4,5,-1,0,0,-1,7,2,-2,1,-2
Castello de la Plana,30,-2,-2,0,-3,0,-9,7,-6,10,5,-2
Albacete,31,0,-4,-1,0,0,5,9,-14,-8,-7,-9
Logrono,32,-4,0,-1,-2,0,-12,10,-8,-11,1,-15
San Cristobal de la Laguna,33,-5,-1,-2,-2,NA,-17,-6,-11,NA,NA,NA
Salamanca,34,4,3,-2,0,0,4,6,-8,-15,5,-8
Badajoz,35,1,-3,-2,5,0,8,-4,0,0,-1,1
Huelva,36,3,0,1,-3,0,2,4,0,-7,-5,-23
Lleida,37,-4,3,-2,2,0,-9,-3,8,13,-24,-8
Marbella,38,-7,-7,-10,NA,NA,NA,NA,NA,NA,NA,NA
Tarragona,39,0,-1,2,-7,-27,7,5,3,4,-10,22
Leon,40,3,5,-1,0,0,-4,-7,-15,-20,-3,-2
Cadiz,41,6,4,4,1,0,3,9,-3,5,-1,1
