cityName,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2001,city.11,2011,netDistance
Montreal,0,393665,0,594812,0,774330,0,1064448,0,1192235,0,1539308,0,2110679,0,2570985,1,2923264,1,3209116,1,3654167,1,4031844,-1
Toronto,1,208083,1,376524,1,521928,1,631201,1,667516,1,1262000,1,1919506,1,2609638,0,2998967,0,3893933,0,4682897,0,5583064,1
Quebec,2,68845,6,78722,6,95224,4,130643,7,150855,9,167023,7,357634,8,476226,6,619763,5,708728,9,476330,6,783564,-4
Ottawa,3,59917,4,87116,5,107894,5,126964,6,155059,6,215195,5,429872,4,596295,3,793315,3,956743,3,1126321,3,1303536,0
Hamilton,4,52638,5,82096,4,114227,7,115599,5,166324,5,237708,6,395294,7,495913,9,529406,8,643286,6,697023,8,748208,-4
Winnipeg,5,42375,2,136052,2,179196,3,218830,3,222053,4,256739,4,476031,5,534775,7,584836,7,652417,7,619540,7,756937,-2
Halifax,6,40822,8,46699,10,58482,12,59340,11,70570,14,90956,10,183936,17,220438,16,277756,16,325526,13,374410,12,404389,-6
St. Johns,7,40740,11,42583,11,47207,14,47506,15,51754,22,56780,19,95641,23,131875,23,154808,27,174286,26,177681,18,204542,-11
London,8,38090,9,46393,9,61052,9,71041,10,78395,13,100671,11,181353,12,284548,15,283729,12,419584,10,458586,10,439584,-2
Edmonton,9,27034,7,49973,7,88870,6,119267,4,173846,3,324031,3,537695,3,690853,4,657127,6,700471,5,984555,5,1234370,4
Vancouver,10,26111,3,100445,3,117249,2,246654,2,275444,2,362005,2,790263,2,1071143,2,1468211,2,1857766,2,2098170,2,2419030,8
Victoria,11,20869,12,31758,13,38723,17,39108,16,44130,23,52967,13,154226,18,197221,18,246527,19,308159,16,328301,14,358422,-3
Kingston,12,18070,22,18059,23,21895,26,23437,28,30112,29,48067,29,63487,42,77009,33,115020,32,136450,33,154919,24,164326,-12
Brantford,13,15799,17,23008,17,29430,20,30156,23,31973,25,51653,33,56779,50,65081,44,90939,45,113674,39,129629,29,139845,-16
Cambridge,14,15066,49,7610,40,13282,46,14025,26,30678,30,47288,35,55706,52,64100,52,77296,55,92845,48,110372,32,126748,-18
Windsor,15,12018,23,18053,14,38641,10,63136,8,105339,11,120597,9,193405,14,258600,19,246135,20,279666,20,209220,15,329884,0
Charlottetown,16,11476,39,11213,43,12362,51,12459,54,14564,88,16442,90,19057,97,32063,84,45069,88,57589,86,62539,55,68154,-39
Hull,17,11309,21,18191,19,24111,21,29412,21,32935,28,48989,32,56905,55,62823,75,56282,86,60734,81,66246,54,69004,-37
Guelph,18,10676,29,14432,28,18188,31,21113,35,23353,41,35027,41,43784,45,72973,43,91216,44,114021,38,131172,27,147992,-9
Saint-Thomas,19,10409,32,13253,33,16097,44,15471,47,17118,78,19046,80,22561,101,24561,104,25143,103,30332,103,33236,79,40973,-60
Sherbrooke,20,10107,19,18458,20,23580,22,28976,19,36002,20,62615,22,89451,28,111813,29,139767,26,174709,23,185838,17,206578,3
Trois-Rivieres,21,10083,26,16260,22,22437,18,35512,18,42097,26,50234,23,83726,33,97936,36,111523,33,136373,36,143138,26,153875,-5
Belleville,22,9975,40,11102,45,12229,48,13853,52,15714,68,20529,56,30751,88,35239,101,34881,102,37243,61,84098,36,104710,-14
Sydney,23,9933,24,17707,21,23180,29,22537,31,28351,44,31798,18,106101,36,91216,45,87557,42,116125,104,32496,88,31597,-65
Peterborough,24,9732,20,18360,25,21088,30,22304,24,31604,32,45148,27,64498,39,80622,39,100778,46,111976,46,116736,34,122472,-10
