CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,SovietEpoch
Edmonton,53.54200131,-113.4855766,Ajax,,,Madrid,40.40404665,-3.708166287,Albacete,,,Roma,41.89715399,12.53231298,Alessandria,,,Valle de Mexico,19.45159047,-99.10560261,Acambaro,,,Belfast,54.60187616,-5.945435042,Aberdeen,,,Tokyo,35.68148131,139.649416,Akita,,,New York,40.77321423,-73.88090455,Akron,,,Paris,48.83990462,2.322010194,Agen,,,astrahan,Almaty
Montreal,45.53269003,-73.66822949,Belleville,,,Barcelona,41.41556989,2.171428026,Alcoi,,,Napoli,40.86518786,14.33619261,Ancona,,,Guadalajara,20.63761304,-103.3591386,Acapulco,,,Birmingham,52.51213812,-1.965490369,Barnsley,,,Osaka,34.70012803,135.4198332,Aomori,,,Chicago,41.79396274,-87.82253727,Albany,,,Marseille,43.30069617,5.407161707,Ajaccio,,,Baki,arhangeljsk
Ottawa,45.41781152,-75.69404691,Brampton,,,Valencia,39.48043152,-0.407237737,Algeciras,,,Milano,45.54463407,9.1899412,Andria,,,Monterrey,25.71167126,-100.2783275,Acayucan,,,Bradford,53.79391,-1.75206,Bath,,,Nagoya,35.1212196,136.8713458,Asahikawa,,,Los Angeles,33.95381355,-117.9539253,Albuquerque,,,Lille,50.633333,3.066667,Albi,,,bar0ul,Ashgabat
Quebec,46.82043598,-71.27167611,Brandon,,,Sevilla,37.37619005,-5.986844189,Alicante,,,Torino,45.07125588,7.650765077,Arezzo,,,Puebla-Tlaxcala,19.04691142,-98.22301187,Aguascalientes,,,Bristol,51.47568809,-2.582049449,Birkenhead,,,Yokohama,35.44778,139.6425,Chiba,,,Philadelphia,39.90704662,-75.23605793,Allentown,,,Lyon,45.75117226,4.860845174,Ales,,,Berditchiv,Asta0
Toronto,43.65246768,-79.53381024,Brantford,,,Zaragoza,41.6528066,-0.891803969,Almeria,,,Genova,44.4184188,8.917256522,Bari,,,Juarez,31.70384714,-106.3905995,Ahome,,,Edinburgh,55.94226618,-3.191615537,Blackburn,,,Sapporo,43.07052122,141.3738144,Fukui,,,Detroit,42.33143,-83.04575,Anaheim,,,Nice,43.64599973,7.143746234,Amiens,,,cheljabinsk,astrahan
Vancouver,49.2292552,-122.9851417,Burlington,,,Malaga,36.67033498,-4.474219443,Antequera,,,Palermo,38.13624749,13.33786802,Bergamo,,,Torreon - Gomez Palacio,25.54389,-103.41898,Ameca,,,Glasgow,55.85618871,-4.301855947,Brighton,,,Kobe,34.6913,135.183,Funabashi,,,Houston,29.78137075,-95.40836967,Anchorage,,,Bordeaux,44.83713582,-0.595450807,Angers,,,Chisi0u,belgorod
Winnipeg,49.87947386,-97.1510269,Burnaby,,,Bilbao,43.29752228,-2.972245446,Aviles,,,Firenze,43.7839755,11.21375718,Bolzano,,,Leon,21.1239562,-101.6665674,Amecameca,,,Leeds,53.79648,-1.54785,Calderdale,,,Hiroshima,34.40983978,132.4508307,Gifu,,,Saint Louis,38.64866335,-90.29516847,Arlington,,,,,,Angouleme,,,Dniepropetrovsk,Bishkek
,,,Calgary,,,Murcia,37.99154182,-1.12995791,Badajoz,,,Bologna,44.4937077,11.32900303,Brescia,,,,,,Apatzingan,,,Liverpool,53.43350797,-2.874288738,Cardiff,,,Fukuoka,33.60202361,130.4282875,Hachioji,,,,,,Atlanta,,,,,,Annemasse,,,Donetsk,blagovschsk
,,,Cap-de-la-Madeleine,,,,,,Barakaldo,,,,,,Cagliari,,,,,,Campeche,,,London,51.49357981,-0.129891877,Coventry,,,Kyoto,35.02107,135.75385,Hakodate,,,,,,Aurora,,,,,,Armentieres,,,ekaterinbrg,Brest
,,,Cape Breton,,,,,,Burgos,,,,,,Caltanissetta,,,,,,Cananea,,,Manchester,53.49196147,-2.241619756,Darlington,,,Kitakyushu,33.88835279,130.8576725,Hamamatsu,,,,,,Austin,,,,,,Arras,,,Erevan,brjansk
,,,Charlottetown,,,,,,Caceres,,,,,,Capannori,,,,,,Celaya,,,Sheffield,53.388841,-1.417890387,Derby,,,Sendai,38.27557021,140.9104717,Himeji,,,,,,Bakersfield,,,,,,Avignon,,,habarovsk,cheboksary
,,,Chatham,,,,,,Cadiz,,,,,,Caserta,,,,,,Centro,,,,,,Doncaster,,,Nagasaki,32.76273432,129.8565366,Kagoshima,,,,,,Baltimore,,,,,,Bastia,,,ivanovo,Doushanbe
,,,Chilliwack,,,,,,Cartagena,,,,,,Castellammare di Stabia,,,,,,Chihuahua,,,,,,Dudley,,,,,,Kanazawa,,,,,,Baton Rouge,,,,,,Bayonne,,,izhevsk,dzerdginsk
,,,Drummondville,,,,,,Castello de la Plana,,,,,,Catania,,,,,,Ciudad Guzman,,,,,,Dundee,,,,,,Kawaguchi,,,,,,Birmingham,,,,,,Beauvais,,,jaroslavlj,elec
,,,East York,,,,,,Ceuta,,,,,,Catanzaro,,,,,,Ciudad Madero,,,,,,Halifax,,,,,,Kawasaki,,,,,,Boston,,,,,,Belfort,,,kaliningrad,Evpatoria
,,,Etobicoke,,,,,,Chamartin de la Rosa,,,,,,Cesena,,,,,,Ciudad Obregon,,,,,,Hartlepool,,,,,,Kochi,,,,,,Bridgeport,,,,,,Besancon,,,kazan,Ganca
,,,Fredericton,,,,,,Ciudad Real,,,,,,Cinisello Balsamo,,,,,,Ciudad Valles,,,,,,Huddersfield,,,,,,Kumamoto,,,,,,Buffalo,,,,,,Bethune,,,Kharkiv,Gomel
,,,Galt,,,,,,Cordoba,,,,,,Cosenza,,,,,,Ciudad Victoria,,,,,,Hull,,,,,,Kurashiki,,,,,,Chandler,,,,,,Beziers,,,Kherson,Grod0
,,,Glace Bay,,,,,,Coruna,,,,,,Cremona,,,,,,Coatzacoalcos,,,,,,Knowsley,,,,,,Maebashi,,,,,,Charlotte,,,,,,Blois,,,Kiiv,groznyj
,,,Guelph,,,,,,Donostia-San Sebastian,,,,,,Faenza,,,,,,Colima - Villa de Alvarez,,,,,,Leicester,,,,,,Matsudo,,,,,,Chattanooga,,,,,,Boulogne-sur-Mer,,,krasnodar,irkutsk
,,,Halifax,,,,,,Ecija,,,,,,Ferrara,,,,,,Cordoba,,,,,,Luton,,,,,,Matsuyama,,,,,,Cincinnati,,,,,,Bourg-en-Bresse,,,kursk,Ismail
,,,Hamilton,,,,,,El Puerto de Santa Maria,,,,,,Foggia,,,,,,Cuernavaca,,,,,,Middlesbrough,,,,,,Muroran,,,,,,Cleveland,,,,,,Bourges,,,Minsk,Jelgava
,,,Hull,,,,,,Elche,,,,,,Forli,,,,,,Culiacan,,,,,,Newcastle-upon-Tyne,,,,,,Nagano,,,,,,Colorado Springs,,,,,,Bourgoin-Jallieu,,,Moscou,kaluga
,,,Joliette,,,,,,Estrada,,,,,,Gela,,,,,,Delicias,,,,,,North Tyneside,,,,,,Niigata,,,,,,Columbus,,,,,,Brest,,,nnovgorod,Karagandy
,,,Kamloops,,,,,,Ferrol,,,,,,Giuliano in Campania,,,,,,Durango,,,,,,Norwich,,,,,,Okayama,,,,,,Corpus Christi,,,,,,Brive-la-Gaillarde,,,novosibirsk,Kau0s
,,,Kelowna,,,,,,Gijon,,,,,,Imola,,,,,,El Oro de Hidalgo,,,,,,Nottingham,,,,,,Omuta,,,,,,Dallas,,,,,,Caen,,,Odesa,kemerovo
,,,Kingston,,,,,,Girona,,,,,,La Spezia,,,,,,Ensenada,,,,,,Oldbury and Smethwick,,,,,,Sagamihara,,,,,,Dayton,,,,,,Calais,,,omsk,Kertch
,,,Kitchener,,,,,,Granada,,,,,,Laquila,,,,,,Fresnillo,,,,,,Plymouth,,,,,,Sakai,,,,,,Denver,,,,,,Chalons-en-Champagne,,,permj,Khotin
,,,Lachine,,,,,,Huelva,,,,,,Latina,,,,,,Guanajuato,,,,,,Poole,,,,,,Sasebo,,,,,,Des Moines,,,,,,Chalon-sur-SaÙne,,,Rga,kirov
,,,Laval,,,,,,Iruna,,,,,,Lecce,,,,,,Hermosillo,,,,,,Portsmouth,,,,,,Shizuoka,,,,,,El Paso,,,,,,Chambery,,,rostov0don,Kirovograd
,,,Lethbridge,,,,,,Jaen,,,,,,Livorno,,,,,,Heroica Matamoros,,,,,,Preston,,,,,,Takamatsu,,,,,,Elizabeth,,,,,,Charleville-Mezieres,,,Saint-Ptersbourg,kostroma
,,,Levis,,,,,,Jerez de la Frontera,,,,,,Lucca,,,,,,Heroica Nogales,,,,,,Rhondda,,,,,,Tokushima,,,,,,Erie,,,,,,Chartres,,,samara,Koustaisi
,,,London,,,,,,La Linea de la Concepcion,,,,,,Mantova,,,,,,Heroica Zamora,,,,,,Rotherham,,,,,,Toyama,,,,,,Evansville,,,,,,Cherbourg-Octeville,,,Tallinn,krasnojarsk
,,,Longueuil,,,,,,La Union,,,,,,Marsala,,,,,,Heroica Zitacuaro,,,,,,Sandwell,,,,,,Toyohashi,,,,,,Flint,,,,,,Clermont-Ferrand,,,Tashkent,Krementchouk
,,,Mississauga,,,,,,Langreo,,,,,,Messina,,,,,,Hidalgo del Parral,,,,,,Sefton,,,,,,Tsu,,,,,,Fort Wayne,,,,,,Cluses,,,Tbilisi,Krivii Rig
,,,Moncton,,,,,,Leon,,,,,,Modena,,,,,,Huamantla,,,,,,South Shields,,,,,,Utsunomiya,,,,,,Fort Worth,,,,,,Colmar,,,tula,Lebedin
,,,Moose Jaw,,,,,,Linares,,,,,,Modica,,,,,,Iguala de la Independencia,,,,,,Southampton,,,,,,Wakayama,,,,,,Fresno,,,,,,Compiegne,,,uljanovsk,Liepja
,,,Nanaimo,,,,,,Linea de la Concepcion,,,,,,Monza,,,,,,Irapuato,,,,,,Southend-on-Sea,,,,,,Yokkaichi,,,,,,Gary,,,,,,Creil,,,Vilnius,lipeck
,,,New Glasgow,,,,,,Lleida,,,,,,Novara,,,,,,Jalapa,,,,,,Stoke-on-Trent,,,,,,,,,,,,Grand Rapids,,,,,,Dijon,,,Vitebsk,Lougansk
