CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,GCPNT_LATfe,GCPNT_LONfe,SovietEpoch,GCPNT_LATfe,GCPNT_LONfe
Edmonton,53.54200131,-113.4855766,Ajax,43.850374,-79.024658,Madrid,40.40404665,-3.708166287,Albacete,38.9890121,-1.8548699,Roma,41.89715399,12.53231298,Alessandria,44.9129225,8.615321,Valle de Mexico,19.45159047,-99.10560261,Acambaro,20.07084755,-100.7447445,Belfast,54.60187616,-5.945435042,Aberdeen,57.1482429,-2.0928095,Tokyo,35.68148131,139.649416,Akita,39.6898802,140.342608,New York,40.77321423,-73.88090455,Akron,41.083064,-81.518485,Paris,48.83990462,2.322010194,Agen,44.2015624,0.6176324,Kazan,55.78333333,49.11666667,Almaty,43.25,76.95
Montreal,45.53269003,-73.66822949,Belleville,44.2436328,-77.3607597,Barcelona,41.41556989,2.171428026,Alcoi,38.7005237,-0.479220415,Napoli,40.86518786,14.33619261,Ancona,43.6170137,13.5170982,Guadalajara,20.63761304,-103.3591386,Acapulco,16.8680495,-99.8940182,Birmingham,52.51213812,-1.965490369,Barnsley,53.5527719,-1.4827755,Osaka,34.70012803,135.4198332,Aomori,40.886943,140.590121,Chicago,41.79396274,-87.82253727,Albany,42.6511674,-73.754968,Marseille,43.30069617,5.407161707,Ajaccio,41.9263991,8.7376029,Kharkiv,50,36.25,Astrakhan,46.35,48.03333333
Ottawa,45.41781152,-75.69404691,Brampton,43.6858146,-79.7599337,Valencia,39.48043152,-0.407237737,Algeciras,36.1310804,-5.4487055,Milano,45.54463407,9.1899412,Andria,41.227674,16.2947553,Monterrey,25.71167126,-100.2783275,Acayucan,18.0281048,-95.03593818,Bradford,53.79391,-1.75206,Bath,51.3813864,-2.3596963,Nagoya,35.1212196,136.8713458,Asahikawa,43.758203,142.371544,Los Angeles,33.95381355,-117.9539253,Albuquerque,35.0841034,-106.6509851,Lille,50.633333,3.066667,Albi,43.9277552,2.147899,Kiiv,50.43,30.52,Babruisk,53.15,29.23
Quebec,46.82043598,-71.27167611,Brandon,49.8511143,-99.9608924,Sevilla,37.37619005,-5.986844189,Alicante,38.353738,-0.4901846,Torino,45.07125588,7.650765077,Arezzo,43.4640246,11.86046188,Puebla-Tlaxcala,19.04691142,-98.22301187,Aguascalientes,21.8806553,-102.2961323,Bristol,51.47568809,-2.582049449,Birkenhead,53.3943509,-3.0191569,Yokohama,35.44778,139.6425,Chiba,35.549399,140.2647303,Philadelphia,39.90704662,-75.23605793,Allentown,40.6022059,-75.4712794,Lyon,45.75117226,4.860845174,Ales,44.1253665,4.0852818,Moscow,55.75,37.61666667,Baku,40.4,49.88
Toronto,43.65246768,-79.53381024,Brantford,43.1554354,-80.2665916,Zaragoza,41.6528066,-0.891803969,Almeria,36.8414197,-2.4628135,Genova,44.4184188,8.917256522,Bari,41.1257843,16.8620293,Juarez,31.70384714,-106.3905995,Ahome,25.9240491,-109.2075396,Edinburgh,55.94226618,-3.191615537,Blackburn,53.749326,-2.4840566,Sapporo,43.07052122,141.3738144,Fukui,35.9263502,136.6068127,Detroit,42.33143,-83.04575,Anaheim,33.8347516,-117.911732,Nice,43.64599973,7.143746234,Amiens,49.8941708,2.2956951,Nizhni-Novgorod,56.31666667,44,Bar0ul,49.07,27.67
Vancouver,49.2292552,-122.9851417,Burlington,43.3248924,-79.7966835,Malaga,36.67033498,-4.474219443,Antequera,37.0183652,-4.5596649,Palermo,38.13624749,13.33786802,Bergamo,45.6944947,9.6698727,Torreon - Gomez Palacio,25.54389,-103.41898,Ameca,20.5347004,-104.064661,Glasgow,55.85618871,-4.301855947,Brighton,50.8220399,-0.1374061,Kobe,34.6913,135.183,Funabashi,35.699997,139.988668,Houston,29.78137075,-95.40836967,Anchorage,61.2163129,-149.8948523,Bordeaux,44.83713582,-0.595450807,Angers,47.4739884,-0.5515588,Novosibirsk,55.03333333,82.91666667,Berdichiv,49.9,28.58
Winnipeg,49.87947386,-97.1510269,Burnaby,49.2433804,-122.9725459,Bilbao,43.29752228,-2.972245446,Aviles,43.5554436,-5.9222466,Firenze,43.7839755,11.21375718,Bolzano,46.4981125,11.3547801,Leon,21.1239562,-101.6665674,Amecameca,19.1200254,-98.70653181,Leeds,53.79648,-1.54785,Calderdale,53.7204748,-1.962288633,Hiroshima,34.40983978,132.4508307,Gifu,35.7867449,137.0460777,Saint Louis,38.64866335,-90.29516847,Arlington,32.701939,-97.10562483,,,,Angouleme,45.6512748,0.1576745,Odesa,46.47,30.73,Bishkek,42.87,74.6
,,,Calgary,51.02532675,-114.0498685,Murcia,37.99154182,-1.12995791,Badajoz,38.8780585,-6.9702048,Bologna,44.4937077,11.32900303,Brescia,45.5398022,10.2200214,,,,Apatzingan,18.9681711,-102.4693968,Liverpool,53.43350797,-2.874288738,Cardiff,51.4816546,-3.1791934,Fukuoka,33.60202361,130.4282875,Hachioji,35.660175,139.283071,,,,Atlanta,33.7490987,-84.3901849,,,,Annemasse,46.1934005,6.2341093,Riga,56.95,24.1,Brest,52.1,23.7
,,,Cap-de-la-Madeleine,46.368253,-72.509079,,,,Barakaldo,43.29548,-2.9900933,,,,Cagliari,39.2169525,9.1128513,,,,Campeche,19.32920555,-89.94391483,London,51.49357981,-0.129891877,Coventry,52.4081812,-1.510477,Kyoto,35.02107,135.75385,Hakodate,41.768793,140.729008,,,,Aurora,41.7571701,-88.3147539,,,,Armentieres,50.6867281,2.882169,Saint-Petersburg,59.95,30.31666667,Chelyabinsk,55.15,61.4
,,,Cape Breton,46.2950327,-60.93605535,,,,Burgos,42.343926,-3.696977,,,,Caltanissetta,37.4899412,14.0631618,,,,Cananea,30.9826994,-110.2101185,Manchester,53.49196147,-2.241619756,Darlington,54.53525645,-1.552942975,Kitakyushu,33.88835279,130.8576725,Hamamatsu,34.7109786,137.7259431,,,,Austin,30.2711286,-97.7436995,,,,Arras,50.291048,2.7772211,Saratov,51.53333333,46,Chernivtsi,48.3,25.93
,,,Charlottetown,46.234953,-63.132935,,,,Caceres,39.4745175,-6.3716761,,,,Capannori,43.8420391,10.5735254,,,,Celaya,20.5222851,-100.8307739,Sheffield,53.388841,-1.417890387,Derby,52.9212617,-1.4761491,Sendai,38.27557021,140.9104717,Himeji,34.8153529,134.6854793,,,,Bakersfield,35.3738712,-119.0194639,,,,Avignon,43.9492493,4.8059012,,,,Chisi0u,54.58,55.38
