,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1946,city.5,1954,city.6,1961,city.7,1975,city.8,1982,city.9,1990,city.10,1999,city.11,2007
Paris,0,3626783,0,3880446,0,3922480,0,4210982,0,4686304,0,6130573,0,8159234,0,9042635,0,9120945,0,9554192,0,9738809,0,10303282
Lille,1,731825,1,801802,3,739609,2,848315,2,898056,3,879675,1,1118864,3,960264,3,962531,3,977917,3,999797,3,1014239
Marseille,2,638438,3,680411,2,816343,1,861855,1,915494,1,1058409,3,1014025,2,1299506,1,1413201,2,1367593,1,1463016,1,1558379
Lyon,3,511198,2,689338,1,917776,3,729802,3,850479,2,956347,2,1020448,1,1355318,2,1313071,1,1416653,2,1428149,2,1508813
Nice,4,361225,4,384835,4,399593,7,294698,4,512161,7,382467,4,640465,6,560384,4,780716,6,667346,4,889163,4,947075
Saint-…tienne,5,258158,6,261513,8,268076,11,234759,10,293792,14,228973,12,324031,13,380892,12,409938,18,300505,14,381378,15,372967
Toulouse,6,258055,7,249632,7,275436,5,363096,6,375075,9,370454,7,449863,5,647467,6,588509,5,731341,6,761963,5,859338
Rouen,7,254342,5,362782,6,346326,15,190750,9,347057,19,183980,8,398860,7,547391,10,450316,11,456254,11,463273,11,464294
Bordeaux,8,246074,10,213988,5,367491,4,492812,5,500677,4,560098,5,562467,4,722488,5,676765,4,856263,5,773636,6,831788
Valenciennes,9,230979,8,234894,9,234480,6,323086,11,258785,21,162818,13,310683,12,426331,15,349334,17,315525,17,334569,18,333492
Nancy,10,202675,9,219986,10,213209,33,86978,14,213537,11,283427,18,233561,14,363568,18,284441,19,287243,21,288096,21,286108
Douai - Lens,11,200586,17,157762,14,183339,10,235029,7,367525,5,554655,6,533163,8,461735,7,533985,10,464766,9,518146,9,511345
Grenoble,12,183409,12,177445,15,177495,16,181508,12,233246,8,373415,11,325438,9,453110,11,450223,7,526891,10,483646,10,495342
Metz,13,169867,15,168623,18,162365,18,178657,17,183252,20,183612,17,233958,22,241423,19,279814,20,281674,20,290336,20,290851
Strasbourg,14,165494,11,195725,13,185878,8,291153,15,202790,10,299487,15,266467,16,327296,13,391877,12,410644,12,435059,12,449798
Tours,15,164744,13,173467,17,175108,45,54703,26,118881,17,205022,20,212610,18,285567,17,301915,16,335977,18,332315,17,344739
Le Havre,16,160252,16,166229,12,193476,13,200087,16,196908,13,252427,16,244132,17,286184,21,261452,25,231174,24,256558,24,244745
Avignon,17,146941,19,149312,19,148291,17,178847,20,160117,25,144169,19,215252,23,238211,14,352534,14,379499,13,405426,13,440651
Nantes,18,133077,14,170515,11,198087,21,133378,8,360172,12,252565,9,396834,11,431843,8,476295,8,506701,7,557947,7,584306
Toulon,19,131562,21,126788,20,129568,9,242451,18,165939,6,500371,10,329312,10,441336,9,469027,9,501648,8,527814,8,556538
Reims,20,128404,20,135234,23,96664,26,99576,24,130739,32,113872,26,158675,30,187858,28,201443,28,206229,28,215581,29,211966
OrlÈans,21,126405,22,122150,21,119095,12,220691,21,138495,22,156698,25,171392,25,217735,25,220478,24,243153,22,263292,22,268468
BÈthune,22,124005,18,153019,16,176592,19,157292,13,232172,37,97595,14,274779,15,340703,16,341084,13,407359,15,346888,16,350068
Brest,23,114468,23,121575,33,74054,95,20333,40,76069,34,111916,30,144749,29,198999,29,201145,29,204524,30,206589,31,201666
Mulhouse,24,93861,24,105491,22,108037,24,121622,22,135185,23,154524,24,176821,24,226296,24,227933,26,230451,25,237975,25,243618
Amiens,25,90824,25,93295,24,92838,78,27092,38,84868,62,50236,38,109960,33,169114,37,157644,48,116381,38,163601,39,163158
Limoges,26,84162,26,92204,26,90298,34,85695,28,107958,35,106001,37,121091,35,156666,34,173855,39,149378,35,176733,35,184066
Angers,27,82443,27,83823,28,86229,40,69806,32,94421,29,122164,28,152343,28,201808,30,195559,22,261606,27,220037,27,220313
NÓmes,28,80648,28,80433,29,82811,85,25434,35,91703,68,43056,40,105200,58,89443,38,145107,32,191782,39,162662,37,176079
Montpellier,29,76049,29,80281,31,81515,42,67536,33,93145,87,32152,35,123409,19,283573,20,263397,15,349101,16,344877,14,384165
