cityName,city,1900,city.1,1910,city.2,1921,city.3,1930,city.4,1940,city.5,1951,city.6,1961,city.7,1971,city.8,1981,city.9,1991,city.10,2001,city.11,2011
Napoli,0,563565,0,678043,0,772411,2,839408,2,865969,2,1024510,2,1183095,2,1278164,2,1212409,2,1024629,2,1004589,2,962003
Milano,1,491565,1,599243,1,718833,1,992039,1,1115846,1,1276581,1,1573058,1,1713573,1,1604893,1,1371086,1,1256211,1,1242123
Roma,2,462884,2,542157,2,688610,0,1008180,0,1155778,0,1701959,0,2188030,0,2778911,0,2840313,0,2693469,0,2546804,0,2617175
Torino,3,335800,3,427152,3,502324,4,597307,3,634637,3,721869,4,784088,3,1190785,3,1117223,3,961965,3,865263,3,872367
Palermo,4,309722,4,341152,4,393681,5,389799,5,411915,5,503105,5,588095,5,663877,5,701889,4,697300,4,686722,4,657651
Genova,5,234767,5,272221,5,316222,3,608169,4,629157,4,687511,3,1032605,4,842101,4,762945,5,675693,5,610307,5,586180
Firenze,6,205616,6,232966,6,253629,6,316342,7,269769,6,390885,6,443260,7,460950,7,442743,7,402325,7,356118,7,358079
Bologna,7,152066,9,172630,9,211265,9,246313,6,322537,7,350767,7,437049,6,493147,6,459133,6,411851,6,371217,6,381337
Venezia,8,151988,10,160735,11,171748,7,260231,9,248425,8,322558,8,358758,9,367600,10,346194,10,308760,10,271073,10,261362
Messina,9,149858,11,126603,10,176406,11,182558,12,192172,12,222903,12,202187,12,274790,12,260295,11,274862,12,252026,12,243262
Catania,10,149327,8,210741,7,252480,10,227831,8,264069,9,301773,10,294055,8,414648,8,380326,9,330009,9,313110,9,293902
Trieste,11,134189,7,229600,8,238701,8,249700,11,196735,11,270266,9,347069,11,277104,13,252420,14,231020,13,211184,14,202123
Livorno,12,98308,12,105340,12,114854,15,124473,18,119304,17,146220,15,172932,17,209736,21,175771,22,171376,22,156274,23,157052
Ferrara,13,87652,15,95201,15,107697,18,115967,28,81114,20,134584,18,140580,29,114318,26,149512,32,110760,28,130992,29,135369
Padova,14,82317,14,96227,14,112090,14,131145,14,138792,15,173472,14,175649,16,223445,15,234790,15,218225,14,204870,13,206192
Bari,15,77566,13,103566,13,114837,12,171860,10,225012,10,273805,11,254189,10,356399,9,371093,8,341400,8,316532,8,315933
Lucca,16,73029,19,76253,23,78671,27,81879,65,50596,30,88372,27,94051,85,54540,54,84844,51,86470,59,81862,60,84939
Verona,17,72378,17,81976,18,92513,13,153954,13,153777,13,186039,13,175823,14,228927,11,265948,12,258906,11,253208,11,260172
Alessandria,18,71314,20,75753,24,78310,25,82608,49,62266,33,82196,29,90493,26,126554,49,100576,67,74097,56,85438,52,94974
Brescia,19,70630,16,83359,17,100277,17,118849,17,119826,16,147368,16,169331,18,175389,17,206727,17,196807,16,187567,16,189902
La Spezia,20,65611,21,73609,20,88076,19,108002,25,86011,23,112288,21,111827,21,152889,36,115477,42,101710,50,91391,50,95378
Modena,21,64833,23,71000,21,83709,22,92826,20,106645,22,114520,22,110778,24,139587,19,180320,20,177561,18,175502,19,179149
Ravenna,22,64031,22,71614,26,71993,29,78154,56,55445,28,91803,28,92096,63,74039,28,138006,50,87063,27,134631,24,153740
Pistoia,23,62612,26,67591,29,66547,32,70482,68,49404,35,77859,32,83174,95,51040,65,78163,68,73981,57,84274,55,90288
Perugia,24,61402,27,65826,25,73096,28,79364,44,63987,27,95310,26,96101,68,69088,27,142335,33,109566,24,149125,21,162449
Pisa,25,61311,29,65283,28,68990,30,73065,35,69463,36,77705,31,84795,39,98063,44,104519,44,101512,54,89694,57,88217
Taranto,26,60712,25,69331,16,103867,20,105944,16,123842,14,174986,19,138801,13,262093,14,244164,13,232291,15,202033,15,200154
Trapani,27,59576,32,59683,27,71289,46,60069,75,46526,41,73317,44,72736,50,83095,77,61963,87,59762,79,68346,81,70622
Reggio nellEmilia,28,58545,24,70427,22,82990,23,91068,37,67060,24,108869,23,108755,32,107304,30,130467,35,108861,25,141877,22,162082
Marsala,29,57661,28,65555,34,61414,50,57274,38,66105,40,74937,48,68414,64,72627,66,76841,62,77204,65,77784,64,82774
Ancona,30,56813,30,63140,30,66314,24,84422,31,72544,31,85893,24,107803,38,99057,42,106584,38,103387,41,100507,44,102997
Cagliari,31,53737,31,60193,33,61807,21,101960,15,125098,18,142770,20,118673,15,225823,16,233847,16,211791,20,164249,26,149576
Foggia,32,53282,18,76767,19,90313,49,57282,23,93915,26,97597,47,69503,23,141500,25,156557,24,155065,23,155203,25,152747
Alcamo,33,51857,85,31892,68,41563,59,51235,-1,0,-1,0,86,43964,90,52727,-1,0,-1,0,-1,0,-1,0
Prato,34,51592,33,56706,32,62259,33,67812,22,96323,37,77669,34,79800,41,95674,23,160267,23,165402,19,172499,17,185456
Andria,35,49629,38,53350,46,53661,55,53972,62,51869,54,66376,52,65370,47,89409,56,84199,58,82698,43,95653,46,100086
Parma,36,49314,40,51907,39,58513,31,71311,19,117723,21,124240,33,81789,20,170503,20,179033,21,174021,21,163457,20,175895
Modica,37,49091,34,55978,53,49652,74,43327,-1,0,-1,0,89,42525,-1,0,-1,0,-1,0,-1,0,-1,0
Capannori,38,48275,44,47748,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bergamo,39,47850,35,55378,31,62317,26,82152,26,82434,25,105424,25,103899,22,142556,33,122114,30,115757,34,113143,35,119551
Novara,40,45205,37,54691,42,56323,39,63269,36,68904,50,69424,46,69613,28,117612,46,102182,39,103324,40,100910,41,105024
Caltagirone,41,44933,56,42660,69,40447,85,38234,84,40924,95,43615,84,44240,-1,0,-1,0,-1,0,-1,0,-1,0
Vicenza,42,44822,36,54607,35,60355,37,65292,29,79330,34,79943,35,79070,37,100080,37,114615,34,109317,37,107223,39,115927
Reggio di Calabria,43,44485,54,43255,37,59490,16,122732,24,89277,19,139593,17,152543,27,120578,22,173573,19,178529,17,180353,18,180817
Arezzo,44,44331,46,47588,50,51911,51,57097,77,45436,53,66503,50,66885,87,54061,67,74524,66,74272,49,91589,45,100212
Forli,45,43741,47,46066,49,52024,44,60873,59,53299,38,77522,38,77775,51,82933,39,110809,49,90650,35,108335,36,118167
Caltanissetta,46,43322,59,41333,36,60169,71,44162,96,35389,63,60700,63,56862,70,67732,87,57757,80,62905,91,61438,98,60267
Rimini,47,43287,41,50999,41,56809,41,62619,39,65773,39,77300,39,76801,44,91098,31,127836,31,114815,29,128656,27,143321
Salerno,48,42800,48,45761,48,52068,42,62171,21,106138,29,90849,37,78959,25,128309,24,157494,25,153427,26,138188,28,139019
Monza,49,42643,39,53254,40,57086,43,60919,30,72976,42,73180,43,74863,34,105205,32,123149,28,121207,32,120204,33,122712
Cesena,50,42290,49,45640,47,52695,47,59751,83,41769,47,70499,49,67442,58,78008,70,72149,70,72278,52,90948,48,97056
Carrara,51,42129,43,49448,45,53984,48,58521,70,48986,62,62351,51,65411,76,63591,79,61772,75,68508,84,65034,88,65573
Barletta,52,42040,51,44372,57,46371,65,48371,63,51756,57,64370,59,61259,49,86266,58,82375,52,86211,48,92094,53,94459
Corato,53,41660,50,45244,59,44681,72,44119,50,94070,85,45577,76,48447,-1,0,-1,0,-1,0,-1,0,-1,0
Faenza,54,40424,63,40230,62,43795,69,47361,72,47733,82,48105,70,51658,98,47221,-1,0,-1,0,-1,0,-1,0
Molfetta,55,40199,53,43313,58,45390,68,47467,76,45559,68,56002,66,53900,59,77802,74,64778,79,66754,87,62546,-1,0
Como,56,38978,52,44130,55,48105,53,54113,42,64210,48,70461,58,62787,56,82038,51,94300,53,86066,64,78680,59,85263
Savona,57,38488,42,50234,44,55450,45,60667,60,53268,52,67871,41,75486,55,82506,73,65053,72,69064,95,59907,95,62553
Sassari,58,38358,55,43174,65,42968,56,53608,43,64092,49,70117,54,64860,40,97673,34,119620,29,120035,31,120729,30,130658
Asti,59,38034,66,39759,60,44469,64,49179,80,44679,75,52034,68,52085,52,82769,72,65519,81,62883,71,71276,71,76534
Udine,60,37929,45,47687,43,56062,34,66564,40,64722,44,72916,45,70273,36,100890,47,102066,46,98347,46,95030,47,99627
Cremona,61,37776,62,40474,38,59108,38,64096,58,53916,51,68700,42,75284,54,82517,68,74390,65,75212,74,70887,75,72147
Piacenza,62,36170,67,38560,63,43785,35,65811,34,70214,43,72991,40,76396,35,103289,40,109051,41,102337,44,95594,43,103206
Pavia,63,35494,65,39956,67,42084,60,50368,51,61389,59,63797,61,58587,46,90055,57,82624,59,80142,73,71214,78,71142
Acireale,64,35490,71,36133,72,37212,84,38292,-1,0,-1,0,90,42110,-1,0,-1,0,-1,0,-1,0,-1,0
Cerignola,65,34277,64,40087,-1,0,-1,0,-1,0,77,51304,-1,0,89,53046,-1,0,-1,0,-1,0,-1,0
San Pier d'Arena,66,34178,57,42453,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Treviso,67,34022,60,41078,51,49783,54,54050,46,63135,60,63497,56,64320,42,93082,55,84347,56,83933,61,80144,63,82807
Torre del Greco,68,33312,69,36669,66,42314,66,47960,52,60396,56,64477,62,58427,62,74311,45,103692,43,101552,53,90607,58,87197
Imola,69,33285,73,35082,-1,0,-1,0,-1,0,86,45440,-1,0,-1,0,-1,0,-1,0,85,64348,85,69116
Castellammare di Stabia,70,32845,76,34062,71,38918,73,43774,67,49530,67,56363,72,50236,77,63401,71,70505,74,68770,82,66929,89,64506
Lecce,71,32761,70,36249,70,39310,70,46827,55,56090,58,63826,67,52563,48,89063,61,80199,40,102364,58,83303,49,95520
Caserta,72,32769,78,33291,75,35255,58,51416,85,40557,89,44621,64,55855,74,65449,86,59251,73,68900,67,75208,69,78693
Vittoria,73,32277,86,31383,-1,0,-1,0,100,31957,96,43271,-1,0,92,52256,-1,0,98,57086,-1,0,94,63332
Siracusa,74,32006,61,40874,52,49666,61,50191,47,62681,45,71010,57,63553,43,92047,35,117647,27,125402,30,123657,31,123850
Ragusa,75,31990,68,37509,64,43656,62,49798,90,38491,79,49552,65,54513,72,66661,81,60952,71,69467,77,68956,73,73743
Catanzaro,76,31896,74,34360,74,36112,78,41942,53,59040,64,60033,74,49402,86,54075,48,100871,37,103862,45,95251,54,93124
Trani,77,31839,88,31048,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Casale Monferrato,78,31895,75,34199,-1,0,-1,0,-1,0,-1,0,-1,0,91,52546,-1,0,-1,0,-1,0,-1,0
Vercelli,79,31290,84,31968,-1,0,82,39589,81,42677,99,42257,85,44027,67,71030,-1,0,-1,0,-1,0,-1,0
Bisceglie,80,30967,77,33972,-1,0,-1,0,-1,0,-1,0,-1,0,97,49006,-1,0,-1,0,-1,0,-1,0
Terni,81,30647,79,32981,56,47877,40,62774,32,72211,32,84461,36,79072,53,82675,38,111601,47,93485,38,105018,40,113324
Bitonto,82,30648,80,32882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chioggia,83,30653,72,35189,-1,0,83,38969,-1,0,80,49575,78,47903,-1,0,-1,0,-1,0,-1,0,-1,0
San Severo,84,30060,82,32231,-1,0,-1,0,95,36150,81,48758,-1,0,80,56796,95,53923,-1,0,-1,0,-1,0
Cortona,85,29337,95,29337,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mantova,86,29144,81,32736,73,36706,75,42948,74,46685,71,53885,81,47003,65,72340,97,52573,-1,0,-1,0,-1,0
Ascoli Piceno,87,28972,91,30675,78,32127,88,37037,-1,0,88,44760,87,43386,-1,0,-1,0,-1,0,-1,0,-1,0
Siena,88,28499,58,41740,61,43972,67,47735,86,40053,74,52692,69,51785,75,64046,93,55060,93,57798,-1,0,-1,0
Cuneo,89,27198,96,29220,79,31243,90,36295,-1,0,-1,0,92,41552,78,62621,-1,0,-1,0,-1,0,-1,0
Massa,90,26479,90,30899,77,34278,80,39872,78,44815,78,50494,79,47591,83,55003,82,60821,77,67822,83,66769,80,70973
Chieti,91,26499,-1,0,83,29206,93,34121,103,29769,-1,0,98,40103,-1,0,-1,0,95,57581,-1,0,-1,0
Adrano,92,25986,93,30140,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cascina,93,25965,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
