cityName,city,1904,city.1,1914,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
Tokyo,0,1818755,0,2135671,0,2262866,1,2405353,0,7031961,0,6196890,0,9583054,0,11765378,0,13120135,0,13847018,0,14239883,0,8945695
Osaka,1,1141242,1,1548526,1,1481451,0,2676739,1,4056628,1,4156769,1,6543420,1,9916668,1,11729925,1,12352982,1,12453808,2,2665314
Kyoto,2,380611,2,509457,3,591340,2,952414,3,1089728,3,1105772,4,1284857,4,1419295,5,1473135,8,1461143,8,1467812,6,1474015
Yokohama,3,326026,5,397697,5,422932,5,620313,4,968131,4,951294,3,1375793,3,2238323,3,2773778,3,3220373,3,3426708,1,3688773
Nagoya,4,288616,3,452013,4,430041,3,907470,2,1448148,2,1481880,2,2430095,2,3348828,2,3840540,2,4151209,2,4327461,3,2263894
Kobe,5,285033,4,442270,6,308658,4,787693,5,967216,6,813680,6,1114025,6,1288973,7,1367452,7,1477442,7,1493438,5,1544200
Hiroshima,6,187230,7,295428,7,290945,7,460795,7,589501,8,473554,10,641367,10,824916,9,1258728,6,1510178,6,1526490,10,1173843
Nagasaki,7,153352,9,161236,9,176545,10,204694,12,252693,16,241841,14,344222,16,421112,21,447171,25,444690,32,423270,37,443766
Sapporo,8,134763,8,189857,8,210721,8,313514,8,370464,7,523821,7,759743,7,1265868,4,1668854,4,1932134,4,2097093,4,1913545
Kitakyushu,9,121296,6,391991,2,688923,6,580615,6,858845,5,916208,5,1167103,5,1334466,6,1382712,9,1338395,10,1311992,12,976846
Sendai,10,100202,11,104137,12,119037,13,195437,13,238310,9,470504,8,668265,12,762327,11,966677,10,1221148,9,1377324,11,1045986
Kanazawa,11,99767,10,129898,11,129335,15,157353,19,186307,14,261557,20,299051,23,361449,24,417743,27,442973,26,456413,34,462361
Hakodate,12,85341,12,99886,10,144770,12,197358,15,203922,19,229084,27,243018,46,241710,38,320280,48,307248,60,287664,80,279127
Okayama,13,81067,15,87035,15,94622,16,148783,22,163618,24,205085,24,260804,22,375171,14,545829,14,593731,15,626604,20,709584
Fukuoka,14,71099,13,97336,14,95469,9,228313,9,306895,11,404173,9,647108,9,853321,8,1276547,5,1533743,5,1695231,7,1463743
Wakayama,15,68525,16,77756,18,83598,21,117487,16,195209,21,226419,15,337762,17,418748,20,453391,24,445231,30,432177,54,370364
Sasebo,16,68330,14,94922,17,87191,19,133259,14,206059,25,203550,23,262524,44,247913,58,251238,66,244765,69,240897,87,261101
Tokushima,17,63744,18,70353,21,68557,26,90698,28,119697,44,133372,43,182853,55,223502,59,249334,61,263440,63,268262,86,264548
Kumamoto,18,59709,19,68261,20,70492,14,169175,17,194197,13,286953,13,373909,14,440089,15,525705,15,579387,14,662008,17,734474
Niigata,19,59686,20,66685,16,92140,20,125186,23,150953,20,227251,18,314539,21,383946,19,457883,20,486181,21,501415,15,811901
Kagoshima,20,59001,17,75960,13,103231,18,137238,18,190331,18,229528,21,296029,19,403331,16,505487,16,536855,18,552165,22,605846
Toyama,21,56351,21,64857,29,61811,36,75121,26,127937,35,154572,35,207332,36,269362,41,305197,44,321365,50,325791,39,421953
Fukui,22,50222,23,56275,31,56673,39,66620,37,98073,57,108461,60,149815,62,200588,60,241046,63,252756,66,252333,85,266796
Shizuoka,23,48791,22,64123,19,74139,11,198910,11,280825,10,427581,12,610875,11,812918,12,907562,12,945701,12,953255,19,716197
