cityName,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
Valle de Mexico,0,691502,0,970863,0,1306198,0,1829623,0,2557528,0,3872333,0,6870945,0,8909165,0,10831079,0,15563795,0,18396677,0,20116842
Guadalajara,1,101269,1,119589,1,143463,1,179693,1,229259,1,1401309,1,1580652,1,2448401,1,2840963,1,3058220,1,3800629,1,4671087
Puebla - Tlaxcala,2,93511,2,96164,2,95516,3,114883,3,138560,4,226679,3,288013,4,401623,3,871143,3,1776884,3,2269995,3,2728790
Leon,3,63305,7,57702,8,53696,9,63452,9,74280,7,122705,6,209518,5,365013,4,655809,5,983050,6,1269179,6,1609504
Monterrey,4,62358,3,78580,3,88541,2,132603,2,186131,2,1154112,2,1397100,2,1858159,2,2100216,2,2729358,2,3426352,2,4319672
San Luis Potosi,5,61028,4,68062,6,57427,6,74029,7,77211,6,131782,9,159695,10,230027,15,406630,10,677855,11,872790,11,1065039
Acayucan,6,43853,40,14329,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,81,91323,79,102992,82,112996
Merida,7,43653,5,62439,4,79244,4,95062,4,96929,5,142958,8,170580,12,212931,12,424529,9,688995,10,911097,10,1130759
Guanajuato,8,41596,14,35797,26,19416,38,18134,33,23512,88,23402,69,28157,80,39020,92,83649,70,119170,71,141196,69,171709
Pachuca,9,37567,12,39035,11,40882,13,43060,12,53455,18,58795,31,64641,39,83967,43,205756,38,276512,37,375022,33,512196
Morelia,10,37309,10,40019,17,31140,16,39997,16,44316,15,65058,16,100394,19,162552,20,353055,20,542985,20,679109,20,829625
Aguascalientes,11,35195,9,45276,9,48092,10,62269,5,82285,11,93426,13,126255,14,181370,19,359454,19,547366,17,727582,14,932369
Oaxaca,12,35066,13,38018,20,27881,21,33465,24,29365,29,46674,26,72356,34,99595,35,244563,30,366327,28,508593,29,619367
Queretaro,13,33245,17,33175,18,30129,22,32693,19,33694,26,49429,29,67378,32,113039,17,393226,13,651074,9,911965,9,1232712
Zacatecas - Guadalupe,14,32903,20,25999,36,15546,35,18866,39,21834,80,24326,62,31987,37,89229,88,91660,43,252461,42,341907,46,335947
Orizaba,15,32463,16,35399,13,39614,14,42915,15,47935,21,55506,27,69790,35,92584,38,221074,32,330649,35,383944,39,430121
Durango,16,31140,18,31872,14,39135,20,36302,20,33446,17,59964,17,97339,21,150578,9,501159,27,413835,29,491436,30,582267
Chihuahua,17,30459,11,39792,15,37126,11,45672,11,56885,12,87073,11,149475,9,257094,14,406830,18,551868,19,696495,18,852533
Torreon - Gomez Palacio,18,30066,6,58381,5,71797,5,90099,8,75841,3,231687,5,240846,6,302900,22,346471,6,929270,8,1053743,8,1271493
Veracruz,19,29272,8,48696,7,54278,8,67869,10,71724,9,101272,12,144233,11,214145,26,305456,17,580016,18,708474,19,834256
Puruandiro,20,27779,-1,0,-1,0,-1,0,-1,0,28,47769,-1,0,47,77708,-1,0,-1,0,-1,0,-1,0
Rioverde,21,26131,-1,0,-1,0,-1,0,-1,0,19,58456,-1,0,-1,0,-1,0,68,121212,73,128935,76,135452
Toluca,22,25915,19,31089,16,34389,15,41261,17,43426,22,53556,23,76967,31,114107,5,652022,4,1156444,4,1605571,4,2014091
Celaya,23,25669,23,23109,23,24066,26,24524,27,29510,41,34497,32,58840,44,80084,21,349612,22,480224,25,577992,27,690442
Saltillo,24,24091,15,35481,12,40510,12,45301,13,49412,13,69824,15,115470,20,161116,24,321758,21,486580,21,637273,21,823128
Tuxtla Gutierrez,25,22623,61,10239,58,12596,51,14834,53,15912,66,28253,47,41592,51,68480,34,244801,28,397602,26,565808,24,738261
San Juan del Rio,26,21318,-1,0,-1,0,-1,0,-1,0,52,31249,-1,0,-1,0,-1,0,94,61652,83,99483,-1,0
Colima - Villa de Alvarez,27,20745,21,25131,19,28363,29,21133,35,22659,64,28738,40,44984,56,61085,75,100733,44,247610,40,352356,47,334240
Xalapa,28,20424,22,23698,21,27688,19,36844,18,39580,23,51223,30,66305,26,122407,23,322154,23,461108,24,591053,26,711139
Irapuato,29,19649,25,21579,24,20737,24,29366,21,32482,25,49449,22,83597,29,116789,33,246308,31,362471,31,440134,31,529440
Zapotlanejo,30,18881,-1,0,-1,0,-1,0,-1,0,83,24019,-1,0,101,31819,-1,0,-1,0,-1,0,-1,0
Mazatlan,31,17998,26,21288,22,25367,23,29411,22,32117,34,41830,24,74988,28,119606,32,249988,33,314345,36,380509,37,438434
Ciudad Guzman,32,17649,30,17175,30,16900,33,19354,36,22217,86,23687,63,31035,68,50045,-1,0,89,72619,88,85118,91,97750
Ocotlan,33,17420,35,15881,40,15112,54,14343,62,14367,99,19907,74,25448,83,36205,99,78627,69,121050,69,146184,72,164256
Campeche,34,17158,31,16889,29,16918,30,20127,34,23370,51,31329,42,44457,30,114407,50,166476,56,173645,57,216897,55,259005
Tampico,35,16381,33,16574,10,44842,7,68154,6,81380,10,99463,14,122248,15,180067,18,391534,12,648598,15,746417,16,859419
El Oro de Hidalgo,36,16341,24,21886,42,14844,85,7877,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
San Juan de los Lagos,37,16074,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Lagos de Moreno,38,16032,53,12211,-1,0,-1,0,74,12508,-1,0,82,23312,-1,0,-1,0,92,63646,91,80926,90,98206
Tepic,39,15550,32,16872,48,13834,49,15306,48,17578,77,24695,33,54092,38,87548,45,194242,40,268185,41,342840,40,429351
Silao,40,15410,42,14172,55,12904,57,13910,65,13944,-1,0,78,24199,60,57692,101,77036,-1,0,-1,0,-1,0
Jiquilpan de Jimenez,41,15242,-1,0,-1,0,-1,0,-1,0,91,23084,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Fresnillo,42,15028,86,6021,31,16239,43,16214,30,24605,59,29965,53,36986,74,45407,61,132444,72,114733,85,97023,83,112549
Huamantla,43,14785,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hidalgo del Parral,44,14772,41,14176,39,15263,32,19765,31,24268,48,32198,48,41567,58,58564,97,80290,78,100133,78,106875,84,111814
Matehuala,45,14689,34,16548,45,14439,59,13831,51,16559,101,19740,92,19723,-1,0,-1,0,-1,0,-1,0,-1,0
San Andres Tuxtla,46,14353,62,10157,68,8934,76,8965,87,10289,-1,0,91,19867,-1,0,-1,0,-1,0,-1,0,-1,0
San Cristobal de las Casas,47,14234,45,13745,53,13318,41,16704,-1,0,-1,0,81,23410,-1,0,-1,0,88,73388,-1,0,-1,0
Salamanca,48,13671,47,13507,56,12780,67,12052,77,12100,96,22189,59,32279,52,68034,53,162351,67,123190,72,137000,73,160170
Izucar de Matamoros,49,13057,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Heroica Zamora,50,12737,37,15158,47,13993,52,14697,58,15401,87,23460,61,32097,57,60689,65,119235,54,185445,58,216048,58,250113
Valle de Santiago,51,12702,51,12716,-1,0,-1,0,76,12347,-1,0,86,20948,-1,0,74,101448,-1,0,-1,0,-1,0
Sahuayo,52,12223,-1,0,-1,0,-1,0,84,10590,-1,0,73,25764,-1,0,-1,0,-1,0,-1,0,-1,0
Sombrerete,53,12086,-1,0,-1,0,-1,0,-1,0,63,29152,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sayula,54,12068,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Teziutlan,55,11698,38,15092,52,13372,69,11653,98,8477,-1,0,-1,0,-1,0,-1,0,85,76282,80,102727,78,122595
Juchitan de Zaragoza,56,11576,44,13913,54,13005,53,14501,60,14671,100,19887,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Zacatlan,57,10996,-1,0,-1,0,-1,0,-1,0,60,29864,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
San Francisco del Rincon,58,10903,57,11470,60,11754,68,12038,78,12017,-1,0,88,20886,-1,0,-1,0,73,114034,70,145017,66,182365
Montemorelos,59,10692,-1,0,-1,0,-1,0,-1,0,70,27381,100,18511,-1,0,-1,0,-1,0,-1,0,-1,0
Hermosillo,60,10639,39,14604,43,14733,31,20075,44,18697,32,43517,18,96141,16,176621,11,432611,24,448966,22,609829,22,784342
Rio Grande,61,10572,-1,0,-1,0,-1,0,-1,0,81,24254,-1,0,-1,0,-1,0,96,57993,-1,0,-1,0
San Miguel de Allende,62,10554,-1,0,-1,0,-1,0,-1,0,35,41643,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Villahermosa,63,10552,52,12323,35,15833,48,15405,29,25108,40,35470,35,51625,33,99604,27,294883,26,437567,23,600580,23,755425
Metepec,64,10538,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,83328,-1,0,-1,0,-1,0
Salvatierra,65,10444,60,10268,-1,0,-1,0,-1,0,27,49154,96,19025,-1,0,82,96581,-1,0,-1,0,-1,0
Tehuantepec - Salina Cruz,66,10440,28,18582,49,13820,34,25033,26,28604,57,30390,60,32176,43,80915,71,105284,66,129654,67,152196,71,168618
Culiacan,67,10428,46,13508,32,16073,37,18205,37,22049,24,49997,21,84639,17,168013,7,560011,15,601123,16,745537,17,858638
Ciudad Victoria,68,10188,54,12130,28,17200,39,17745,41,19541,49,31806,36,50742,40,83918,52,162822,51,207903,50,263063,48,321953
Papantla de Olarte,69,10100,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
La Barca,70,10083,-1,0,-1,0,61,13456,67,13495,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
La Piedad Cavadas,71,10068,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tenancingo de Degollado,72,9953,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Uruapan del Progreso,73,9844,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cuernavaca,74,9625,50,12817,74,7111,77,8768,61,19620,56,30668,54,35893,25,134115,16,400247,16,652553,12,884696,12,1022752
Sinaloa de Leyva,75,9567,-1,0,-1,0,-1,0,-1,0,33,42852,-1,0,67,50368,-1,0,-1,0,-1,0,-1,0
Ciudad Jimenez,76,9357,-1,0,-1,0,18,39701,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Comitan de Dominguez,77,9345,63,10094,67,9419,78,8744,96,8780,-1,0,-1,0,-1,0,-1,0,-1,0,96,70311,92,97537
Atlixco,78,9259,27,20023,33,16038,66,12054,49,17010,85,23718,65,30427,76,44592,87,92790,86,74230,90,82840,96,86890
Tulancingo de Bravo,79,9083,66,10072,64,11378,65,12684,72,12685,-1,0,70,26778,82,36855,-1,0,46,222614,47,288275,60,239579
Teocaltiche,80,8962,-1,0,-1,0,-1,0,-1,0,93,22970,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Huauchinango,81,8907,-1,0,-1,0,-1,0,-1,0,76,24876,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tapachula,82,8510,70,9185,63,11538,58,13892,59,15214,58,30067,46,41758,54,66991,58,144684,47,222405,49,271674,49,320451
Acambaro,83,8358,59,10521,38,15305,46,15945,47,17685,92,23082,71,26083,55,62174,78,98266,74,112490,77,110718,85,109030
Amecameca,84,8333,43,14008,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Heroica Matamoros,85,8326,73,9063,73,7411,91,6086,54,15782,30,45806,20,93324,23,137715,36,238840,36,303293,33,418141,35,489193
Juarez,86,8246,58,11015,25,19551,17,39733,14,48959,8,122661,4,261727,3,407468,6,567365,8,798499,7,1218817,7,1332131
Cordoba,87,8111,69,10016,44,14712,42,16261,46,17977,47,32940,38,47420,45,78585,48,179474,45,237706,48,276553,50,316032
Parras,88,8070,85,6542,59,11983,47,15631,57,15607,-1,0,98,18746,-1,0,-1,0,-1,0,-1,0,-1,0
Ameca,89,8035,-1,0,-1,0,63,13086,69,13022,-1,0,-1,0,64,52189,-1,0,97,54477,-1,0,-1,0
La Piedad - Penjamo,90,8012,67,19068,34,15783,56,14140,75,12498,54,31011,77,24323,85,35811,70,105625,50,219004,55,229372,59,249512
Piedras Negras,91,7934,56,11852,46,14282,44,15962,55,15728,68,27609,45,42603,77,43836,96,83030,71,115181,68,151149,68,180734
Ciudad Lerdo,92,7868,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Autlan de Navarro,93,7740,-1,0,-1,0,-1,0,83,10909,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Patzcuaro,94,7611,64,10091,-1,0,-1,0,-1,0,72,25998,-1,0,98,32386,-1,0,-1,0,-1,0,-1,0
Iguala de la Independencia,95,7595,77,8006,-1,0,-1,0,71,12814,-1,0,67,28898,72,47544,94,83522,-1,0,-1,0,-1,0
Dolores Hidalgo,96,7532,79,7029,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Linares,97,7199,75,8428,66,9657,74,9676,38,21845,45,34015,-1,0,-1,0,-1,0,-1,0,98,53680,-1,0
San Pedro Cholula,98,7191,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cananea,-1,0,29,18084,-1,0,-1,0,81,11090,-1,0,90,19929,49,69864,-1,0,-1,0,-1,0,-1,0
Ciudad Madero,-1,0,36,15362,37,15389,27,21714,23,31598,36,41482,34,53576,36,90828,60,136829,61,160331,61,182325,65,197216
Uruapan,-1,0,48,13172,50,13764,40,16708,40,20679,50,31407,39,45602,41,83540,55,153206,52,187673,56,225826,54,264439
San Pedro,-1,0,49,13111,27,18252,62,13204,56,15725,-1,0,72,26046,-1,0,85,94101,-1,0,-1,0,-1,0
Valle Hermoso,-1,0,55,12037,-1,0,-1,0,-1,0,-1,0,95,19363,-1,0,-1,0,-1,0,-1,0,-1,0
Santa Rosalia,-1,0,65,10083,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tehuacan,-1,0,68,10062,65,10776,60,13547,52,16319,89,23255,55,35747,70,48240,66,113474,58,164636,53,240507,52,296899
Coatzacoalcos,-1,0,71,9098,69,8704,83,8311,66,13791,75,25339,52,37008,48,71547,46,188612,39,271825,45,307724,44,347257
Guaymas,-1,0,72,9081,75,7032,80,8530,94,8847,98,21839,57,34832,59,57816,79,98126,55,175109,62,180316,64,203430
Heroica Zitacuaro,-1,0,74,9049,-1,0,36,18670,80,11416,-1,0,80,23418,79,41079,-1,0,-1,0,-1,0,-1,0
Chilpancingo,-1,0,76,8062,78,6082,82,8374,95,8822,94,22891,66,29926,81,36961,77,98935,57,169161,54,233011,53,287875
Tuxpam,-1,0,78,7714,61,11581,71,11567,68,13424,-1,0,83,23299,90,34227,81,97353,-1,0,-1,0,-1,0
Monclova,-1,0,80,7019,57,12637,45,15956,43,18734,42,34209,43,43310,42,81178,47,188556,41,261412,46,302899,45,339462
Ciudad del Carmen,-1,0,81,7011,72,7479,88,7201,99,7752,-1,0,87,20944,86,35465,-1,0,82,83810,76,126020,70,169466
Mexicali,-1,0,82,6821,76,6823,50,14853,42,18820,14,65718,7,172626,8,263574,8,510664,14,601938,14,764602,13,936826
Santa Barbara,-1,0,83,6743,-1,0,-1,0,64,13946,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nuevo Laredo,-1,0,84,6569,41,15025,28,21668,25,28952,20,57765,19,93897,22,148973,41,211584,49,219468,44,310915,41,384033
Acapulco,-1,0,87,5967,77,6537,90,6510,89,10002,65,28586,37,48867,13,181387,13,409335,11,653973,13,791558,15,863431
La Paz,-1,0,88,5516,71,7546,84,8295,85,10449,-1,0,76,24387,71,47690,62,132365,60,160970,60,196907,57,251871
Frontera,-1,0,89,5502,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Progreso,-1,0,90,5502,62,11566,70,11583,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tonala,-1,0,91,5382,80,4880,95,4806,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cocula,-1,0,92,5155,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Alvarado,-1,0,93,4321,79,6060,92,6020,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
San Juan Bautista Tuxtepec,-1,0,94,4072,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,62788,89,84199,88,101810
Taxco de Alarcon,-1,0,95,3085,-1,0,-1,0,-1,0,55,30753,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Heroica Nogales,-1,0,96,3012,51,13404,55,14194,63,13963,79,24570,50,37722,62,53779,-1,0,77,107936,65,159787,61,220292
Tlaxcala - Apizaco,-1,0,97,2848,83,2165,100,2538,88,10029,-1,0,75,25250,-1,0,51,164414,35,303779,34,408401,34,499567
Ensenada,-1,0,98,2274,82,2234,96,4691,32,23749,46,33298,44,42847,46,78175,39,217489,42,259979,39,370730,36,466814
Ciudad Obregon,-1,0,-1,0,70,8514,81,8510,73,12541,53,31048,28,68058,18,166031,29,255845,48,219980,51,250790,51,298630
Manzanillo,-1,0,-1,0,81,3747,98,3751,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
