cityName,city,Pop1840,city.1,Pop1856,city.2,Pop1897,city.3,Pop1926,city.4,Pop1939,city.5,Pop1959,city.6,Pop1970,city.7,Pop1979,city.8,Pop1989,city.9,Pop2002,city.10,Pop2010
Saint-Petersburg,0,545979,0,554266,0,1368812,1,1731240,1,3192284,1,3266874,1,3983679,1,4568107,1,5005419,1,4661219,1,4848742
Moscow,1,353882,1,380500,1,1072171,0,2241631,0,4875457,0,7186148,0,9061219,0,10480741,0,11625098,0,13028998,0,14425208
Riga,2,71228,3,70463,3,282230,7,326023,20,347800,21,581939,27,733694,27,851726,29,934805,30,768947,38,730109
Odesa,3,55000,2,101320,2,403815,5,411416,8,602251,20,675418,17,928928,18,1097449,18,1180221,22,1091342,21,1082099
Vilnius,4,53538,11,45881,11,154532,16,174576,42,209400,62,242853,51,385150,48,499280,45,606831,49,565300,53,571706
Tula,5,51231,9,50641,14,114733,20,152627,25,314780,28,479935,31,652797,31,713263,34,735350,42,658671,45,620830
Astrakhan,6,45703,20,34582,15,112880,14,175400,32,253600,46,295800,48,410500,57,461000,60,509200,59,504501,60,520662
Kazan,7,45343,8,56257,12,129959,15,174700,12,447700,14,775603,13,1006832,16,1148838,17,1268176,15,1281241,16,1313825
Kiiv,8,44683,6,62497,4,247723,2,493873,3,846724,4,1115549,2,1661009,2,2188695,2,2663763,2,2688169,2,2862217
Voronezh,9,43800,18,37664,23,80599,28,116600,19,351100,29,470672,28,711104,28,851677,28,971439,27,942327,27,980581
Chisi0u,10,42636,5,63469,18,108483,32,110899,82,112000,72,216005,61,356382,54,479604,35,727123,40,663671,39,700000
Saratov,11,42371,7,61610,8,157147,11,246000,13,445217,16,689968,20,910441,21,1044421,23,1114710,21,1099126,22,1074596
Sevastopol,12,37630,14,41820,44,54810,66,69594,81,114252,109,148033,93,239109,87,311429,86,368565,92,352466,92,351964
Kaluga,13,35274,24,31027,53,49513,102,49400,112,89400,120,134200,111,210900,110,265000,112,311400,98,334751,105,325185
Berdichiv,14,34052,10,50281,47,53351,99,51436,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
