cityName,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Madrid,0,5019827,0,4709703,0,4507490,0,4245095,0,3304139,0,2808810,0,1618490,0,1153197,1,952817,0,774096,1,596063,0,539805
Barcelona,1,2460258,1,2342531,1,2580750,1,2643002,1,2328442,1,1921584,1,1413744,1,1180835,0,1060275,1,739828,0,616344,1,539145
Valencia,2,1559084,2,1423124,2,1395112,2,1324945,2,1132964,2,1095214,2,709142,2,450884,2,520276,2,451390,2,333304,2,215791
Sevilla,3,899792,3,786621,3,813310,3,748942,3,611664,3,542790,3,402015,3,312200,3,228706,3,205508,3,155423,3,147313
Zaragoza,4,678115,4,614905,4,594394,4,571855,4,469478,4,422460,5,264316,5,205844,5,174097,5,141431,6,105810,7,98141
Malaga,5,561435,5,524414,5,522108,6,483847,6,361237,6,325080,4,276253,4,208307,4,188049,4,150608,4,133084,4,131144
Murcia,6,437667,7,370745,9,328184,10,284585,8,243782,8,219330,7,218444,26,60109,7,158750,6,141224,5,125096,5,111777
Bilbao,7,431608,6,432227,6,449793,5,484792,5,406000,5,365310,6,229339,6,183205,6,162096,7,112839,8,92580,8,82033
Palma de Mallorca,8,402044,9,333801,11,296754,9,290372,11,217578,11,195750,12,136822,11,97028,12,88400,10,77442,11,68468,13,63959
Palmas de Gran Canaria,9,381271,8,354863,7,354877,7,360098,7,263474,7,237060,10,153367,10,97990,15,78316,17,66545,17,53878,21,44516
Alicante,10,329325,12,284580,13,265473,15,245963,16,181689,16,163440,20,104256,16,83117,20,73111,19,63919,21,51216,17,50564
Cordoba,11,328326,11,308072,10,302154,11,279386,10,232326,10,209070,8,165455,8,116089,9,103130,14,73729,15,65201,15,56104
Valladolid,12,311682,10,316580,8,330717,8,320293,9,234054,9,210616,14,124215,9,111386,11,91135,11,76825,12,67749,10,71069
Vigo,13,295623,13,280186,12,276109,12,261331,12,198859,12,178920,11,137983,45,44300,22,65004,24,53161,25,41587,56,23173
Gijon,14,276969,14,266419,14,259067,13,256433,15,184795,15,166230,17,111043,18,72114,16,78275,23,57647,20,52248,20,46869
