,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Tokyo,0,8945695,0,14239883,0,13847018,0,13120135,0,11765378,0,9583054,0,6196890,0,7031961,1,2405353,0,2262866,0,2135671,0,1818755
Yokohama,1,3688773,3,3426708,3,3220373,3,2773778,3,2238323,3,1375793,4,951294,4,968131,5,620313,5,422932,5,397697,3,326026
Osaka,2,2665314,1,12453808,1,12352982,1,11729925,1,9916668,1,6543420,1,4156769,1,4056628,0,2676739,1,1481451,1,1548526,1,1141242
Nagoya,3,2263894,2,4327461,2,4151209,2,3840540,2,3348828,2,2430095,2,1481880,2,1448148,3,907470,4,430041,3,452013,4,288616
Sapporo,4,1913545,4,2097093,4,1932134,4,1668854,7,1265868,7,759743,7,523821,8,370464,8,313514,8,210721,8,189857,8,134763
Kobe,5,1544200,7,1493438,7,1477442,7,1367452,6,1288973,6,1114025,6,813680,5,967216,4,787693,6,308658,4,442270,5,285033
Kyoto,6,1474015,8,1467812,8,1461143,5,1473135,4,1419295,4,1284857,3,1105772,3,1089728,2,952414,3,591340,2,509457,2,380611
Fukuoka,7,1463743,5,1695231,5,1533743,8,1276547,9,853321,9,647108,11,404173,9,306895,9,228313,14,95469,13,97336,14,71099
Kawasaki,8,1425512,11,1249954,11,1173698,10,1040848,8,973594,11,633027,12,319275,10,300706,24,104460,56,37014,-1,0,-1,0
Saitama (Urawa-Omiya-Yono-Iwatsuki),9,1222434,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hiroshima,10,1173843,6,1526490,6,1510178,9,1258728,10,824916,10,641367,8,473554,7,589501,7,460795,7,290945,7,295428,6,187230
Sendai,11,1045986,9,1377324,10,1221148,11,966677,12,762327,8,668265,9,470504,13,238310,13,195437,12,119037,11,104137,10,100202
Kitakyushu,12,976846,10,1311992,9,1338395,6,1382712,5,1334466,5,1167103,5,916208,6,858845,6,580615,2,688923,6,391991,9,121296
Chiba,13,961749,13,887224,13,829524,13,746419,13,482155,28,241646,38,150053,40,92199,-1,0,-1,0,-1,0,-1,0
Sakai,14,841966,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Niigata,15,811901,21,501415,20,486181,19,457883,21,383946,18,314539,20,227251,23,150953,20,125186,16,92140,20,66685,19,59686
Hamamatsu,16,800866,17,582192,17,534618,17,490811,15,432281,16,333054,22,215789,21,166310,22,109518,24,64736,37,43044,-1,0
Kumamoto,17,734474,14,662008,15,579387,15,525705,14,440089,13,373909,13,286953,17,194197,14,169175,20,70492,19,68261,18,59709
Sagamihara,18,717515,16,605637,19,531544,23,439335,32,278398,89,101791,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Shizuoka,19,716197,12,953255,12,945701,12,907562,11,812918,12,610875,10,427581,11,280825,11,198910,19,74139,22,64123,23,48791
Okayama,20,709584,15,626604,14,593731,14,545829,22,375171,24,260804,24,205085,22,163618,16,148783,15,94622,15,87035,13,81067
Funabashi,21,609040,19,550185,18,533355,18,479438,26,325431,69,135052,60,100395,83,50919,-1,0,-1,0,-1,0,-1,0
Kagoshima,22,605846,18,552165,16,536855,16,505487,19,403331,21,296029,18,229528,18,190331,18,137238,13,103231,17,75960,20,59001
Hachiōji,23,580053,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kawaguchi,24,561506,25,460073,28,438774,30,379436,28,305987,46,170165,51,118972,38,97148,-1,0,-1,0,-1,0,-1,0
Himeji,25,536270,22,478332,23,454484,22,446315,18,408405,17,328766,17,229741,33,104350,43,62259,42,45799,41,40382,32,36582
Matsuyama,26,517231,23,473462,26,443386,27,401792,27,322969,30,238672,28,174564,29,117596,30,82543,35,51370,33,45272,29,37885
Utsunomiya,27,511739,28,443843,30,426816,31,377756,29,301262,29,239067,32,157350,42,87965,32,81413,26,63884,26,54017,36,36030
Higashiōsaka,28,509533,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Matsudo,29,484457,24,464886,22,456212,28,400927,42,253627,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nishinomiya,30,482640,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kurashiki,31,475513,31,430316,31,414725,26,403899,24,339854,26,252396,26,199253,-1,0,-1,0,-1,0,-1,0,-1,0
Ōita,32,474094,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ichikawa,33,473919,27,448665,29,436683,32,364211,38,261139,56,157356,59,102587,72,58149,-1,0,-1,0,-1,0,-1,0
Kanazawa,34,462361,26,456413,27,442973,24,417743,23,361449,20,299051,14,261557,19,186307,15,157353,11,129335,10,129898,11,99767
Fukuyama,35,461357,35,378838,34,365694,35,346002,41,255107,65,140650,-1,0,74,56753,-1,0,-1,0,-1,0,-1,0
Amagasaki,36,453748,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nagasaki,37,443766,32,423270,25,444690,21,447171,16,421112,14,344222,16,241841,12,252693,10,204694,9,176545,9,161236,7,153352
Machida,38,427016,36,377597,38,349126,47,295496,61,202830,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Toyama,39,421953,50,325791,44,321365,41,305197,36,269362,35,207332,35,154572,26,127937,36,75121,29,61811,21,64857,21,56351
Toyota,40,421487,42,351130,42,332351,51,281646,63,197294,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Takamatsu,41,419429,45,332996,43,329792,39,316752,34,274433,31,228287,47,124677,30,111224,33,79907,41,46618,38,41825,30,37404
Yokosuka,42,418325,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Gifu,43,413136,33,402885,32,410304,25,410456,20,385709,19,304530,23,214031,20,172353,23,107527,27,62750,28,51688,27,40236
Fujisawa,44,409657,34,379284,37,350378,44,300267,52,229069,74,124698,76,84686,-1,0,-1,0,-1,0,-1,0,-1,0
Hirakata,45,407978,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kashiwa,46,404012,49,327915,50,305137,61,239291,85,150688,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Miyazaki,47,400583,54,305870,56,287487,53,264986,60,202982,54,158396,46,125685,61,66508,47,58901,-1,0,-1,0,-1,0
Toyonaka,48,389341,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nagano,49,381511,39,360190,39,347025,37,324494,31,285431,51,160567,41,143580,52,76980,37,73926,55,37356,39,41144,31,37272
Ichinomiya,50,378566,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Toyohashi,51,376665,37,364951,41,338034,42,304345,40,258530,33,215527,40,145942,24,142759,17,138863,23,65216,25,54742,-1,0
Okazaki,52,372357,43,336694,49,306851,55,262482,56,210555,48,166133,65,96069,47,84155,41,65507,52,38537,-1,0,-1,0
Takasaki,53,371302,70,239902,68,236566,68,221471,68,193127,64,142274,62,97941,56,71045,46,59991,57,36886,34,44146,38,35259
Wakayama,54,370364,30,432177,24,445231,20,453391,17,418748,15,337762,21,226419,16,195209,21,117487,18,83598,16,77756,15,68525
Nara,55,366591,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Takatsuki,56,357359,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Suita,57,355798,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Asahikawa,58,347095,40,359525,35,359133,34,352694,30,288550,42,188374,45,126124,43,87519,29,82577,30,61398,-1,0,-1,0
Kōchi,59,343393,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kawagoe,60,342670,46,330845,51,304921,56,259327,72,171016,84,107574,-1,0,99,38432,-1,0,-1,0,-1,0,-1,0
Iwaki,61,342249,38,360102,36,355808,36,342197,25,327228,25,260198,27,188967,-1,0,-1,0,-1,0,-1,0,-1,0
Tokorozawa,62,341924,48,330196,53,303091,64,236521,90,136679,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
