,city,1900,city.1,1911,city.2,1921,city.3,1931,city.4,1940,city.5,1950,city.6,1961,city.7,1971,city.8,1981,city.9,1991,city.10,2001,city.11,2010
London,0,6339547,0,7251493,0,7480215,0,8203942,0,8655040,0,8348056,0,7992388,0,7452377,0,7566680,0,6679735,0,7187366,0,8173932
Glasgow,1,861768,1,884576,1,1006216,1,1017371,1,1131828,2,1256998,2,1133862,2,1083265,2,927392,2,1298374,3,1581250,2,1622080
Liverpool,2,702237,2,746418,3,802996,3,855761,3,827464,3,788780,3,745817,3,603228,3,538838,6,452595,6,458064,7,467995
Manchester,3,2357150,3,2617598,4,2660088,4,2707070,4,2693775,4,2688987,4,2699711,4,2729741,6,2575441,7,2569750,8,2482352,1,2682544
Birmingham,4,522282,4,525896,2,922278,2,1002648,2,1041020,1,1112757,1,1107232,1,1013483,1,1014012,1,961097,1,1013277,3,1020589
Leeds,5,429031,6,445612,6,458262,6,482853,6,494015,6,505259,5,510749,6,501177,5,445266,3,680706,2,726891,4,726939
Sheffield,6,409159,5,454665,5,490683,5,511819,5,520099,5,512978,6,494347,5,516100,4,470716,4,501245,4,530618,5,530375
Belfast,7,349236,7,386912,8,415289,8,415300,8,438194,-1,0,9,399368,10,360273,15,297910,18,284417,15,297271,15,297396
Bristol,8,329445,8,357068,9,377036,9,397064,9,415596,8,442378,8,437035,8,426203,7,413955,9,339624,9,405231,9,399633
Edinburgh,9,304864,9,320345,7,420345,7,434045,7,475530,7,466877,7,468445,7,453402,8,408837,8,404005,7,450252,8,448850
Bradford,10,279869,10,288520,10,291059,11,298008,12,288711,11,292450,15,295975,16,294516,16,293369,5,457357,5,483760,6,483422
Hull,11,240316,11,278026,11,287265,10,313521,10,318722,10,299186,14,303366,17,284753,11,322113,22,266907,24,257926,22,266775
Nottingham,12,239757,13,259909,13,262653,14,268820,13,278318,9,306113,13,311906,15,296838,17,273354,19,284022,21,284374,20,283969
Newcastle-upon-Tyne,13,215311,12,266635,12,275030,12,283222,11,291323,12,291731,18,269743,23,221432,24,199107,23,259586,22,273047,21,282338
Stoke-on-Trent,14,214748,14,234538,15,240420,13,276690,14,272057,14,275135,19,265343,21,263687,18,272418,26,254326,27,250837,26,254438
Leicester,15,211608,16,227214,16,234122,16,239243,15,263344,13,285214,17,273565,18,282089,10,324449,21,270502,16,290907,16,294830
Portsmouth,16,188171,15,231109,14,247314,15,252460,16,258447,17,233524,21,215164,28,204335,32,174264,39,190430,44,186750,39,190370
Cardiff,17,164382,17,182338,18,200264,17,223699,17,223173,16,243628,20,256308,19,276810,20,262329,20,272616,11,324423,12,315040
Dundee,18,161214,18,165087,19,168326,21,175654,23,179037,22,177392,29,183015,33,182186,35,172343,51,161078,64,146788,64,150250
Sunderland,19,146171,21,151277,22,159162,19,185872,20,182429,20,181582,26,189781,25,215734,26,195124,15,289093,17,290792,17,294261
Blackburn,20,129298,22,133107,30,126664,32,122735,39,113045,40,111291,52,106245,59,101163,59,109615,-1,0,77,108726,75,117970
Brighton,21,123529,23,131236,26,142460,26,147410,25,146583,25,156513,32,163225,38,163953,48,134693,67,132063,58,155906,57,156124
Aberdeen,22,114903,19,163995,23,159027,22,167361,21,180852,19,182719,27,185451,34,182038,29,186892,31,218280,33,213174,31,217260
Derby,23,114878,25,123418,28,129840,27,142490,29,139058,31,141359,39,132494,24,219379,22,218007,29,235277,29,236473,28,233708
Rhondda,24,113785,20,152863,20,162720,28,141355,37,121939,39,111449,57,100363,72,89022,-1,0,-1,0,-1,0,-1,0
Preston,25,113073,28,117113,35,118609,35,119062,38,113259,35,119374,47,113350,64,96823,37,166728,70,126122,88,87524,73,122779
Norwich,26,111769,26,121547,33,121334,31,126254,35,122318,34,121264,42,120197,51,120702,36,169840,72,120987,48,173858,41,186623
Birkenhead,27,110995,24,130815,25,145625,25,147805,27,144474,30,142578,38,141807,44,138130,64,99123,60,150160,68,138225,68,143093
Gateshead,28,109975,29,116925,31,125158,33,122408,34,124533,36,115087,55,103323,67,94772,71,91427,36,199660,43,191061,34,200968
Plymouth,29,107638,31,112001,17,210075,18,208288,19,211847,18,209085,24,204463,22,246953,21,238645,25,255876,26,253299,24,255826
Halifax,30,104969,37,101626,41,99621,43,98160,45,97432,50,98409,59,96165,69,91053,96,76788,-1,0,94,83440,91,88134
Southampton,31,104850,27,119022,21,161030,20,176005,22,180135,21,178357,23,204822,26,213615,23,211341,32,214953,32,215321,32,214859
South Shields,32,100967,32,108660,34,120739,37,113533,40,110472,43,106680,48,109598,60,100245,82,86556,-1,0,-1,0,-1,0
Burnley,33,97048,34,106357,38,106049,42,98370,54,88738,55,85058,74,80641,89,76157,98,76415,88,91184,93,84112,-1,0
Huddersfield,34,95002,33,107834,36,117495,38,113594,32,125636,33,129010,41,130730,46,130695,45,147846,71,122060,63,147364,52,163038
Swansea,35,94536,30,114742,24,157626,24,164805,24,161104,24,161086,30,166726,36,171375,34,172415,41,182193,30,229832,29,230180
Wolverhampton,36,94257,39,95368,32,123364,30,133250,26,145343,23,162704,37,150818,20,268475,19,263548,28,242221,28,240986,27,244453
Middlesbrough,37,91345,36,104847,27,131111,29,138395,28,139807,27,147352,33,157436,9,395521,40,158223,61,144589,47,175130,65,146778
Northampton,38,87071,41,90125,46,91899,47,92354,46,96532,47,104489,53,105449,48,126330,42,154211,43,180686,38,194450,38,192382
Walsall,39,86486,40,92115,42,99169,40,103199,41,107364,37,114556,44,118577,32,184441,31,177930,24,259577,23,261130,23,262593
Hartlepool,40,85432,64,63951,63,68763,65,68189,55,88575,71,72752,77,77057,63,97195,69,91746,86,92094,90,86030,89,92047
Saint Helens,41,84407,38,96618,39,103251,39,106873,42,107297,41,110365,49,108779,58,104129,56,114471,45,178857,46,176856,44,179483
Oldbury and Smethwick,42,79749,58,70762,51,82476,52,84406,33,125176,32,130314,-1,0,39,163357,44,153333,-1,0,-1,0,-1,0
Paisley,43,79481,43,84597,48,89440,50,86406,51,92786,53,93724,62,95894,66,95356,85,84342,-1,0,-1,0,-1,0
York,44,77971,45,82335,49,84892,51,84850,43,100830,45,105489,54,104423,57,105264,52,123187,77,101076,70,136674,46,175095
Leith,45,77495,49,80558,-1,0,-1,0,63,76085,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Aston Manor,46,77341,54,75078,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Govan,47,76437,42,89647,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Reading,48,72269,52,75214,44,92450,45,97175,44,100409,38,114284,43,119917,45,133463,27,194783,62,142930,35,206094,69,142851
Devonport,49,70425,46,81750,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Coventry,50,70014,35,106395,29,128233,23,167122,18,213083,15,258212,10,395537,12,333022,12,318793,17,284423,14,303908,14,306503
Merthyr Tydfil,51,69263,48,81032,53,81185,61,71174,83,62341,92,61199,98,59043,-1,0,-1,0,-1,0,-1,0,-1,0
Greenock,52,68172,53,75186,52,82142,56,78949,57,81796,65,76393,81,74610,-1,0,-1,0,-1,0,-1,0,-1,0
Newport,53,67345,44,83712,43,96993,48,89208,47,95949,44,105595,50,108143,52,111826,55,115995,69,129909,74,120617,72,128078
Ipswich,54,66684,56,73919,54,80112,49,87547,48,95122,46,104862,45,117418,50,122730,49,129778,68,130150,71,127820,67,145003
Hastings,55,65583,68,61104,66,67313,71,65277,80,64383,88,65508,91,66544,96,72824,-1,0,-1,0,91,85830,-1,0
West Bromwich,56,65251,62,68301,58,76508,53,81379,56,82799,54,88081,60,96064,37,166631,43,153735,63,140069,69,136987,70,137078
Warrington,57,64289,57,72203,55,79484,55,79340,60,78189,63,80724,78,76029,-1,0,87,81444,40,187031,42,191250,40,189012
Grimsby,58,63154,55,74675,50,84089,46,92507,52,92316,52,94479,58,96711,65,95640,70,91571,-1,0,-1,0,90,88243
Hanley,59,61607,-1,0,-1,0,-1,0,61,77856,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bournemouth,60,59837,50,78752,45,92362,36,116856,36,122125,29,144722,34,154305,43,149056,47,142867,54,155592,52,167785,53,160749
Bootle,61,58628,59,69911,57,76675,58,76873,65,74171,68,75055,69,82870,91,74339,-1,0,-1,0,-1,0,-1,0
Barrow-in-Furness,62,57671,65,63830,59,75127,68,66216,76,66995,83,67591,93,64914,-1,0,-1,0,-1,0,-1,0,-1,0
King's Norton and Northfield,63,57160,47,81294,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rotherham,64,54361,67,62573,64,68636,62,69745,62,76486,59,82391,67,85599,80,84509,54,122427,27,251699,25,253745,25,255342
Partick,65,54371,63,66828,60,74282,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Wallasey,66,53678,51,78539,47,90920,44,97655,49,94255,48,101411,56,103267,62,97569,-1,0,-1,0,-1,0,-1,0
Handsworth,67,52999,61,68641,-1,0,-1,0,66,72674,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Stockton-on-Tees,68,51588,70,58561,69,65839,66,67796,75,67369,69,74211,71,81325,-1,0,81,86753,44,179020,41,191621,45,179009
Tynemouth,69,51426,69,58857,70,64185,72,64929,77,66507,85,66658,88,70155,-1,0,-1,0,-1,0,-1,0,-1,0
Great Yarmouth,70,51311,73,55944,73,61298,83,56874,95,53879,-1,0,-1,0,-1,0,-1,0,90,87776,87,90922,86,97263
Jarrow,71,50983,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Burton upon Trent,72,50475,91,48330,87,51400,90,49513,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bath,73,49822,84,50733,62,68907,63,68824,74,68351,64,79303,72,80956,78,85661,86,84357,48,164716,50,170282,49,164725
Cheltenham,74,49448,88,48961,89,48822,91,49480,99,51972,89,62821,85,72300,90,75555,78,87266,75,103110,76,110386,77,116433
Oxford,75,49393,77,53013,65,68078,54,80580,50,94109,49,98746,51,106311,53,110683,57,113898,65,134843,67,142492,54,160012
Lincoln,76,48885,72,57318,67,66581,69,66241,82,63122,75,69405,76,77168,93,74168,92,80072,-1,0,-1,0,-1,0
Dudley,77,48757,81,51200,78,56890,78,59608,84,61631,90,62529,94,63057,31,185497,30,186550,12,304683,13,311975,13,312194
Southport,78,48173,60,69668,56,76888,57,78996,58,78632,57,84066,70,82088,79,84960,74,88626,-1,0,-1,0,-1,0
Gloucester,79,48085,86,50056,86,52763,87,52951,93,56567,84,67351,89,69852,71,90028,61,106512,76,101605,73,123687,71,136400
Blackpool,80,47358,71,58427,40,102629,41,101674,31,125810,28,147278,35,153268,42,149894,46,146338,59,151259,62,148335,63,152459
Exeter,81,47202,89,48794,74,60733,70,66013,70,69276,67,75510,75,80390,68,93822,75,88284,81,98197,79,107500,79,111770
Worcester,82,46656,92,48082,88,48936,89,50574,96,53346,94,59766,92,65963,94,73077,-1,0,89,89568,-1,0,87,97066
Carlisle,83,45521,93,46044,85,52945,81,57302,87,60221,82,67962,87,71111,99,71838,-1,0,-1,0,-1,0,-1,0
Swindon,84,45029,82,50872,77,57191,76,62452,86,60642,77,68936,65,91767,70,90716,50,127389,46,177161,45,180185,42,182433
