,2010,2000,c1990,c1980,c1970,c1960,c1950,c1940,c1930,c1920,c1910
0,38,17,23,7,~,1,1,10,3,9,2
1,211,80,114,21,30,25,14,7,18,8,3
2,28,23,24,0,6,1,5,10,7,4,6
3,0,0,0,0,0,304,44,37,34,46,16
4,76,75,111,31,55,57,31,29,2,19,7
5,110,72,62,13,49,61,30,3,34,23,3
6,19,17,6,1,7,3,2,13,6,4,0
7,81,67,43,9,60,43,11,20,19,22,15
8,0,87,98,37,64,71,21,25,26,10,6
9,100,0,0,0,0,0,118,41,24,14,5
10,0,0,0,0,0,0,0,10,23,31,5
11,103,58,41,33,18,1,163,7,11,15,11
12,38,34,15,6,10,11,56,4,4,6,3
13,21,21,25,0,22,4,3,5,6,7,3
14,100,0,0,0,50,40,35,37,34,41,20
15,44,30,22,5,22,25,14,4,12,12,10
16,174,45,53,8,56,27,10,2,16,19,38
17,0,0,0,22,32,50,19,30,25,36,35
18,63,113,57,3,13,9,9,20,14,7,24
19,0,97,31,5,34,111,16,31,21,9,15
20,28,23,55,15,35,25,25,3,5,6,0
21,0,0,0,55,52,33,21,12,11,7,5
22,9,31,9,6,10,1,3,13,6,11,4
23,19,11,4,1,3,12,8,12,2,2,4
24,193,32,15,0,26,19,4,6,4,9,8
25,18,32,11,36,20,4,0,15,4,5,5
26,36,7,30,8,4,1,162,6,6,11,5
27,59,20,12,11,28,18,4,4,5,18,8
28,9,4,30,3,15,5,7,17,9,4,133
29,31,22,26,1,8,16,3,11,1,4,0
30,129,24,16,1,22,0,2,3,18,20,10
31,0,0,0,0,0,0,0,0,56,85,22
32,0,42,103,10,19,33,13,10,10,13,14
33,0,0,0,0,0,0,21,36,15,16,21
34,0,0,0,0,0,0,23,25,22,20,6
35,98,38,73,16,40,60,40,17,34,12,16
36,0,0,0,0,0,0,24,30,62,20,15
37,52,47,42,12,29,39,32,8,33,10,14
38,0,0,0,0,15,52,37,4,19,7,0
39,51,30,23,0,14,4,6,11,2,1,4
40,0,0,0,0,0,0,0,0,0,37,10
41,72,29,34,11,9,47,1,14,7,5,0
42,100,0,0,0,0,0,0,0,30,28,15
43,20,54,11,4,12,23,11,9,6,16,4
44,0,0,0,0,0,0,0,0,0,32,46
45,46,42,13,2,4,4,14,23,11,5,17
46,0,0,95,0,28,43,26,8,1,6,0
47,32,59,65,30,38,18,10,12,0,1,5
48,124,43,31,6,27,4,1,6,9,7,2
49,48,26,22,6,5,7,10,14,0,3,0
50,112,37,53,3,46,51,8,1,8,13,11
51,0,0,0,0,0,6,0,8,63,27,9
52,0,0,0,0,0,0,0,0,0,41,40
53,18,14,18,7,15,10,5,5,10,2,29
54,0,0,0,0,0,0,0,31,21,23,2
55,0,36,95,7,14,120,0,2,3,8,10
56,100,0,0,0,0,0,0,0,39,24,17
57,0,0,0,0,0,0,0,30,43,15,4
58,19,12,6,0,4,12,17,27,12,12,8
59,34,65,10,14,0,10,13,18,12,9,8
60,0,0,0,0,0,54,21,13,10,7,9
61,11,10,12,0,10,0,9,14,5,8,10
62,33,100,0,0,0,0,0,0,10,15,13
63,0,0,0,0,0,0,0,0,29,15,12
64,0,0,0,0,0,0,0,0,0,15,19
65,27,44,19,2,7,4,20,7,6,5,8
66,31,9,15,5,8,0,1,12,0,5,0
67,41,19,6,2,2,7,5,13,16,0,1
68,0,0,0,0,0,0,20,7,17,21,20
69,20,19,13,0,0,8,13,22,8,10,10
70,9,24,38,8,20,29,16,14,11,17,14
71,41,35,32,3,12,21,9,2,0,18,23
72,29,11,6,4,0,7,5,14,2,5,3
73,0,0,0,0,0,0,19,10,0,4,1
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,36,1,12,8,12
79,0,0,55,5,100,0,0,0,0,0,0
80,0,0,0,0,0,0,15,16,6,7,14
81,0,0,0,0,0,21,8,32,0,3,0
82,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,100,0,0,0,0,21,3
84,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,17,5
86,0,0,0,0,0,0,0,0,0,0,10
87,49,34,6,5,19,4,13,12,7,2,3
88,244,34,45,3,21,4,11,5,6,8,100
89,21,40,4,13,77,22,100,0,0,0,100
90,0,0,0,0,0,0,0,0,0,20,100
91,34,35,10,0,2,4,7,18,4,5,100
92,61,201,22,3,12,5,5,13,6,2,100
93,0,0,0,0,0,0,0,0,0,0,100
94,25,100,0,18,36,26,100,0,5,7,100
95,0,0,0,28,29,29,10,13,4,0,100
96,3,28,100,0,0,0,0,0,0,0,100
97,33,18,12,15,63,51,2,5,2,1,100
98,39,46,12,12,11,17,3,4,1,2,100
99,28,22,22,2,7,0,11,8,4,4,100
100,66,25,34,5,7,24,7,4,3,4,100
101,183,0,10,5,32,12,6,0,3,10,100
102,121,15,10,2,31,2,4,2,11,9,100
103,0,0,0,0,0,46,6,31,3,100,0
104,36,30,31,4,15,7,7,20,5,100,0
105,0,0,0,0,0,0,0,0,6,100,0
106,19,41,25,7,16,100,0,0,10,100,0
107,11,114,35,5,11,100,0,0,100,0,0
108,26,25,21,1,7,2,8,13,100,0,0
109,47,29,107,7,2,0,100,0,100,0,0
110,73,27,18,6,21,4,7,7,100,0,0
111,23,23,8,0,5,8,5,8,100,0,0
112,0,0,0,0,0,0,0,10,100,0,0
113,0,137,70,3,7,20,1,17,100,0,0
114,27,5,6,0,1,16,13,12,100,0,0
115,0,0,81,11,19,33,1,100,0,0,0
116,43,45,15,0,8,7,6,100,0,0,0
117,23,39,18,1,6,8,2,100,0,0,0
118,43,40,2,0,7,1,0,100,0,0,0
119,46,44,30,1,100,0,16,100,0,0,0
120,19,8,1,0,0,3,0,100,0,0,0
121,75,67,28,1,0,0,15,100,0,0,0
122,0,0,0,0,0,0,0,100,0,0,0
123,17,22,19,5,32,9,1,100,0,0,0
124,23,21,0,1,2,7,100,0,0,0,0
125,20,27,2,12,24,24,100,0,0,0,0
126,26,40,24,0,11,5,100,0,0,0,0
127,0,0,0,0,0,0,100,0,0,0,0
128,49,32,46,2,14,14,100,0,0,0,0
129,6,12,12,2,3,3,100,0,0,0,0
130,14,4,3,2,8,100,0,0,0,0,0
131,0,38,46,4,33,100,0,0,0,0,0
132,40,30,19,4,2,100,0,0,0,0,0
133,19,13,38,0,6,100,0,0,0,0,0
134,14,26,3,5,1,100,0,0,0,0,0
135,46,41,25,4,10,100,0,0,0,0,0
136,0,0,0,7,27,100,0,0,0,0,0
137,60,59,25,8,0,100,0,0,0,0,0
138,11,6,11,1,100,0,0,0,0,0,0
139,0,0,36,0,100,0,0,0,0,0,0
140,22,11,2,100,0,0,0,0,0,0,0
141,62,45,36,100,0,0,0,0,0,0,0
142,33,31,100,0,0,0,0,0,0,0,0
143,0,0,100,0,0,0,0,0,0,0,0
144,74,30,100,0,0,0,0,0,0,0,0
145,30,14,100,0,0,0,0,0,0,0,0
146,47,100,0,0,0,0,0,0,0,0,0
147,17,100,0,0,0,0,0,0,0,0,0
148,100,0,0,0,0,0,0,0,0,0,0
149,100,0,0,0,0,0,0,0,0,0,0
