,city,c1900,city.1,c1910,city.2,c1920,city.3,c1930,city.4,c1940,city.5,c1950,city.6,c1960,city.7,c1970,city.8,c1980,city.9,c1990,city.10,2000,city.11,2010
New York,0,3437242,0,4766918,0,5620054,0,6930463,0,7455090,0,7892084,0,7782013,0,7894917,0,7071669,0,7322660,0,8008330,0,8175133
Chicago,1,1698659,1,2185321,1,2701746,1,3376426,1,3396822,1,3621086,1,3550492,1,3367023,1,3005184,2,2783750,2,2896048,2,2695598
Philadelphia,2,1293800,2,1549047,2,1823832,2,1951013,2,1931395,2,2071684,3,2002572,3,1948661,3,1688297,4,1585676,4,1517677,4,1526006
Saint Louis,3,575231,3,687057,5,772908,6,822014,7,816076,7,856843,9,750038,17,622283,25,452876,33,396789,48,348296,59,319294
Boston,4,560966,4,670639,6,748151,8,781218,8,770859,9,801405,12,697248,15,641167,20,563007,19,574312,19,589189,22,617594
Baltimore,5,509012,6,558596,7,733864,7,804951,6,859152,5,949765,5,939079,6,905868,9,786719,12,736052,16,651214,28,620961
Cleveland,6,381886,5,560767,4,796846,5,900454,5,878350,6,914804,7,876115,9,750991,17,573823,23,505602,31,478494,50,396815
Buffalo,7,352470,8,423789,10,506892,12,573177,13,575944,14,580198,19,532810,27,462811,38,357950,49,328123,57,292614,77,261310
San Francisco,8,342801,9,416967,11,506779,9,634437,11,634584,10,775475,11,740325,12,715741,12,679090,13,724086,12,776795,12,805235
Cincinnati,9,325929,11,363635,15,401225,16,451251,16,455637,17,504005,20,502638,28,452573,31,385435,44,364061,53,331314,65,296943
New Orleans,10,287181,13,339121,16,387264,15,458825,14,494583,15,570455,14,627530,18,593570,21,557960,24,496921,30,484752,48,343829
Detroit,11,285702,7,465842,3,993733,3,1568793,3,1623568,4,1849641,4,1670128,4,1511598,5,1203483,6,1028037,9,951348,20,713777
Milwaukee,12,285315,10,373998,12,457187,11,578219,12,587522,12,637464,10,741315,11,717111,15,636305,16,628157,18,597052,30,594833
Washington,13,278794,14,331132,13,437624,13,486957,10,663116,8,802224,8,764064,8,756570,14,638493,18,606937,20,572104,21,601723
Newark,14,246185,12,347591,14,414518,17,442321,17,429833,20,438863,29,405249,35,382491,45,329232,55,275257,62,273530,69,277140
Pittsburgh,15,238645,15,321686,9,533953,10,588340,9,671780,11,676815,15,604313,23,520135,29,424049,39,369922,51,334647,62,305704
Jersey City,16,206472,18,267899,21,298115,22,316725,29,301230,36,299005,45,276106,53,260523,60,223587,66,228581,71,240170,74,247597
Louisville,17,204712,23,223951,28,234958,23,307787,24,319112,29,369200,30,390678,38,361577,48,298749,57,269127,65,256249,29,597337
Minneapolis,18,202764,17,301418,17,380664,14,464468,15,492479,16,521778,24,482971,31,434469,33,371032,41,368452,44,382668,45,382578
Providence,19,175604,22,224349,26,237692,36,253057,36,253581,41,248706,55,207534,70,179243,98,156966,-1,0,-1,0,-1,0
Indianapolis,20,169240,21,233742,20,314231,20,364220,19,387016,22,427256,25,476354,10,744697,11,711599,11,742067,11,791991,13,820445
Kansas City,21,163873,19,248462,18,324459,18,399792,18,399282,19,456612,26,475547,25,507150,26,448082,30,435168,35,441560,35,459787
Saint Paul,22,163175,25,214728,29,234755,30,271674,32,287794,34,311335,38,313443,45,310008,53,270255,56,272281,58,287283,63,285068
Rochester,23,162647,24,218197,22,295894,21,328170,22,325055,31,332524,36,318631,48,296237,56,241759,65,231620,78,219822,-1,0
Denver,24,133924,26,213473,24,256590,28,287986,23,322417,23,415822,22,493973,24,514793,23,492756,25,467685,24,554662,18,600158
Toledo,25,131861,29,168583,25,243268,26,290753,33,282324,35,303672,37,318035,33,383829,39,354636,48,332977,55,313649,70,287208
Columbus,26,125650,28,181536,27,237068,27,290663,25,306182,27,375952,27,471368,20,539735,19,565022,15,632952,14,711559,14,787033
Worcester,27,118458,32,146012,34,179855,41,195388,43,193765,49,203549,65,186668,72,176656,90,161837,-1,0,-1,0,-1,0
Syracuse,28,108416,33,137273,37,171743,39,209264,40,206044,46,220669,52,216018,65,197248,86,170191,-1,0,-1,0,-1,0
New Haven,29,108044,34,133696,38,162567,48,162784,53,160654,58,164441,81,152072,-1,0,-1,0,-1,0,-1,0,-1,0
Paterson,30,105235,38,125616,47,135964,57,138507,63,139708,67,139342,85,143740,94,144865,-1,0,-1,0,-1,0,-1,0
Omaha,31,102670,39,124174,33,191635,38,214069,38,223807,39,251194,39,310611,39,347387,47,313956,47,335859,43,390035,42,408958
Los Angeles,32,102522,16,319269,8,576770,4,1238077,4,1504322,3,1970491,2,2479050,2,2816128,2,2968572,1,3485429,1,3694891,1,3792621
Memphis,33,102323,36,131167,39,162490,35,253127,31,292929,25,396045,21,497516,16,623536,13,646226,17,610360,17,650154,23,646889
Lowell,34,95022,43,106318,55,112829,81,100289,80,101402,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Albany,35,94287,47,100356,54,113302,62,127439,64,130691,69,135002,93,129789,-1,0,-1,0,-1,0,-1,0,-1,0
Cambridge,36,91950,44,104832,57,109742,69,113643,74,110978,84,120788,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Portland,37,90421,27,207279,23,258310,24,301813,26,305408,28,373698,31,372752,34,382678,34,368182,29,437370,27,529145,25,583776
Atlanta,38,89922,30,154866,32,200667,31,270496,27,302339,32,331344,23,487506,26,497016,28,425091,35,394005,38,416598,38,420003
Grand Rapids,39,87675,41,112617,46,137663,45,168651,52,164388,54,176564,70,177393,64,197674,74,181820,82,189159,93,197851,-1,0
Dayton,40,85400,40,116622,42,152681,40,201096,39,210735,43,243937,47,262351,58,243671,72,193584,88,182069,-1,0,-1,0
Richmond,41,85182,37,127689,36,171772,43,182940,44,193082,45,230342,51,220084,56,249615,63,219247,75,203198,94,197867,97,204214
Nashville-Davidson,42,80932,42,110440,51,118311,50,153993,50,167461,55,174353,73,170932,29,448013,24,477840,22,510879,21,569969,24,601222
Seattle,43,80793,20,237265,19,315360,19,365635,21,368363,18,467676,18,557142,21,530816,22,493878,20,516385,23,563492,17,608660
Hartford,44,79962,48,98960,45,138094,46,164152,51,166309,53,177416,77,162260,85,158092,-1,0,-1,0,-1,0,-1,0
Wilmington,45,76592,53,87441,56,110279,73,106603,71,112530,90,110444,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bridgeport,46,71074,46,102110,43,143680,53,146771,58,147138,64,158721,79,156739,87,156531,-1,0,-1,0,-1,0,-1,0
Oakland,47,67040,31,150289,30,216307,29,284136,28,302232,26,384668,32,367539,37,361620,42,339313,38,372230,40,399503,44,390724
Des Moines,48,62130,54,86446,50,126508,54,142603,54,159819,52,178088,54,208988,63,200677,73,191013,79,193217,92,198729,-1,0
Springfield,49,62106,52,88987,49,129640,51,150000,57,149601,62,162421,71,174533,84,163939,-1,0,-1,0,-1,0,-1,0
Evansville,50,59072,63,69676,69,85373,78,102270,85,97108,79,128650,86,141508,99,138830,-1,0,-1,0,-1,0,-1,0
Manchester,51,57057,62,70128,72,78462,91,76889,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Peoria,52,56105,66,67004,75,76112,75,105095,79,105117,89,111971,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Savannah,53,54295,68,65162,71,83307,86,85050,88,96099,85,119692,82,149300,-1,0,-1,0,-1,0,-1,0,-1,0
