,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Saint-Ptersbourg,0,0,0,-1,0,0,0,0,0,0,0
Moscou,1,0,0,1,0,0,0,0,0,0,0
Rga,2,-1,0,-4,-10,-3,-3,-2,1,-5,-5
Odesa,3,1,0,-2,-1,-7,1,-1,-5,-4,0
Vilnius,4,-7,2,NA,NA,-50,10,2,1,0,-2
tula,5,-4,-4,-4,-9,-9,3,-2,-11,-2,-12
astrahan,6,-13,5,1,-16,-15,0,-9,0,-2,1
kazan,7,-1,-4,-2,0,1,-1,-5,-1,7,0
Kiiv,8,2,2,2,0,0,0,0,0,0,0
voronezh,9,-7,-7,-1,6,-8,1,-2,0,1,0
Chisi0u,10,5,-12,-11,-47,13,9,5,17,-9,4
saratov,11,4,-4,1,-6,-2,-4,-2,-2,1,-2
Sevastopol,12,-177,148,-14,-19,-24,18,-7,4,-3,-4
kaluga,13,-9,-29,-36,-13,-7,7,-1,1,10,-5
Berditchiv,14,4,-35,-40,-53,-145,11,NA,NA,NA,NA
jaroslavlj,15,-10,-1,1,4,-10,0,-1,-4,-3,-4
orjol,16,-2,-10,-17,-31,-16,8,3,-9,-1,-7
Tbilisi,17,2,8,-1,0,-2,0,-1,2,-8,2
Mikolaiv,18,6,-6,-15,-12,-9,6,-8,6,-2,-6
nnovgorod,19,2,-3,11,5,0,-1,0,-2,0,-2
elec,20,-14,-22,-46,-63,-25,-18,-25,-19,0,-22
Bilgorod-Dnistrovsk,21,-23,-59,-95,NA,NA,NA,NA,NA,NA,NA
kursk,22,8,-10,-12,-25,-7,1,-2,0,-1,1
Kharkiv,23,0,18,0,2,0,0,-1,-1,0,-1
Mogileu,24,-11,-29,-29,8,-33,16,12,8,4,-3
Jelgava,25,-27,-23,-51,-139,NA,NA,NA,NA,NA,NA
Minsk,26,-3,10,-2,-11,10,13,2,3,0,0
Ismail,27,6,-112,-50,NA,NA,-91,NA,NA,NA,NA
Babrouisk,28,-28,-21,-29,1,-46,3,1,-5,3,-4
michurinsk,29,-10,-29,-12,-40,-48,-23,-33,-16,NA,NA
Tallinn,30,26,-46,30,-32,3,-3,-7,-1,-12,-3
rjazan,31,-6,-23,-29,-6,30,10,0,3,3,-3
penza,32,0,-5,-2,-15,-2,9,1,-3,-1,-5
rostov0don,33,6,17,4,-3,-7,-3,-3,0,4,1
Kherson,34,14,-18,-30,-21,2,16,-5,-9,-10,-12
Nizhin,35,-25,-24,-30,-99,NA,NA,NA,NA,NA,NA
Vitebsk,36,-2,7,-7,-13,-46,12,-4,3,-1,4
novcherkask,37,-11,1,-28,-40,0,-6,-22,-21,-13,-12
uljanovsk,38,12,-39,11,-27,14,13,3,13,2,-2
Zhitomir,39,15,-6,-26,-38,-29,1,9,4,-6,-5
tver,40,-44,40,15,-5,-19,-3,-6,-3,-6,-3
Krementchouk,41,-1,8,-35,-30,-61,32,-6,-9,6,-11
tobolsk,42,-20,-85,-106,-11,NA,NA,NA,-26,1,-9
vologda,43,-28,-34,34,-21,-12,-14,-1,4,6,0
ekaterinbrg,44,-13,-6,44,7,5,0,-2,1,0,0
Grod0,45,-23,11,-34,-81,-30,48,10,20,22,9
voljsk,46,13,-75,-11,-27,-86,-46,NA,NA,NA,NA
Poltava,47,7,-3,3,-29,-31,5,2,-5,0,-12
Kamyanets-Podilsk,48,2,-27,-63,-107,NA,NA,-57,5,-4,11
rzhev,49,-26,-62,9,-26,NA,NA,NA,NA,NA,NA
vnovgorod,50,-37,-28,-20,-75,-23,78,9,2,-3,-4
