city,2010,city,2001,city,1991,city,1981,city,1970,city,1960,city,1950,city,1940,city,1930,city,1920,city,1910,city,1900
Madrid,5019827,Madrid,4709703,Madrid,4507490,Madrid,4245095,Madrid,3304139,Madrid,2808810,Madrid,1618490,Madrid,1153197,Barcelona,1060275,Madrid,774096,Barcelona,616344,Madrid,539805
Barcelona,2460258,Barcelona,2342531,Barcelona,2580750,Barcelona,2643002,Barcelona,2328442,Barcelona,1921584,Barcelona,1413744,Barcelona,1180835,Madrid,952817,Barcelona,739828,Madrid,596063,Barcelona,539145
Valencia,1559084,Valencia,1423124,Valencia,1395112,Valencia,1324945,Valencia,1132964,Valencia,1095214,Valencia,709142,Valencia,450884,Valencia,520276,Valencia,451390,Valencia,333304,Valencia,215791
Sevilla,899792,Sevilla,786621,Sevilla,813310,Sevilla,748942,Sevilla,611664,Sevilla,542790,Sevilla,402015,Sevilla,312200,Sevilla,228706,Sevilla,205508,Sevilla,155423,Sevilla,147313
Zaragoza,678115,Zaragoza,614905,Zaragoza,594394,Zaragoza,571855,Zaragoza,469478,Zaragoza,422460,Malaga,276253,Malaga,208307,Malaga,188049,Malaga,150608,Malaga,133084,Malaga,131144
Malaga,561435,Malaga,524414,Malaga,522108,Bilbao,484792,Bilbao,406000,Bilbao,365310,Zaragoza,264316,Zaragoza,205844,Zaragoza,174097,Zaragoza,141431,Murcia,125096,Murcia,111777
Murcia,437667,Bilbao,432227,Bilbao,449793,Malaga,483847,Malaga,361237,Malaga,325080,Bilbao,229339,Bilbao,183205,Bilbao,162096,Murcia,141224,Zaragoza,105810,Cartagena,99988
Bilbao,431608,Murcia,370745,Palmas de Gran Canaria,354877,Palmas de Gran Canaria,360098,Palmas de Gran Canaria,263474,Palmas de Gran Canaria,237060,Murcia,218444,Granada,140926,Murcia,158750,Bilbao,112839,Cartagena,97050,Zaragoza,98141
Palma de Mallorca,402044,Palmas de Gran Canaria,354863,Valladolid,330717,Valladolid,320293,Murcia,243782,Murcia,219330,Cordoba,165455,Cordoba,116089,Granada,118754,Granada,103255,Bilbao,92580,Bilbao,82033
Palmas de Gran Canaria,381271,Palma de Mallorca,333801,Murcia,328184,Palma de Mallorca,290372,Valladolid,234054,Valladolid,210616,Granada,154465,Valladolid,111386,Cordoba,103130,Cartagena,96995,Granada,77478,Granada,75681
Alicante,329325,Valladolid,316580,Cordoba,302154,Murcia,284585,Cordoba,232326,Cordoba,209070,Palmas de Gran Canaria,153367,Palmas de Gran Canaria,97990,Cartagena,102538,Palma de Mallorca,77442,Lorca,73069,Valladolid,71069
Cordoba,328326,Cordoba,308072,Palma de Mallorca,296754,Cordoba,279386,Palma de Mallorca,217578,Palma de Mallorca,195750,Vigo,137983,Palma de Mallorca,97028,Valladolid,91135,Valladolid,76825,Palma de Mallorca,68468,Lorca,69978
Valladolid,311682,Alicante,284580,Vigo,276109,Vigo,261331,Vigo,198859,Vigo,178920,Palma de Mallorca,136822,Coruna,92226,Palma de Mallorca,88400,Cadiz,76716,Valladolid,67749,Cadiz,69234
Vigo,295623,Vigo,280186,Alicante,265473,Gijon,256433,Coruna,189542,Coruna,170550,Coruna,133823,Donostia-San Sebastian,89302,Santander,85181,Lorca,74739,Cadiz,67293,Palma de Mallorca,63959
Gijon,276969,Gijon,266419,Gijon,259067,Granada,246642,Granada,186245,Granada,167580,Valladolid,124215,Cadiz,87616,Donostia-San Sebastian,78413,Cordoba,73729,Santander,65234,Jerez de la Frontera,60813
Coruna,245053,Granada,240661,Granada,255212,Alicante,245963,Gijon,184795,Gijon,166230,Donostia-San Sebastian,113880,Santander,85074,Palmas de Gran Canaria,78316,Santander,72543,Cordoba,65201,Cordoba,56104
Granada,241003,Coruna,236379,Coruna,246953,Coruna,231721,Alicante,181689,Alicante,163440,Cartagena,113251,Alicante,83117,Gijon,78275,Oviedo,69413,Jerez de la Frontera,62671,Santander,54384
Vitoria-Gasteiz,240753,Vitoria-Gasteiz,216852,Vitoria-Gasteiz,206116,Vitoria-Gasteiz,189533,Donostia-San Sebastian,161320,Donostia-San Sebastian,145170,Gijon,111043,Melilla,77281,Cadiz,75857,Palmas de Gran Canaria,66545,Palmas de Gran Canaria,53878,Alicante,50564
Elche,227417,Oviedo,201154,Santa Cruz de Tenerife,200172,Sabadell,186123,Sabadell,158345,Sabadell,142470,Jerez de la Frontera,107878,Gijon,72114,Oviedo,75503,Jerez de la Frontera,64900,Santa Cruz de Tenerife,53406,Oviedo,48417
Oviedo,225005,Elche,194767,Oviedo,196051,Santa Cruz de Tenerife,185899,Oviedo,152522,Oviedo,137250,Oviedo,106048,Salamanca,71789,Coruna,74308,Alicante,63919,Oviedo,52968,Almeria,47253
Cartagena,215757,Santa Cruz de Tenerife,188477,Santander,191079,Oviedo,184473,Jerez de la Frontera,149325,Jerez de la Frontera,134370,Alicante,104256,Almeria,69833,Alicante,73111,Linea de la Concepcion,63232,Gijon,52248,Gijon,46869
Terrassa,214406,Cartagena,184686,Sabadell,189404,Santander,179694,Santander,148813,Santander,133920,Santa Cruz de Tenerife,103493,Jerez de la Frontera,65235,Jerez de la Frontera,72132,Coruna,62078,Alicante,51216,Palmas de Gran Canaria,44516
Jerez de la Frontera,211784,Pamplona,183964,Elche,188062,Pamplona,177906,Iruna,145036,Iruna,130578,Santander,102586,Albacete,64277,Vigo,65004,Donostia-San Sebastian,61842,Donostia-San Sebastian,47985,Coruna,40551
Sabadell,206949,Sabadell,183788,Jerez de la Frontera,183316,Jerez de la Frontera,171283,Cartagena,143511,Cartagena,129150,Cadiz,100271,Iruna,61291,Santa Cruz de Tenerife,62187,Gijon,57647,Coruna,45737,Donostia-San Sebastian,37729
Santa Cruz de Tenerife,204476,Jerez de la Frontera,183273,Pamplona,180372,Donostia-San Sebastian,169233,Santa Cruz de Tenerife,142354,Santa Cruz de Tenerife,128070,Melilla,81280,Vallecas,60631,Lorca,60317,Vigo,53161,Almeria,45230,Linares,37715
Pamplona,195943,Santander,180717,Donostia-San Sebastian,171439,Cartagena,167936,Terrassa,137061,Terrassa,123356,Salamanca,80250,Burgos,60461,Almeria,54091,Santa Cruz de Tenerife,52491,Vigo,41587,Santa Cruz de Tenerife,35176
Almeria,189680,Donostia-San Sebastian,178377,Cartagena,168023,Elche,164779,Cadiz,134387,Cadiz,120870,Badajoz,79304,Murcia,60109,Ceuta,50616,Almeria,50293,Linares,36417,Vitoria-Gasteiz,32645
Donostia-San Sebastian,185512,Terrassa,173775,Salamanca,162888,Cadiz,156711,Vitoria-Gasteiz,133068,Vitoria-Gasteiz,119789,Ferrol,77083,Ferrol,59830,Salamanca,46961,Mieres,40618,Lugo,35796,Antequera,31783
Burgos,178864,Almeria,166328,Burgos,160278,Terrassa,155614,Elche,123765,Elche,111330,Almeria,76521,Ceuta,59144,Sabadell,45693,Linares,40044,Orihuela,35222,Alcoi,31676
Santander,178095,Burgos,166187,Terrassa,158063,Salamanca,153981,Salamanca,122278,Salamanca,109980,Burgos,74153,Huelva,56488,Huelva,44937,Lleida,38218,Alcoi,33788,Burgos,31488
Castello de la Plana,176298,Salamanca,156368,Almeria,155120,Burgos,152545,Burgos,116873,Burgos,105120,Iruna,72409,Badajoz,55911,Badajoz,43759,Badajoz,38078,Castello de la Plana,33358,Badajoz,31215
Albacete,171999,Albacete,148934,Cadiz,154347,Almeria,140745,Almeria,114310,Almeria,102870,Albacete,71824,Jaen,54666,Melilla,43154,Sabadell,37520,Badajoz,33232,Iruna,30637
Logrono,152698,Castello de la Plana,147667,Leon,144021,Huelva,127822,Barakaldo,109299,Barakaldo,98280,Lorca,71052,Santa Cruz de Tenerife,53765,Mieres,42814,Orihuela,37598,Vitoria-Gasteiz,32431,Castello de la Plana,30057
San Cristobal de la Laguna,152025,Huelva,142284,Huelva,142547,Leon,127095,Leon,105289,Leon,94680,Huelva,63604,Mieres,52041,Alcoi,42585,Alcoi,36508,Antequera,32200,San Fernando,29859
Salamanca,151658,Badajoz,133519,Castello de la Plana,134213,Castello de la Plana,124487,Badajoz,100652,Badajoz,90540,Jaen,61625,Oviedo,51439,Iruna,42304,Vitoria-Gasteiz,34840,Burgos,31565,La Union,28579
Badajoz,151214,Cadiz,133363,Albacete,130023,Barakaldo,114462,Huelva,96383,Huelva,86670,Ceuta,59995,Vitoria-Gasteiz,49814,Linares,42279,Castello de la Plana,34518,Elche,30710,Orihuela,28390
Huelva,147808,Logrono,133058,Logrono,122254,Albacete,113897,Albacete,93198,Albacete,83790,Sabadell,59564,Santiago de Compostela,49220,Albacete,41976,Huelva,34466,Linea de la Concepcion,30073,Lugo,28002
Lleida,137283,Leon,130916,Badajoz,122225,Logrono,109536,Castello de la Plana,92858,Castello de la Plana,83520,Leon,59548,Sabadell,47816,Vitoria-Gasteiz,40658,Langreo,34097,Salamanca,29859,Linea de la Concepcion,27758
Marbella,135124,San Cristobal de la Laguna,128822,Lleida,112093,Tarragona,109112,Lleida,88929,Lleida,80010,Terrassa,58906,Linares,47640,Burgos,40150,Jaen,33483,La Union,29693,Elche,27475
Tarragona,133223,Tarragona,113129,San Cristobal de la Laguna,110895,Badajoz,107136,Logrono,82841,Logrono,74520,Mieres,58357,Castello de la Plana,46989,Terrassa,40026,Elche,33245,Iruna,29538,Estrada,26810
Leon,131411,Jaen,112590,Tarragona,110153,Lleida,106814,Aviles,82483,Jaen,74160,Elche,55992,Elche,46605,Jaen,39849,Tortosa,33016,Jaen,29293,Valdes,26777
Cadiz,124014,Lleida,112199,Barakaldo,105088,San Cristobal de la Laguna,106146,Ferrol,80242,Ferrol,72180,Ourense,55616,Logrono,46291,Langreo,39898,Iruna,32662,Huelva,29108,Tarragona,26345
Mataro,123367,Ourense,107510,Jaen,103260,Mataro,97008,Algeciras,80083,Algeciras,72018,Santiago de Compostela,55639,Alcoi,45801,Lleida,38925,Salamanca,32463,Sabadell,28398,Ferrol,26351
Algeciras,117695,Mataro,106358,Ourense,102758,Jaen,95783,San Cristobal de la Laguna,77785,Santiago de Compostela,69930,Linea de la Concepcion,55110,Terrassa,45150,Orihuela,38700,Burgos,32300,Mieres,28320,Reus,26236
Jaen,116469,Algeciras,101468,Mataro,101510,Ourense,94346,Jaen,77396,Ourense,65790,Langreo,54344,Leon,44890,Santiago de Compostela,38380,Albacete,32098,Tortosa,27594,Jaen,25665
Ourense,107314,Marbella,100036,Algeciras,101256,Aviles,87996,Tarragona,77331,Lorca,65720,Lugo,53708,Vigo,44300,Castello de la Plana,36881,Antequera,31550,Cuevas de Vera,26543,Salamanca,25040
Reus,106849,Barakaldo,94478,Santiago de Compostela,87807,Ferrol,87691,Mataro,73191,Mieres,59310,Castello de la Plana,53310,Langreo,43823,Tortosa,35938,Terrassa,30600,Ferrol,26370,Tortosa,24390
Telde,101080,Santiago de Compostela,90188,Reus,87670,Algeciras,85390,Ourense,73168,Lugo,57240,Lleida,52890,Orihuela,43669,Ferrol,35613,Ferrol,30429,Langreo,25696,Santiago de Compostela,24223
