,2010,2001,1991,1981,1970,1960,1950,1940,1930,1920,1910,1900,,,
Madrid,0,0,0,0,0,0,0,0,-1,1,-1,1,1,12,0.083333333
Barcelona,1,0,0,0,0,0,0,0,1,-1,1,-1,1,12,0.083333333
Valencia,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Sevilla,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Zaragoza,4,0,0,0,0,0,-1,0,0,0,-1,-1,-1,12,-0.083333333
Malaga,5,0,0,-1,0,0,2,0,0,0,0,0,2,12,0.166666667
Murcia,6,-1,-2,-1,2,0,1,-20,20,1,1,0,20,12,1.666666667
Bilbao,7,1,0,1,0,0,-1,0,0,-1,-1,0,1,12,0.083333333
Palma de Mallorca,8,-1,-2,2,-2,0,-1,1,-1,2,-1,-2,2,12,0.166666667
Palmas de Gran Canaria,9,1,1,0,0,0,-3,0,-5,-2,0,-4,-5,12,-0.416666667
Alicante,10,-2,-1,-2,-1,0,-4,4,-4,1,-2,4,4,12,0.333333333
Cordoba,11,0,1,-1,1,0,2,0,-1,-5,-1,0,-5,12,-0.416666667
Valladolid,12,2,2,0,-1,0,-5,5,-2,0,-1,2,5,12,0.416666667
Vigo,13,0,1,0,0,0,1,-35,24,-2,-1,-31,-35,12,-2.916666667
Gijon,14,0,0,1,-2,0,-2,-1,2,-7,3,0,-7,12,-0.583333333
Coruna,15,-1,0,0,3,0,0,1,-7,-2,-2,1,-7,12,-0.583333333
Granada,16,1,0,1,0,0,5,2,-1,0,-1,0,5,12,0.416666667
Vitoria-Gasteiz,17,0,0,0,-10,0,-23,14,-1,3,2,6,-23,12,-1.916666667
Elche,18,-1,-3,-4,-2,0,-12,-1,NA,2,4,-3,-12,11,-1.090909091
Oviedo,19,1,-1,-1,1,0,0,-16,17,2,-3,1,17,12,1.416666667
Cartagena,20,-1,-5,1,2,0,7,-33,39,1,2,1,39,12,3.25
Terrassa,21,-6,-2,1,3,0,-13,-6,5,-7,-24,-23,-24,12,-2
Jerez de la Frontera,22,-2,1,0,3,0,2,-3,0,3,2,2,3,12,0.25
Sabadell,23,0,2,3,0,0,-18,-2,10,-3,-11,-9,-18,12,-1.5
Santa Cruz de Tenerife,24,4,2,-1,-5,0,3,-12,10,-2,7,-7,-12,12,-1
Pamplona,25,3,-2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0.75
Almeria,26,-2,-2,-1,0,0,3,8,-5,-1,2,5,8,12,0.666666667
Donostia-San Sebastian,27,1,1,1,7,0,2,2,-1,-8,0,-1,-8,12,-0.666666667
Burgos,28,-1,1,-2,0,0,1,3,-12,-5,9,5,-12,12,-1
Santander,29,4,5,-1,0,0,-1,7,2,-2,1,-2,7,12,0.583333333
