,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Madrid,0.0,5019827.0,0.0,4709703.0,0.0,4507490.0,0.0,4245095.0,0.0,3304139.0,0.0,2808810.0,0.0,1618490.0,0.0,1088687.0,1.0,952817.0,0.0,750907.0,1.0,596063.0,0.0,539805.0
Barcelona,1.0,2460258.0,1.0,2342531.0,1.0,2580750.0,1.0,2643002.0,1.0,2328442.0,1.0,1921584.0,1.0,1413744.0,1.0,1180835.0,0.0,1060275.0,1.0,739828.0,0.0,616344.0,1.0,539145.0
Valencia,2.0,1559084.0,2.0,1423124.0,2.0,1395112.0,2.0,1324945.0,2.0,1132964.0,2.0,1095214.0,2.0,709142.0,2.0,450884.0,2.0,520276.0,2.0,451390.0,2.0,333304.0,2.0,215791.0
Sevilla,3.0,899792.0,3.0,786621.0,3.0,813310.0,3.0,748942.0,3.0,611664.0,3.0,542790.0,3.0,402015.0,3.0,312200.0,3.0,228706.0,3.0,205508.0,3.0,155423.0,3.0,147313.0
Zaragoza,4.0,678115.0,4.0,614905.0,4.0,594394.0,4.0,571855.0,4.0,469478.0,4.0,422460.0,5.0,264316.0,5.0,205844.0,5.0,174097.0,5.0,141431.0,6.0,105810.0,7.0,98141.0
Malaga,5.0,561435.0,5.0,524414.0,5.0,522108.0,6.0,483847.0,6.0,361237.0,6.0,325080.0,4.0,276253.0,4.0,208307.0,4.0,188049.0,4.0,150608.0,4.0,133084.0,4.0,131144.0
Murcia,6.0,437667.0,7.0,370745.0,9.0,328184.0,10.0,284585.0,8.0,243782.0,8.0,219330.0,7.0,218444.0,27.0,60109.0,7.0,158750.0,6.0,141224.0,5.0,125096.0,5.0,111777.0
Bilbao,7.0,431608.0,6.0,432227.0,6.0,449793.0,5.0,484792.0,5.0,406000.0,5.0,365310.0,6.0,229339.0,6.0,183205.0,6.0,162096.0,7.0,112839.0,8.0,92580.0,8.0,82033.0
Palma de Mallorca,8.0,402044.0,9.0,333801.0,11.0,296754.0,9.0,290372.0,11.0,217578.0,11.0,195750.0,12.0,136822.0,11.0,97028.0,12.0,88400.0,10.0,77442.0,11.0,68468.0,13.0,63959.0
Palmas de Gran Canaria,9.0,381271.0,8.0,354863.0,7.0,354877.0,7.0,360098.0,7.0,263474.0,7.0,237060.0,10.0,153367.0,10.0,97990.0,15.0,78316.0,17.0,66545.0,17.0,53878.0,21.0,44516.0
Alicante,10.0,329325.0,12.0,284580.0,13.0,265473.0,15.0,245963.0,16.0,181689.0,16.0,163440.0,20.0,104256.0,16.0,83117.0,20.0,73111.0,19.0,63919.0,21.0,51216.0,17.0,50564.0
Cordoba,11.0,328326.0,11.0,308072.0,10.0,302154.0,11.0,279386.0,10.0,232326.0,10.0,209070.0,8.0,165455.0,8.0,116089.0,9.0,103130.0,14.0,73729.0,15.0,65201.0,15.0,56104.0
Valladolid,12.0,311682.0,10.0,316580.0,8.0,330717.0,8.0,320293.0,9.0,234054.0,9.0,210616.0,14.0,124215.0,9.0,111386.0,11.0,91135.0,11.0,76825.0,12.0,67749.0,10.0,71069.0
Vigo,13.0,295623.0,13.0,280186.0,12.0,276109.0,12.0,261331.0,12.0,198859.0,12.0,178920.0,11.0,137983.0,46.0,44300.0,22.0,65004.0,24.0,53161.0,25.0,41587.0,56.0,23173.0
Gijon,14.0,276969.0,14.0,266419.0,14.0,259067.0,13.0,256433.0,15.0,184795.0,15.0,166230.0,17.0,111043.0,18.0,72114.0,16.0,78275.0,23.0,57647.0,20.0,52248.0,20.0,46869.0
Coruna,15.0,245053.0,16.0,236379.0,16.0,246953.0,16.0,231721.0,13.0,189542.0,13.0,170550.0,13.0,133823.0,12.0,92226.0,19.0,74308.0,21.0,62078.0,23.0,45737.0,22.0,40551.0
Granada,16.0,241003.0,15.0,240661.0,15.0,255212.0,14.0,246642.0,14.0,186245.0,14.0,167580.0,9.0,154465.0,7.0,140926.0,8.0,118754.0,8.0,103255.0,9.0,77478.0,9.0,75681.0
Vitoria-Gasteiz,17.0,240753.0,17.0,216852.0,17.0,206116.0,17.0,189533.0,27.0,133068.0,27.0,119789.0,50.0,52245.0,36.0,49814.0,37.0,40658.0,34.0,34840.0,32.0,32431.0,26.0,32645.0
Elche,18.0,227417.0,19.0,194767.0,22.0,188062.0,26.0,164779.0,28.0,123765.0,28.0,111330.0,40.0,55992.0,41.0,46605.0,-1.0,0.0,39.0,33245.0,35.0,30710.0,38.0,27475.0
Oviedo,19.0,225005.0,18.0,201154.0,19.0,196051.0,20.0,184473.0,19.0,152522.0,19.0,137250.0,19.0,106048.0,35.0,51439.0,18.0,75503.0,16.0,69413.0,19.0,52968.0,18.0,48417.0
Cartagena,20.0,215757.0,21.0,184686.0,26.0,168023.0,25.0,167936.0,23.0,143511.0,23.0,129150.0,16.0,113251.0,49.0,43190.0,10.0,102538.0,9.0,96995.0,7.0,97050.0,6.0,99988.0
Terrassa,21.0,214406.0,27.0,173775.0,29.0,158063.0,28.0,155614.0,25.0,137061.0,25.0,123356.0,38.0,58906.0,44.0,45150.0,39.0,40026.0,46.0,30600.0,70.0,22703.0,93.0,15989.0
Jerez de la Frontera,22.0,211784.0,24.0,183273.0,23.0,183316.0,23.0,171283.0,20.0,149325.0,20.0,134370.0,18.0,107878.0,21.0,65235.0,21.0,72132.0,18.0,64900.0,16.0,62671.0,14.0,60813.0
Sabadell,23.0,206949.0,23.0,183788.0,21.0,189404.0,18.0,186123.0,18.0,158345.0,18.0,142470.0,36.0,59564.0,38.0,47816.0,28.0,45693.0,31.0,37520.0,42.0,28398.0,51.0,23492.0
Santa Cruz de Tenerife,24.0,204476.0,20.0,188477.0,18.0,200172.0,19.0,185899.0,24.0,142354.0,24.0,128070.0,21.0,103493.0,33.0,53765.0,23.0,62187.0,25.0,52491.0,18.0,53406.0,25.0,35176.0
Pamplona,25.0,195943.0,22.0,183964.0,24.0,180372.0,22.0,177906.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Almeria,26.0,189680.0,28.0,166328.0,30.0,155120.0,31.0,140745.0,31.0,114310.0,31.0,102870.0,28.0,76521.0,20.0,69833.0,25.0,54091.0,26.0,50293.0,24.0,45230.0,19.0,47253.0
Donostia-San Sebastian,27.0,185512.0,26.0,178377.0,25.0,171439.0,24.0,169233.0,17.0,161320.0,17.0,145170.0,15.0,113880.0,13.0,89302.0,14.0,78413.0,22.0,61842.0,22.0,47985.0,23.0,37729.0
Burgos,28.0,178864.0,29.0,166187.0,28.0,160278.0,30.0,152545.0,30.0,116873.0,30.0,105120.0,29.0,74153.0,26.0,60461.0,38.0,40150.0,43.0,32300.0,34.0,31565.0,29.0,31488.0
Santander,29.0,178095.0,25.0,180717.0,20.0,191079.0,21.0,179694.0,21.0,148813.0,21.0,133920.0,22.0,102586.0,15.0,85074.0,13.0,85181.0,15.0,72543.0,14.0,65234.0,16.0,54384.0
Castello de la Plana,30.0,176298.0,32.0,147667.0,34.0,134213.0,34.0,124487.0,37.0,92858.0,37.0,83520.0,46.0,53310.0,40.0,46989.0,45.0,36881.0,35.0,34518.0,30.0,33358.0,32.0,30057.0
Albacete,31.0,171999.0,31.0,148934.0,35.0,130023.0,36.0,113897.0,36.0,93198.0,36.0,83790.0,31.0,71824.0,23.0,64277.0,36.0,41976.0,44.0,32098.0,51.0,24841.0,60.0,21472.0
