,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1914,1904,,,
Tokyo,0,0,0,0,0,0,0,0,-1,1,0,0,1,12,0.083333333
Yokohama,1,-2,0,0,0,0,-1,0,-1,0,0,2,2,12,0.166666667
Osaka,2,1,0,0,0,0,0,0,1,-1,0,0,1,12,0.083333333
Nagoya,3,1,0,0,0,0,0,0,-1,-1,1,-1,1,12,0.083333333
Sapporo,4,0,0,0,-3,0,0,-1,0,0,0,0,-3,12,-0.25
Kobe,5,-2,0,0,1,0,0,1,1,-2,2,-1,2,12,0.166666667
Kyoto,6,-2,0,3,1,0,1,0,1,-1,1,0,3,12,0.25
Fukuoka,7,2,0,-3,-1,0,-2,2,0,-5,1,-1,-5,12,-0.416666667
Kawasaki,8,-3,0,1,2,-3,-1,2,-14,-32,NA,NA,-32,10,-3.2
Saitama (Urawa-Omiya-Yono-Iwatsuki),9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Hiroshima,10,4,0,-3,-1,0,2,1,0,0,0,1,4,12,0.333333333
Sendai,11,2,-1,-1,-1,4,-1,-4,0,1,1,1,4,12,0.333333333
Kitakyushu,12,2,1,3,1,0,0,-1,0,4,-4,-3,4,12,0.333333333
Chiba,13,0,0,0,0,-15,-10,-2,NA,NA,NA,NA,-15,8,-1.875
Sakai,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Niigata,15,-6,1,1,-2,3,-2,-3,3,4,-4,1,-6,12,-0.5
Hamamatsu,16,-1,0,0,2,-1,-6,1,-1,-2,-13,NA,-13,11,-1.181818182
Kumamoto,17,3,-1,0,1,1,0,-4,3,-6,1,1,-6,12,-0.5
Sagamihara,18,2,-3,-4,-9,-57,NA,NA,NA,NA,NA,NA,-57,6,-9.5
Shizuoka,19,7,0,0,1,-1,2,-1,0,-8,-3,-1,-8,12,-0.666666667
Okayama,20,5,1,0,-8,-2,0,2,6,1,0,2,-8,12,-0.666666667
Funabashi,21,2,1,0,-8,-43,9,-23,NA,NA,NA,NA,-43,8,-5.375
Kagoshima,22,4,2,0,-3,-2,3,0,0,5,-4,-3,5,12,0.416666667
Hachiōji,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Kawaguchi,24,-1,-3,-2,2,-18,-5,13,NA,NA,NA,NA,-18,8,-2.25
Himeji,25,3,-1,1,4,1,0,-16,-10,1,1,9,-16,12,-1.333333333
Matsuyama,26,3,-3,-1,0,-3,2,-1,-1,-5,2,4,-5,12,-0.416666667
Utsunomiya,27,-1,-2,-1,2,0,-3,-10,10,6,0,-10,10,12,0.833333333
Higashiōsaka,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Matsudo,29,5,2,-6,-14,NA,NA,NA,NA,NA,NA,NA,-14,5,-2.8
Nishinomiya,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Kurashiki,31,0,0,5,2,-2,0,NA,NA,NA,NA,NA,5,7,0.714285714
Ōita,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Ichikawa,33,6,-2,-3,-6,-18,-3,-13,NA,NA,NA,NA,-18,8,-2.25
Kanazawa,34,8,-1,3,1,3,6,-5,4,4,1,-1,8,12,0.666666667
Fukuyama,35,0,1,-1,-6,-24,NA,-9,NA,NA,NA,NA,-24,7,-3.428571429
Amagasaki,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Nagasaki,37,5,7,4,5,2,-2,4,2,1,0,2,7,12,0.583333333
Machida,38,2,-2,-9,-14,NA,NA,NA,NA,NA,NA,NA,-14,5,-2.8
Toyama,39,-11,6,3,5,1,0,9,-10,7,8,0,-11,12,-0.916666667
Toyota,40,-2,0,-9,-12,NA,NA,NA,NA,NA,NA,NA,-12,5,-2.4
Takamatsu,41,-4,2,4,5,3,-16,17,-3,-8,3,8,17,12,1.416666667
Yokosuka,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Gifu,43,10,1,7,5,1,-4,3,-3,-4,-1,1,10,12,0.833333333
Fujisawa,44,10,-3,-7,-8,-22,-2,NA,NA,NA,NA,NA,-22,7,-3.142857143
Hirakata,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Kashiwa,46,-3,-1,-11,-24,NA,NA,NA,NA,NA,NA,NA,-24,5,-4.8
Miyazaki,47,-7,-2,3,-7,6,8,-15,14,NA,NA,NA,-15,9,-1.666666667
Toyonaka,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Nagano,49,10,0,2,6,-20,10,-11,15,-18,16,8,-20,12,-1.666666667
Ichinomiya,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Toyohashi,51,14,-4,-1,2,7,-7,16,7,-6,-2,NA,16,11,1.454545455
Okazaki,52,9,-6,-6,-1,8,-17,18,6,-11,NA,NA,18,10,1.8
Takasaki,53,-17,2,0,0,4,2,6,10,-11,23,-4,23,12,1.916666667
Wakayama,54,24,6,4,3,2,-6,5,-5,3,2,1,24,12,2
Nara,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Takatsuki,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Suita,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Asahikawa,58,18,5,1,4,-12,-3,2,14,-1,NA,NA,18,10,1.8
Kōchi,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Kawagoe,60,14,-5,-5,-16,-12,NA,-15,NA,NA,NA,NA,-16,7,-2.285714286
Iwaki,61,23,2,0,11,0,-2,NA,NA,NA,NA,NA,23,7,3.285714286
Tokorozawa,62,14,-5,-11,-26,NA,NA,NA,NA,NA,NA,NA,-26,5,-5.2
Maebashi,63,2,4,5,-2,10,11,-11,17,-1,-1,3,17,12,1.416666667
