,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Tokyo,0.0,8945695.0,0.0,14239883.0,0.0,13847018.0,0.0,13120135.0,0.0,11765378.0,0.0,9583054.0,0.0,6196890.0,0.0,7031961.0,1.0,2405353.0,0.0,2262866.0,0.0,2135671.0,0.0,1818755.0
Yokohama,1.0,3688773.0,3.0,3426708.0,3.0,3220373.0,3.0,2773778.0,3.0,2238323.0,3.0,1375793.0,4.0,951294.0,4.0,968131.0,5.0,620313.0,5.0,422932.0,5.0,397697.0,3.0,326026.0
Osaka,2.0,2665314.0,1.0,12453808.0,1.0,12352982.0,1.0,11729925.0,1.0,9916668.0,1.0,6543420.0,1.0,4156769.0,1.0,4056628.0,0.0,2676739.0,1.0,1481451.0,1.0,1548526.0,1.0,1141242.0
Nagoya,3.0,2263894.0,2.0,4327461.0,2.0,4151209.0,2.0,3840540.0,2.0,3348828.0,2.0,2430095.0,2.0,1481880.0,2.0,1448148.0,3.0,907470.0,4.0,430041.0,3.0,452013.0,4.0,288616.0
Sapporo,4.0,1913545.0,4.0,2097093.0,4.0,1932134.0,4.0,1668854.0,7.0,1265868.0,7.0,759743.0,7.0,523821.0,8.0,370464.0,8.0,313514.0,8.0,210721.0,8.0,189857.0,8.0,134763.0
Kobe,5.0,1544200.0,7.0,1493438.0,7.0,1477442.0,7.0,1367452.0,6.0,1288973.0,6.0,1114025.0,6.0,813680.0,5.0,967216.0,4.0,787693.0,6.0,308658.0,4.0,442270.0,5.0,285033.0
Kyoto,6.0,1474015.0,8.0,1467812.0,8.0,1461143.0,5.0,1473135.0,4.0,1419295.0,4.0,1284857.0,3.0,1105772.0,3.0,1089728.0,2.0,952414.0,3.0,591340.0,2.0,509457.0,2.0,380611.0
Fukuoka,7.0,1463743.0,5.0,1695231.0,5.0,1533743.0,8.0,1276547.0,9.0,853321.0,9.0,647108.0,11.0,404173.0,9.0,306895.0,9.0,228313.0,14.0,95469.0,13.0,97336.0,14.0,71099.0
Kawasaki,8.0,1425512.0,11.0,1249954.0,11.0,1173698.0,10.0,1040848.0,8.0,973594.0,11.0,633027.0,12.0,319275.0,10.0,300706.0,24.0,104460.0,56.0,37014.0,-1.0,0.0,-1.0,0.0
Saitama (Urawa-Omiya-Yono-Iwatsuki),9.0,1222434.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Hiroshima,10.0,1173843.0,6.0,1526490.0,6.0,1510178.0,9.0,1258728.0,10.0,824916.0,10.0,641367.0,8.0,473554.0,7.0,589501.0,7.0,460795.0,7.0,290945.0,7.0,295428.0,6.0,187230.0
Sendai,11.0,1045986.0,9.0,1377324.0,10.0,1221148.0,11.0,966677.0,12.0,762327.0,8.0,668265.0,9.0,470504.0,13.0,238310.0,13.0,195437.0,12.0,119037.0,11.0,104137.0,10.0,100202.0
