,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1950,city.7,1940,city.8,1931,city.9,1921,city.10,1911,city.11,1900
London,0,8173932,0,7187366,0,6679735,0,7566680,0,7452377,0,7992388,0,8348056,0,8655040,0,8203942,0,7480215,0,7251493,0,6339547
Manchester,1,2682544,8,2482352,7,2569750,6,2575441,4,2729741,4,2699711,4,2688987,4,2693775,4,2707070,4,2660088,3,2617598,3,2357150
Glasgow,2,1622080,3,1581250,2,1298374,2,927392,2,1083265,2,1133862,2,1256998,1,1131828,1,1017371,1,1006216,1,884576,1,861768
Birmingham,3,1020589,1,1013277,1,961097,1,1014012,1,1013483,1,1107232,1,1112757,2,1041020,2,1002648,2,922278,4,525896,4,522282
Leeds,4,726939,2,726891,3,680706,5,445266,6,501177,5,510749,6,505259,6,494015,6,482853,6,458262,6,445612,5,429031
Sheffield,5,530375,4,530618,4,501245,4,470716,5,516100,6,494347,5,512978,5,520099,5,511819,5,490683,5,454665,6,409159
Bradford,6,483422,5,483760,5,457357,16,293369,16,294516,15,295975,11,292450,12,288711,11,298008,10,291059,10,288520,10,279869
Liverpool,7,467995,6,458064,6,452595,3,538838,3,603228,3,745817,3,788780,3,827464,3,855761,3,802996,2,746418,2,702237
Edinburgh,8,448850,7,450252,8,404005,8,408837,7,453402,7,468445,7,466877,7,475530,7,434045,7,420345,9,320345,9,304864
Bristol,9,399633,9,405231,9,339624,7,413955,8,426203,8,437035,8,442378,9,415596,9,397064,9,377036,8,357068,8,329445
Wirral,10,329179,10,326678,10,330894,9,339049,11,355834,11,352081,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Wakefield,11,317342,12,319614,11,310973,-1,0,-1,0,95,61367,93,60482,91,59079,79,59105,84,53733,80,51568,94,41483
Cardiff,12,315040,11,324423,20,272616,20,262329,19,276810,20,256308,16,243628,17,223173,17,223699,18,200264,17,182338,17,164382
Dudley,13,312194,13,311975,12,304683,30,186550,31,185497,94,63057,90,62529,84,61631,78,59608,78,56890,81,51200,77,48757
