,c1900,c1910,c1920,c1930,c1940,c1950,c1960,c1970,c1980,1990,2000,2010
New York,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,1,0,0,0,0,0,0,-1,0,0,0,0
Philadelphia,2,0,0,0,0,0,-1,0,0,0,0,-1
Boston,3,0,-1,-3,0,0,-3,-7,-11,22,-3,0
Saint Louis,4,0,-3,-1,-1,-1,-2,-7,-13,18,-3,0
Baltimore,5,-2,-1,-1,3,0,-1,-1,-6,-4,0,-1
San Francisco,6,1,-1,1,0,0,-1,-1,0,-3,-1,1
Cleveland,7,1,1,-1,-2,0,-1,-1,-15,4,-2,-6
Buffalo,8,-1,-2,-1,-1,-3,-3,-11,-12,4,-4,-5
Cincinnati,9,-2,-4,-2,-1,-1,-1,-11,-7,15,-1,-3
New Orleans,10,-2,-4,0,2,-3,2,-6,-8,-7,-3,-6
Detroit,11,3,5,0,-1,0,0,0,-1,1,-4,-3
Milwaukee,12,2,-2,1,-1,-1,0,1,-11,-9,-4,-3
Washington,13,0,0,0,2,0,0,2,1,3,-1,0
Pittsburgh,14,0,4,0,0,-2,-4,-9,-11,19,-2,-2
Louisville,15,-6,-6,5,-2,-3,-3,-8,-11,6,-3,2
Minneapolis,16,0,-1,2,0,-3,-6,-10,12,9,-2,0
Providence,17,-3,-5,-7,0,-5,-14,-10,-24,57,-7,-3
Indianapolis,18,-1,0,-1,0,-1,-4,14,-5,-17,1,-1
Kansas City,19,2,-1,-1,0,-1,-6,-1,-6,8,-1,-4
Rochester,20,-2,2,-1,-1,-8,-5,-9,-10,12,-5,-3
Denver,21,-2,2,-6,4,1,0,-4,7,-5,2,2
Toledo,22,-4,2,-1,-4,-4,-3,1,-8,-24,-6,-9
Columbus,23,-2,-1,0,1,0,-2,4,-4,-4,0,-1
Seattle,24,6,4,0,-2,2,0,0,-4,3,1,0
Worcester,25,-4,-3,-5,-3,-4,-13,-6,-18,30,NA,-7
Virginia Beach,26,-7,2,-9,1,11,-1,9,3,-13,-4,-2
Syracuse,27,-3,-5,0,-1,-6,-6,-9,-19,11,-9,-7
New Haven,28,-3,-5,-8,-5,NA,-26,-8,72,NA,-47,-4
Paterson,29,-7,-6,NA,-14,-2,-20,1,-22,NA,NA,NA
Omaha,30,-7,7,-4,0,-2,-1,-2,-9,-12,-2,1
Los Angeles,31,16,6,5,1,0,1,1,0,0,0,0
Memphis,32,-2,-3,6,3,4,3,3,-2,-21,0,0
Lowell,33,-8,-11,-18,1,-19,NA,NA,NA,NA,NA,NA
Albany,34,-10,-7,-4,-2,-3,-26,-18,NA,52,-5,-3
Portland,35,11,1,0,-3,0,-5,-5,-3,12,2,1
Atlanta,36,8,-1,1,1,-4,8,-5,-7,24,1,2
Grand Rapids,37,-2,-6,3,-8,-1,-11,6,43,NA,-38,-1
Dayton,38,0,-1,3,1,-4,-3,NA,30,NA,-47,-11
Richmond,39,4,1,-5,-2,0,-6,-3,NA,4,-2,2
Nashville,40,0,-10,4,-1,-5,-13,33,1,-9,2,1
Hartford,41,-4,1,1,-5,-2,-20,-1,-29,61,-4,0
Dallas,42,15,5,4,1,8,4,0,-1,-2,4,1
Bridgeport,43,0,3,-10,-3,-3,-17,1,-21,43,-2,-5
Des Moines,44,-5,0,-2,-1,3,-1,-5,-10,-21,-2,0
Springfield,45,-3,0,1,-43,36,-10,-6,-17,26,-10,-6
Evansville,46,-9,-6,-6,-7,5,-10,-1,-24,NA,NA,NA
Manchester,47,-7,-9,-16,-10,-12,NA,NA,NA,NA,NA,NA
Peoria,48,-9,-9,2,-4,-10,NA,-15,NA,NA,NA,NA
Savannah,49,-10,-3,-13,-2,3,-2,-25,6,-9,NA,NA
Salt Lake City,50,3,6,-7,NA,0,-8,-8,-16,23,7,1
San Antonio,51,5,8,5,2,8,6,1,1,-19,4,4
Erie,52,-6,2,-1,-4,-5,-14,-11,NA,NA,NA,NA
Elizabeth,53,0,-2,-5,-5,-12,-20,NA,NA,NA,NA,NA
Yonkers,54,4,-4,1,-1,-3,2,1,-9,NA,NA,NA
Fort Wayne,55,-6,1,1,-1,-3,-9,10,-9,NA,-34,NA
Youngstown,56,5,4,6,-4,NA,-22,-12,NA,NA,NA,NA
Houston,57,5,9,19,3,6,7,2,2,-5,2,2
Akron,58,2,28,-2,-3,-1,-5,-7,-9,-11,-3,-5
Lincoln,59,-14,-8,-1,0,-4,-2,14,2,NA,NA,NA
Augusta,60,-17,-7,-7,-5,NA,NA,NA,NA,9,-2,-5
Honolulu,61,-4,19,NA,4,4,0,-3,1,-9,-5,NA
Mobile,62,-5,-9,-9,-1,18,15,-6,-3,NA,NA,NA
Birmingham,63,31,-1,4,-1,-2,-1,-10,-8,4,-2,-2
Little Rock,64,-4,-7,-2,-1,-6,-12,7,5,6,0,2
Spokane,65,23,-11,-5,-1,4,-4,-9,-5,NA,NA,-26
South Bend,66,3,-9,7,-5,-5,-9,-11,NA,NA,NA,NA
Allentown,67,1,-2,-4,-3,-6,-13,NA,NA,35,-5,-3
Topeka,68,-6,-13,-1,-5,NA,NA,-3,NA,NA,NA,NA
Knoxville,69,-15,20,1,-1,-8,-20,26,-2,-1,2,-1
Davenport,70,-5,-4,-11,-5,NA,NA,NA,NA,NA,-3,NA
Rockford,71,1,-4,0,-6,-14,5,13,-20,NA,NA,NA
Montgomery,72,-10,NA,-5,-1,6,0,-4,19,NA,NA,NA
Chattanooga,73,1,-5,21,-2,-7,-20,-15,22,NA,NA,NA
Joliet,74,-13,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento,75,4,-2,2,4,8,5,6,-5,24,2,2
Waterbury,76,7,0,-4,1,-13,-13,NA,NA,NA,NA,NA
Jacksonville,77,15,5,3,10,1,NA,19,-2,-19,1,4
Pueblo,78,2,NA,-27,NA,NA,NA,NA,NA,NA,NA,NA
Lexington-Fayette,79,-6,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
Cedar Rapids,80,NA,NA,-15,-3,NA,NA,NA,NA,NA,NA,NA
Wichita,81,17,-6,8,0,9,9,-1,-7,-27,-1,-5
Macon,82,4,-5,-13,NA,NA,NA,-2,NA,NA,NA,NA
Austin,83,NA,-13,-2,19,15,6,9,5,-4,8,5
San Jose,84,NA,NA,-10,2,0,40,19,9,-2,-3,-5
Roanoke,85,-1,0,2,-7,-5,NA,NA,NA,-3,NA,NA
Colorado Springs,86,NA,-12,NA,NA,NA,NA,14,27,-31,2,3
Riverside,87,-1,-1,3,-1,8,16,12,1,38,0,0
Winston-Salem,88,-8,8,5,-1,-14,5,6,-16,NA,NA,NA
Raleigh,89,-11,-2,NA,NA,NA,NA,3,10,13,15,13
Laredo,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flint,91,10,23,13,-6,5,NA,-12,-25,NA,NA,NA
Fresno,92,-2,NA,-6,-1,4,14,14,13,-7,3,6
Baton Rouge,93,NA,NA,NA,NA,22,-3,21,NA,-15,2,2
Sioux Falls,94,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athens-Clarke County,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro,96,NA,NA,-1,-6,NA,12,13,-8,9,1,3
Oklahoma City,97,37,1,21,1,-3,6,-3,0,-7,-1,3
Beaumont,98,0,NA,5,-11,11,NA,-10,NA,NA,NA,NA
Clarksville,99,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pasadena,100,NA,NA,19,-2,0,NA,NA,NA,NA,NA,NA
Huntsville,101,NA,NA,NA,NA,NA,NA,19,-12,NA,NA,NA
Vallejo,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego,NA,23,12,18,11,9,11,5,3,-6,0,0
El Paso,NA,-64,15,-1,-10,9,27,-2,8,-38,2,1
Tampa,NA,-14,-2,17,2,-7,32,12,-1,8,2,2
Waco,NA,-71,-1,-9,NA,-1,NA,NA,NA,NA,NA,NA
Columbia,NA,10,-3,-9,NA,3,NA,NA,NA,25,-1,3
Madison,NA,-19,-1,0,-2,4,0,23,-7,-11,-2,-2
Stamford,NA,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay,NA,2,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton,NA,2,NA,NA,NA,NA,NA,NA,4,7,1,5
Jackson,NA,-19,NA,NA,-2,12,10,4,12,-20,-4,-8
Newport News,NA,-6,5,NA,NA,NA,NA,13,NA,NA,NA,NA
