,city,2010,city.1,2000,city.2,c1990,city.3,c1980,city.4,c1970,city.5,c1960,city.6,c1950,city.7,c1940,city.8,c1930,city.9,c1920,city.10,c1910,city.11,c1900
New York,0,8175133,0,8008330,0,7322660,0,7071669,0,7894917,0,7782013,0,7892084,0,7455090,0,6930463,0,5620054,0,4766918,0,3437242
Los Angeles,1,3792621,1,3694891,1,3485429,2,2968572,2,2816128,2,2479050,3,1970491,4,1504322,4,1238077,8,576770,16,319269,32,102522
Chicago,2,2695598,2,2896048,2,2783750,1,3005184,1,3367023,1,3550492,1,3621086,1,3396822,1,3376426,1,2701746,1,2185321,1,1698659
Houston,3,2100263,3,1953681,3,1630641,4,1595125,5,1232834,6,938268,13,596221,20,384548,25,292460,44,138389,59,78858,63,44626
Philadelphia,4,1526006,4,1517677,4,1585676,3,1688297,3,1948661,3,2002572,2,2071684,2,1931395,2,1951013,2,1823832,2,1549047,2,1293800
Phoenix,5,1445632,5,1321017,8,983474,8,789750,19,581613,28,439254,93,106857,-1,0,-1,0,-1,0,-1,0,-1,0
San Antonio,6,1327407,8,1144610,9,935984,10,785973,14,654289,16,587745,24,408492,35,253947,37,231517,40,161452,49,96654,55,53391
San Diego,7,1307402,6,1223437,5,1110559,7,875545,13,696816,17,573278,30,334408,42,203347,52,148035,76,74418,90,39652,-1,0
Dallas,8,1197816,7,1188615,7,1006929,6,904637,7,844426,13,679791,21,434594,30,294705,32,260592,41,159053,51,92145,65,42644
San Jose,9,945942,10,894928,10,782210,16,629456,30,445824,56,204229,-1,0,-1,0,-1,0,-1,0,-1,0,97,21588
Austin,10,790390,15,656683,26,465695,41,345904,55,251864,66,186504,73,132512,90,87977,-1,0,-1,0,-1,0,95,22317
Jacksonville,11,821784,13,735628,14,635276,18,571078,22,528986,59,201040,48,204579,47,173156,61,129527,66,91649,71,57705,86,28409
San Francisco,12,805235,12,776795,13,724086,12,679090,12,715741,11,740325,10,775475,11,634584,9,634437,11,506779,9,416967,8,342801
Indianapolis,13,820445,11,791991,11,742067,11,711599,10,744697,25,476354,22,427256,19,387016,20,364220,20,314231,21,233742,20,169240
Columbus,14,787033,14,711559,15,632952,19,565022,20,539735,27,471368,27,375952,25,306182,27,290663,27,237068,28,181536,26,125650
Fort Worth,15,741206,26,534759,27,447688,32,385258,32,393520,33,356303,37,278895,46,177797,47,163447,58,106592,61,73335,88,26755
Charlotte,16,731424,25,540819,34,395914,46,315541,59,241241,57,201625,70,134058,82,100992,87,82731,-1,0,-1,0,-1,0
Seattle,17,608660,23,563492,20,516385,22,493878,21,530816,18,557142,18,467676,21,368363,19,365635,19,315360,20,237265,43,80793
Denver,18,600158,24,554662,25,467685,23,492756,24,514793,22,493973,23,415822,23,322417,28,287986,24,256590,26,213473,24,133924
El Paso,19,649121,22,563758,21,515347,27,425369,44,322398,44,276723,76,130538,87,96899,77,102413,74,77614,91,39371,-1,0
Detroit,20,713777,9,951348,6,1028037,5,1203483,4,1511598,4,1670128,4,1849641,3,1623568,3,1568793,3,993733,7,465842,11,285702
Washington,21,601723,20,572104,18,606937,14,638493,8,756570,8,764064,8,802224,10,663116,13,486957,13,437624,14,331132,13,278794
Boston,22,617594,19,589189,19,574312,20,563007,15,641167,12,697248,9,801405,8,770859,8,781218,6,748151,4,670639,4,560966
Memphis,23,646889,17,650154,17,610360,13,646226,16,623536,21,497516,25,396045,31,292929,35,253127,39,162490,36,131167,33,102323
Nashville-Davidson,24,601222,21,569969,22,510879,24,477840,29,448013,73,170932,55,174353,50,167461,50,153993,51,118311,42,110440,42,80932
Portland,25,583776,27,529145,29,437370,34,368182,34,382678,31,372752,28,373698,26,305408,24,301813,23,258310,27,207279,37,90421
Oklahoma City,26,579999,28,506126,28,444776,30,404094,36,366584,35,324331,44,243501,41,204452,42,185444,67,91336,69,64223,-1,0
Las Vegas,27,583756,32,478435,62,258306,88,164800,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Baltimore,28,620961,16,651214,12,736052,9,786719,6,905868,5,939079,5,949765,6,859152,7,804951,7,733864,6,558596,5,509012
Louisville,29,597337,65,256249,57,269127,48,298749,38,361577,30,390678,29,369200,24,319112,23,307787,28,234958,23,223951,17,204712
Milwaukee,30,594833,18,597052,16,628157,15,636305,11,717111,10,741315,12,637464,12,587522,11,578219,12,457187,10,373998,12,285315
Albuquerque,31,545852,34,448649,37,384783,43,332923,57,243871,58,201249,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tucson,32,520116,29,486778,32,405420,44,330512,52,262947,53,212974,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Fresno,33,494665,36,427794,46,354278,64,217506,83,166045,90,133904,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Sacramento,34,466488,39,407038,40,369412,51,275706,54,254403,62,191729,68,137668,78,106017,82,93890,82,65947,81,44788,84,29319
Kansas City,35,459787,35,441560,30,435168,26,448082,25,507150,26,475547,19,456612,18,399282,18,399792,18,324459,19,248462,21,163873
Long Beach,36,462257,33,461513,31,429472,37,358662,40,344272,50,250819,59,164353,62,142021,-1,0,-1,0,-1,0,-1,0
Mesa,37,439041,41,396460,52,288146,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Atlanta,38,420003,38,416598,35,394005,28,425091,26,497016,23,487506,32,331344,27,302339,31,270496,32,200667,30,154866,38,89922
Colorado Springs,39,416427,47,360932,53,281111,65,215157,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98,21172
Virginia Beach,40,437994,37,425314,36,393151,55,262240,78,172172,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Raleigh,41,403892,61,276102,74,208003,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Omaha,42,408958,43,390035,47,335859,47,313956,39,347387,39,310611,39,251194,38,223807,38,214069,33,191635,39,124174,31,102670
Miami,43,399457,46,362567,45,358523,40,346779,41,334907,42,291718,40,249393,48,172208,71,110655,-1,0,-1,0,-1,0
Oakland,44,390724,40,399503,38,372230,42,339313,37,361620,32,367539,26,384668,28,302232,29,284136,30,216307,31,150289,47,67040
Minneapolis,45,382578,44,382668,41,368452,33,371032,31,434469,24,482971,16,521778,15,492479,14,464468,17,380664,17,301418,18,202764
Tulsa,46,391906,42,393095,42,367382,36,360940,42,331654,48,261725,50,182752,61,142285,55,141358,80,72145,-1,0,-1,0
Wichita,47,382368,49,344349,50,304013,50,279884,50,276615,49,254788,56,168354,70,115052,70,111109,79,72240,73,52502,91,24737
New Orleans,48,343829,30,484752,24,496921,21,557960,18,593570,14,627530,15,570455,14,494583,15,458825,16,387264,13,339121,10,287181
Arlington,49,365438,52,333002,60,261718,93,160132,76,174387,72,174344,60,163485,-1,0,-1,0,-1,0,-1,0,-1,0
Cleveland,50,396815,31,478494,23,505602,17,573823,9,750991,7,876115,6,914804,5,878350,5,900454,4,796846,5,560767,6,381886
Honolulu CDP,51,390738,45,371743,43,365309,35,365003,43,324988,41,294232,42,248087,45,179303,58,137617,70,83398,74,52240,68,39395
Bakersfield,52,347483,68,247145,96,174853,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tampa,53,335709,56,303412,54,280053,52,271695,49,277805,46,275055,83,124734,77,108486,79,101247,96,51666,94,37838,-1,0
Aurora,54,325078,60,276485,71,222137,96,158694,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,24173
Anaheim,55,336265,54,328018,58,266472,62,219589,81,166719,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Santa Ana,56,324528,50,338078,51,293757,68,204019,86,156630,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Corpus Christi,57,305215,59,277528,63,257539,59,232200,61,204570,74,167750,91,108382,-1,0,-1,0,-1,0,-1,0,-1,0
Riverside,58,303871,66,255266,67,226505,83,170691,96,140105,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Saint Louis,59,319294,48,348296,33,396789,25,452876,17,622283,9,750038,7,856843,7,816076,6,822014,5,772908,3,687057,3,575231
Lexington-Fayette,60,295803,63,260527,69,225416,67,204244,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,35195,89,26440
Stockton,61,291707,69,243854,73,210915,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Pittsburgh,62,305704,51,334647,39,369922,29,424049,23,520135,15,604313,11,676815,9,671780,10,588340,9,533953,15,321686,15,238645
Saint Paul,63,285068,58,287283,56,272281,53,270255,45,310008,38,313443,34,311335,32,287794,30,271674,29,234755,25,214728,22,163175
Anchorage,64,291826,64,260363,68,226362,77,174453,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cincinnati,65,296943,53,331314,44,364061,31,385435,28,452573,20,502638,17,504005,16,455637,16,451251,15,401225,11,363635,9,325929
Henderson,66,257729,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Greensboro,67,269666,76,223936,87,183577,99,155651,95,144191,99,119615,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Plano,68,259841,77,222023,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Newark,69,277140,62,273530,55,275257,45,329232,35,382491,29,405249,20,438863,17,429833,17,442321,14,414518,12,347591,14,246185
Toledo,70,287208,55,313649,48,332977,39,354636,33,383829,37,318035,35,303672,33,282324,26,290753,25,243268,29,168583,25,131861
Lincoln,71,258379,75,225679,80,192008,80,171924,91,149550,95,128580,98,98948,94,82080,94,75919,92,54931,83,44086,66,40256
Orlando,72,238303,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
