London,8173900,London,7157216,London,6890238,London,6707301,London,7448101,London,7987676,London,8191483,London,7887795,London,8099303,London,7372595,London,7140811,London,6479993
Birmingham,1020589,Birmingham,969628,Birmingham,1006227,Birmingham,1006527,Birmingham,1098085,Birmingham,1182092,Glasgow,1174552,Glasgow,1154965,Glasgow,1166779,Glasgow,1123563,Glasgow,976418,Glasgow,940087
Leeds,726939,Leeds,691528,Leeds,717163,Glasgow,765915,Glasgow,982203,Glasgow,1139970,Birmingham,1160062,Birmingham,1047226,Birmingham,1034020,Birmingham,947597,Birmingham,864718,Birmingham,777964
Glasgow,616430,Glasgow,633561,Glasgow,688043,Leeds,704885,Leeds,738997,Liverpool,745471,Liverpool,789208,Liverpool,815562,Liverpool,853985,Liverpool,803493,Liverpool,753831,Liverpool,711683
Sheffield,530375,Sheffield,512494,Sheffield,529081,Sheffield,537557,Liverpool,609904,Leeds,714038,Manchester,702941,Manchester,734908,Manchester,766222,Manchester,735562,Manchester,719520,Manchester,649246
Bradford,483422,Bradford,493021,Liverpool,480677,Liverpool,509981,Sheffield,572853,Manchester,661779,Leeds,696858,Leeds,656712,Leeds,652191,Leeds,621086,Leeds,612521,Leeds,584129
Liverpool,467995,Edinburgh,449109,Bradford,475296,Bradford,457423,Manchester,543867,Sheffield,585865,Sheffield,583703,Sheffield,574955,Sheffield,572199,Sheffield,568964,Sheffield,528337,Sheffield,474381
Edinburgh,448850,Liverpool,438715,Edinburgh,438766,Manchester,448674,Edinburgh,476629,Edinburgh,484250,Edinburgh,478340,Edinburgh,453443,Edinburgh,449943,Bradford,434857,Bradford,436217,Bradford,422238
Manchester,430818,Manchester,395806,Manchester,438421,Edinburgh,436936,Bradford,461693,Bradford,452672,Bradford,449588,Bradford,443739,Bradford,446771,Edinburgh,432045,Edinburgh,415380,Edinburgh,406368
Bristol,399633,Bristol,379765,Bristol,397226,Bristol,390697,Bristol,426774,Bristol,437538,Bristol,442777,Belfast,438100,Belfast,415200,Belfast,415200,Belfast,386900,Belfast,349200
Wakefield,325837,Wakefield,312870,Wakefield,316434,Coventry,313815,Belfast,360200,Belfast,399300,Belfast,438086,Bristol,411214,Bristol,406392,Bristol,384474,Bristol,364916,Bristol,345945
Cardiff,315040,Wigan,305213,Wigan,311030,Wakefield,311780,Coventry,336387,Sandwell,338380,Newcastle upon Tyne,346336,Newcastle upon Tyne,331253,Salford,338653,Salford,343063,Salford,333908,Salford,307581
Dudley,312194,Dudley,305102,Dudley,309577,Wigan,309083,Sandwell,330284,Newcastle upon Tyne,338348,Sandwell,341295,Salford,329105,Newcastle upon Tyne,330302,Newcastle upon Tyne,317120,Newcastle upon Tyne,306228,Newcastle upon Tyne,274628
Wigan,309786,Cardiff,298440,Coventry,305356,Sandwell,307992,Newcastle upon Tyne,308063,Coventry,316024,Nottingham,307849,Sandwell,310773,Hull,314288,Hull,291420,Hull,279734,Wigan,256518
Coventry,306503,Coventry,298037,Sunderland,296438,Dudley,299741,Sefton,307668,Nottingham,311770,Salford,305600,Hull,301767,Sandwell,304416,Sandwell,286608,Wigan,278897,Bolton,253361
Belfast,297300,Belfast,297200,Sefton,295242,Sefton,299724,Wigan,302963,Hull,303984,Hull,299594,Nottingham,283306,Stoke-on-Trent,283131,Wigan,283321,Bolton,271131,Nottingham,245201
Leicester,294830,Doncaster,287146,Sandwell,294898,Belfast,297900,Wakefield,302357,Sefton,294866,Leicester,285626,Sunderland,279120,Sunderland,282673,Sunderland,277479,Stoke-on-Trent,266342,Stoke-on-Trent,242761
Sunderland,294261,Stockport,283655,Cardiff,293518,Sunderland,294894,Nottingham,300532,Salford,294200,Stoke-on-Trent,279867,Stoke-on-Trent,278874,Nottingham,277405,Stoke-on-Trent,273624,Nottingham,266252,Hull,241736
Sandwell,292196,Sefton,282635,Doncaster,293403,Stockport,290422,Dudley,294029,Cardiff,290263,Wigan,277688,Wigan,278251,Wigan,273744,Bolton,267978,Sandwell,263168,Sunderland,233264
Stockport,291080,Sandwell,281984,Stockport,288552,Doncaster,289532,Sunderland,293797,Sunderland,289181,Wakefield,277471,Wakefield,266166,Wakefield,271425,Nottingham,264665,Sunderland,260309,Sandwell,232118
Sefton,289739,Leicester,280163,Leicester,284718,Leicester,280324,Stockport,292271,Leicester,288065,Sunderland,277207,Leicester,263911,Bolton,267418,Wakefield,249602,Oldham,247911,Oldham,228068
Nottingham,283969,Sunderland,279889,Belfast,284400,Newcastle upon Tyne,277829,Cardiff,287646,Wakefield,285841,Sefton,274870,Bolton,263145,Leicester,263691,Oldham,248895,Leicester,241980,Calderdale,228058
Newcastle upon Tyne,282338,Nottingham,266911,Nottingham,280631,Cardiff,273525,Hull,285971,Stoke-on-Trent,277251,Cardiff,267577,Sefton,250252,Portsmouth,252651,Portsmouth,248280,Portsmouth,235511,Leicester,223970
Hull,266775,Bolton,261037,Newcastle upon Tyne,277827,Nottingham,272141,Leicester,284208,Wigan,271633,Coventry,264616,Cardiff,249790,Cardiff,245566,Leicester,242415,Wakefield,233650,Plymouth,208916
Bolton,265449,Newcastle upon Tyne,258768,Hull,266256,Hull,269539,Doncaster,281035,Doncaster,267872,Bolton,254039,Portsmouth,244909,Sefton,243686,Cardiff,236226,Plymouth,224396,Wakefield,192892
Walsall,262593,Walsall,254061,Walsall,263470,Walsall,267042,Salford,279907,Wolverhampton,260422,Doncaster,245396,Oldham,236851,Oldham,240603,Gateshead,235991,Calderdale,221640,Portsmouth,192532
Plymouth,255826,Rotherham,247979,Bolton,262915,Bolton,260654,Walsall,273456,Stockport,255817,Wolverhampton,241133,Gateshead,231489,Gateshead,235995,Sefton,232201,Gateshead,220306,Tameside,190145
Rotherham,255342,Hull,243589,Rotherham,254925,Wolverhampton,254561,Wolverhampton,269236,Dudley,253108,Portsmouth,233797,Plymouth,227551,Plymouth,228933,Plymouth,227041,Sefton,211364,Dundee City,185503
Stoke-on-Trent,254438,Stoke-on-Trent,240636,Plymouth,254486,Stoke-on-Trent,252509,Stoke-on-Trent,265258,Bolton,251211,Dudley,230131,Calderdale,212945,Doncaster,216410,Calderdale,216689,Cardiff,209810,Gateshead,184791
Wolverhampton,244453,Plymouth,240475,Stoke-on-Trent,253010,Rotherham,251775,Bolton,259533,Walsall,245697,Plymouth,226678,Wolverhampton,207261,Calderdale,214023,South Tyneside,193951,Tameside,197117,Cardiff,183577
Derby,233708,Wolverhampton,235360,Wolverhampton,248590,Plymouth,245520,Rotherham,243110,Plymouth,230406,Stockport,223473,Dudley,205065,Barnsley,205944,Tameside,192904,Dundee City,188721,Sefton,182272
Swansea,230180,Derby,223140,Salford,230789,Salford,243865,Plymouth,239452,Rotherham,226869,Gateshead,222481,Barnsley,204071,Wolverhampton,200717,Barnsley,187885,Aberdeen,184028,Aberdeen,174146
Salford,229179,Barnsley,217672,Derby,225320,Barnsley,225084,Trafford,227899,Trafford,223977,Oldham,221055,Doncaster,203801,Dudley,199144,Dudley,185921,Barnsley,181556,Blackburn,172986
Barnsley,227213,Southampton,217109,Barnsley,224533,Trafford,221788,Barnsley,225514,Gateshead,223310,Barnsley,218385,Coventry,200597,Tameside,189536,Dundee City,182511,Blackburn,179457,South Tyneside,166791
Tameside,220722,Oldham,217020,Tameside,219766,Oldham,220017,Gateshead,224892,Barnsley,222693,Walsall,214899,Tameside,195640,South Tyneside,189193,Wolverhampton,179933,South Tyneside,178783,Dudley,163946
Oldham,220172,Tameside,213841,Oldham,219630,Tameside,217708,Oldham,223985,Oldham,215484,Calderdale,208122,Aberdeen,190042,Dundee City,188933,Aberdeen,178700,Motherwell,177544,Rochdale,162657
Trafford,218893,Salford,212945,Trafford,215801,Derby,216897,Tameside,220871,Portsmouth,215132,Rotherham,205364,Stockport,189837,Aberdeen,187326,Rochdale,175739,Rochdale,176354,Wolverhampton,159365
