"","year","a","b","r2","pval"
"1","2010",21.9987787492937,-1.50022429630846,0.912523049659646,1.19528078985649e-53
"2","2000",21.6038816018276,-1.46807842374904,0.907286788308774,2.06939705659501e-52
"3","1990",21.4206696082196,-1.45899647827946,0.909565151230388,6.10698001524602e-53
"4","1980",19.5529917185734,-1.32672933159926,0.946248133708916,5.0845685921095e-64
"5","1970",18.8096334835137,-1.26437352531766,0.959949518239768,2.76498909127345e-70
"6","1960",17.9684768871218,-1.2009503853046,0.973006185224439,1.10405283807855e-78
"7","1950",17.3386623023628,-1.16430688740916,0.97077107094249,5.44957113601412e-77
"8","1940",16.9080105435225,-1.12961113222872,0.975954411131021,3.8118244584199e-81
"9","1930",16.5006956521485,-1.09995805557783,0.980359550169281,1.87870927494436e-85
"10","1920",16.5213943364559,-1.10558028061136,0.98056677151954,1.11711380030554e-85
"11","1910",16.7788217926625,-1.13448198066296,0.97295496030486,1.21156210099546e-78
"12","1900",16.550462551035,-1.12559353500293,0.976268317660791,2.00182836536872e-81
