rank,2011,rank,2001,rank,1991,rank,1981,rank,1971,rank,1961,rank,1951,rank,1941,rank,1931,rank,1921,rank,1911,rank,1901
1,8173900,1,7187300,1,6679700,1,6608513,1,7452300,1,7992300,1,8348000,1,7987936,1,8203900,1,7480200,1,7251400,1,6339500
2,1020589,2,1013200,2,961000,2,1014000,2,1013400,2,1107200,2,1112700,2,1131800,2,1088400,2,1034200,2,784500,2,761700
3,726939,3,726800,3,730000,3,754600,3,897000,3,1054900,3,1089800,3,1041000,3,1002600,3,922200,3,746400,3,702200
4,616430,4,668100,4,680700,4,538800,4,603200,4,745800,4,788700,4,827400,4,855700,4,802900,4,714300,4,543900
5,530375,5,530600,5,501200,5,470700,5,543800,5,661800,5,703100,5,732900,5,766400,5,730000,5,525800,5,522200
6,483422,6,483700,6,457300,6,445200,6,516000,6,510700,6,512900,6,520000,6,511800,6,490600,6,454600,6,429000
7,467995,7,458000,7,452500,7,437600,7,501100,7,494300,7,505200,7,494000,7,482800,7,458200,7,445600,7,409100
8,448850,8,450200,8,404900,8,413900,8,453400,8,468400,8,466800,8,475500,8,434000,8,420300,8,386900,8,349200
9,430818,9,431100,9,404000,9,408800,9,426200,9,437000,9,442300,9,438100,9,415200,9,415200,9,357000,9,329400
10,399633,10,405200,10,339600,10,324400,10,395500,10,399300,10,306100,10,415500,10,397000,10,377000,10,320300,10,304800
11,315040,11,324400,11,304600,11,322100,11,360200,11,395500,11,299100,11,318700,11,313500,11,291000,11,288500,11,279800
12,312194,12,311900,12,290100,12,318700,12,333000,12,339500,12,292400,12,291300,12,298000,12,287200,12,278000,12,240300
13,309786,13,303900,13,289500,13,307000,13,330200,13,311900,13,291700,13,288700,13,283200,13,275000,13,266600,13,239700
14,306503,14,301500,14,289000,14,302000,14,307500,14,303300,14,285200,14,278300,14,276600,14,262600,14,259900,14,221000
15,297300,15,297200,15,288900,15,297900,15,296800,15,295900,15,275100,15,272000,15,268800,15,247300,15,234500,15,215300
16,294830,16,291900,16,284400,16,293300,16,294500,16,294500,16,258200,16,263300,16,252400,16,240400,16,231400,16,214700
17,294261,17,290900,17,284400,17,273300,17,284700,17,273500,17,243600,17,258400,17,239200,17,234100,17,231100,17,211600
18,292196,18,290700,18,284400,18,272400,18,282000,18,269700,18,233500,18,223100,18,223600,18,234000,18,227200,18,188100
19,291080,19,289900,19,284000,19,263500,19,276800,19,265300,19,209000,19,213000,19,223400,19,210000,19,182300,19,168200
20,289739,20,289400,20,272600,20,262300,20,268400,20,256300,20,182700,20,211800,20,208200,20,200200,20,180900,20,164300
21,283969,21,286900,21,270500,21,238600,21,263600,21,223200,21,181500,21,199400,21,185800,21,178700,21,165000,21,161200
22,282338,22,284300,22,266900,22,221000,22,246900,22,215100,22,178300,22,182400,22,177300,22,168300,22,163900,22,146100
23,266775,23,273000,23,259500,23,218000,23,228000,23,210500,23,178200,23,180800,23,176000,23,162700,23,152800,23,137200
