la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
Aberconwy,37615,39934,51785,45974,48537,47851,48532,50878,52414,53960,54652
Aberdeen City,174146,184028,178700,187326,190042,204101,208054,211960,203927,215249,212125
Adur,11927,14469,16754,21579,25469,38073,47802,55034,58316,58909,59627
Afan,26958,39728,50833,50915,51683,53301,60642,59347,54637,51319,49376
Allerdale,94756,94589,98953,91176,95186,95429,95369,94943,97121,96879,93492
Alnwick,30330,30333,33450,29620,30988,29893,29812,27931,28626,30311,30771
Alyn and Deeside,24789,31154,35372,38890,41004,48751,51426,65398,72088,74250,79406
Amber Valley,75109,84275,89429,93740,95689,103897,102811,105261,109587,113872,118702
Angus,100927,95017,90845,83520,87195,87221,85109,84152,93038,94878,94014
Annandale and Eskdale,33420,33345,35197,33664,34162,33624,35347,34592,35467,37138,37214
Arfon,61285,58558,52275,52245,52698,53575,51719,52481,52072,56067,56647
Argyll and Bute,80327,76434,91536,70798,78225,72340,66046,65141,68834,65565,63664
Arun,29988,34637,43439,48462,55122,73464,84162,104583,119625,131474,140759
Ashfield,53042,68032,76554,80101,82837,91856,94901,101958,106575,109779,111511
Ashford,42418,44730,46156,49069,50534,56378,61914,79083,85968,93596,102661
Aylesbury Vale,55987,58376,59499,61587,67225,80590,90435,114406,133109,148065,165866
Babergh,48342,49377,47851,45493,46987,47618,47132,63249,74046,80686,83461
Badenoch and Strathspey,10459,10313,11016,9806,10128,9563,9121,9309,12402,10947,11763
Banff and Buchan,90309,92194,88014,81839,83387,80307,75100,72854,81699,85555,85856
Barking and Dagenham,27225,38881,44627,138006,124021,189430,177092,160800,149786,146174,154964
Barnet,76080,118100,147139,231156,232911,320438,318373,306560,293436,300021,324019
Barnsley,142296,181556,187885,205944,204071,218385,222693,225514,225084,224533,217672
Barrow-in-Furness,70852,74686,86732,76691,80432,77874,75243,75269,73189,73856,71980
Basildon,13153,16038,13217,28464,28627,44201,89667,130581,152815,163286,173351
Basingstoke and Deane,35958,38838,40080,43826,45552,52750,68324,103427,130526,145049,152081
Bassetlaw,50119,56721,59830,73325,72597,84636,90295,97434,102227,105399,107713
Bath,70429,73901,73371,73771,76249,81605,83598,84787,80771,84131,83992
Bearsden and Milngavie,7278,7141,7050,8302,11867,20250,26024,35873,39429,41020,41547
Berwickshire,25550,24504,23560,22114,22112,20662,18337,16995,18270,19085,19520
Berwick-upon-Tweed,34135,32989,33507,30044,31133,29847,27857,25778,26191,26898,26207
Beverley,36678,40682,41600,46426,53452,72330,81399,101349,106628,113250,124629
Bexley,53112,59978,76591,95552,125848,205400,209893,217076,215233,219406,218424
Birmingham,777964,864718,947597,1034020,1047226,1160062,1182092,1098085,1006527,1006227,969628
Blaby,9309,11391,16119,21964,25590,38688,50539,74242,77348,83488,90010
Blackburn,172986,179457,170849,165323,161685,148883,143254,141142,141928,137989,137470
Blackpool,52072,64771,102845,107032,119249,147870,153385,151909,148482,149884,142283
