London,7074265,London,7187300,London,6679700,London,7566600,London,7452300,London,7992300,London,8348000,London,8655000,London,8203900,London,7480200,London,7251400,London,6339500
Birmingham,1020589,Birmingham,1013200,Birmingham,961000,Birmingham,1014000,Birmingham,1013400,Birmingham,1107200,Birmingham,1112700,Glasgow,1131800,Glasgow,1088400,Glasgow,1034200,Glasgow,784500,Glasgow,761700
Leeds,726939,Leeds,726800,Glasgow,730000,Glasgow,754600,Glasgow,897000,Glasgow,1054900,Glasgow,1089800,Birmingham,1041000,Birmingham,1002600,Birmingham,922200,Liverpool,746400,Liverpool,702200
Glasgow,616430,Glasgow,668100,Leeds,680700,Liverpool,538800,Liverpool,603200,Liverpool,745800,Liverpool,788700,Liverpool,827400,Liverpool,855700,Liverpool,802900,Manchester,714300,Manchester,543900
Sheffield,530375,Sheffield,530600,Sheffield,501200,Sheffield,470700,Manchester,543800,Manchester,661800,Manchester,703100,Manchester,732900,Manchester,766400,Manchester,730000,Birmingham,525800,Birmingham,522200
Bradford,483422,Bradford,483700,Bradford,457300,Leeds,445200,Sheffield,516000,Leeds,510700,Sheffield,512900,Sheffield,520000,Sheffield,511800,Sheffield,490600,Sheffield,454600,Leeds,429000
Liverpool,467995,Liverpool,458000,Liverpool,452500,Manchester,437600,Leeds,501100,Sheffield,494300,Leeds,505200,Leeds,494000,Leeds,482800,Leeds,458200,Leeds,445600,Sheffield,409100
Edinburgh,448850,Edinburgh,450200,Manchester,404900,Bristol,413900,Edinburgh,453400,Edinburgh,468400,Edinburgh,466800,Edinburgh,475500,Edinburgh,434000,Edinburgh,420300,Belfast,386900,Belfast,349200
Manchester,430818,Manchester,431100,Edinburgh,404000,Edinburgh,408800,Bristol,426200,Bristol,437000,Bristol,442300,Belfast,438100,Belfast,415200,Belfast,415200,Bristol,357000,Bristol,329400
Bristol,399633,Bristol,405200,Kirklees,373100,Kirklees,370600,Middlesbrough,395500,Belfast,399300,Nottingham,306100,Bristol,415500,Bristol,397000,Bristol,377000,Edinburgh,320300,Edinburgh,304800
Kirklees,388807,Kirklees,392200,Bristol,339600,Wirral,339000,Kirklees,369300,Coventry,395500,Hull,299100,Hull,318700,Hull,313500,Bradford,291000,Bradford,288500,Bradford,279800
Wirral,329179,Wirral,326600,Wirral,330800,Leicester,324400,Belfast,360200,Kirklees,352900,Bradford,292400,Newcastle upon Tyne,291300,Bradford,298000,Hull,287200,Hull,278000,Hull,240300
Wakefield,317342,Cardiff,324400,Wakefield,310900,Hull,322100,Wirral,355800,Wirral,352000,Newcastle upon Tyne,291700,Bradford,288700,Newcastle upon Tyne,283200,Newcastle upon Tyne,275000,Newcastle upon Tyne,266600,Nottingham,239700
